Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
10 25 2016,7:30 pm,NYK,88,CLE,117,Box Score,,20562,
10 25 2016,10:30 pm,SAS,129,GSW,100,Box Score,,19596,
10 25 2016,10:00 pm,UTA,104,POR,113,Box Score,,19446,
10 26 2016,7:30 pm,BKN,117,BOS,122,Box Score,,18624,
10 26 2016,7:00 pm,DAL,121,IND,130,Box Score,OT,17923,
10 26 2016,10:30 pm,HOU,114,LAL,120,Box Score,,18997,
10 26 2016,8:00 pm,MIN,98,MEM,102,Box Score,,18119,
10 26 2016,8:00 pm,CHA,107,MIL,96,Box Score,,18717,
10 26 2016,8:00 pm,DEN,107,NOP,102,Box Score,,15869,
10 26 2016,7:00 pm,MIA,108,ORL,96,Box Score,,19298,
10 26 2016,8:00 pm,OKC,103,PHI,97,Box Score,,20487,
10 26 2016,10:00 pm,SAC,113,PHX,94,Box Score,,18055,
10 26 2016,7:30 pm,DET,91,TOR,109,Box Score,,19800,
10 27 2016,7:30 pm,WAS,99,ATL,114,Box Score,,19049,
10 27 2016,8:00 pm,BOS,99,CHI,105,Box Score,,21501,
10 27 2016,10:30 pm,LAC,114,POR,106,Box Score,,19500,
10 27 2016,10:30 pm,SAS,102,SAC,94,Box Score,,17608,
10 28 2016,7:30 pm,IND,94,BKN,103,Box Score,,17732,
10 28 2016,8:30 pm,HOU,106,DAL,98,Box Score,,20163,
10 28 2016,7:30 pm,ORL,82,DET,108,Box Score,,19122,
10 28 2016,8:00 pm,CHA,97,MIA,91,Box Score,,19600,
10 28 2016,9:30 pm,GSW,122,NOP,114,Box Score,,18217,
10 28 2016,8:00 pm,PHX,110,OKC,113,Box Score,OT,18203,
10 28 2016,7:00 pm,CLE,94,TOR,91,Box Score,,19800,
10 28 2016,9:00 pm,LAL,89,UTA,96,Box Score,,19911,
10 29 2016,8:00 pm,IND,101,CHI,118,Box Score,,21373,
10 29 2016,7:00 pm,BOS,104,CHA,98,Box Score,,18708,
10 29 2016,7:30 pm,ORL,99,CLE,105,Box Score,,20562,
10 29 2016,9:00 pm,POR,115,DEN,113,Box Score,OT,18055,
10 29 2016,8:00 pm,BKN,108,MIL,110,Box Score,,12570,
10 29 2016,7:30 pm,MEM,104,NYK,111,Box Score,,19812,
10 29 2016,12:30 pm,ATL,104,PHI,72,Box Score,,16312,
10 29 2016,10:30 pm,MIN,103,SAC,106,Box Score,,17608,
10 29 2016,8:00 pm,NOP,79,SAS,98,Box Score,,18418,
10 30 2016,6:00 pm,MIL,83,DET,98,Box Score,,15161,
10 30 2016,8:00 pm,DAL,92,HOU,93,Box Score,,18055,
10 30 2016,4:30 pm,UTA,75,LAC,88,Box Score,,19060,
10 30 2016,8:00 pm,WAS,103,MEM,112,Box Score,OT,15573,
10 30 2016,6:00 pm,SAS,106,MIA,99,Box Score,,19678,
10 30 2016,7:00 pm,LAL,96,OKC,113,Box Score,,18203,
10 30 2016,6:00 pm,GSW,106,PHX,100,Box Score,,17011,
10 31 2016,7:30 pm,SAC,95,ATL,106,Box Score,,12501,
10 31 2016,7:30 pm,CHI,118,BKN,88,Box Score,,15842,
10 31 2016,10:30 pm,PHX,98,LAC,116,Box Score,,19060,
10 31 2016,7:30 pm,DEN,102,TOR,105,Box Score,,19800,
11 1 2016,6:00 pm,HOU,120,CLE,128,Box Score,,20562,
11 1 2016,7:30 pm,NYK,89,DET,102,Box Score,,13087,
11 1 2016,7:00 pm,LAL,108,IND,115,Box Score,,15348,
11 1 2016,7:30 pm,SAC,96,MIA,108,Box Score,OT,19612,
11 1 2016,8:00 pm,MEM,80,MIN,116,Box Score,,14774,
11 1 2016,8:00 pm,MIL,117,NOP,113,Box Score,,15515,
11 1 2016,7:00 pm,ORL,103,PHI,101,Box Score,,12529,
11 1 2016,10:00 pm,GSW,127,POR,104,Box Score,,19393,
11 1 2016,8:30 pm,UTA,106,SAS,91,Box Score,,18418,
11 2 2016,7:30 pm,LAL,123,ATL,116,Box Score,,13800,
11 2 2016,8:00 pm,CHI,100,BOS,107,Box Score,,18624,
11 2 2016,7:30 pm,DET,101,BKN,109,Box Score,,13650,
11 2 2016,7:00 pm,PHI,93,CHA,109,Box Score,,15275,
11 2 2016,10:30 pm,OKC,85,LAC,83,Box Score,,19060,
11 2 2016,8:00 pm,NOP,83,MEM,89,Box Score,OT,15881,
11 2 2016,7:30 pm,HOU,118,NYK,99,Box Score,,19812,
11 2 2016,10:00 pm,POR,115,PHX,118,Box Score,OT,17284,
11 2 2016,9:00 pm,DAL,81,UTA,97,Box Score,,19318,
11 2 2016,7:00 pm,TOR,113,WAS,103,Box Score,,19581,
11 3 2016,8:00 pm,BOS,122,CLE,128,Box Score,,20562,
11 3 2016,10:30 pm,OKC,96,GSW,122,Box Score,,19596,
