G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 26 2016,7:30p ET,,Box Score,@,Boston Celtics,L,,117,122,0,1,L 1,
2,Fri Oct 28 2016,7:30p ET,,Box Score,,Indiana Pacers,W,,103,94,1,1,W 1,
3,Sat Oct 29 2016,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,108,110,1,2,L 1,
4,Mon Oct 31 2016,7:30p ET,,Box Score,,Chicago Bulls,L,,88,118,1,3,L 2,
5,Wed Nov 2 2016,7:30p ET,,Box Score,,Detroit Pistons,W,,109,101,2,3,W 1,
6,Fri Nov 4 2016,7:30p ET,,Box Score,,Charlotte Hornets,L,,95,99,2,4,L 1,
7,Tue Nov 8 2016,7:30p ET,,Box Score,,Minnesota Timberwolves,W,,119,110,3,4,W 1,
8,Wed Nov 9 2016,7:00p ET,,Box Score,@,New York Knicks,L,,96,110,3,5,L 1,
9,Sat Nov 12 2016,9:00p ET,,Box Score,@,Phoenix Suns,W,,122,104,4,5,W 1,
10,Mon Nov 14 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,95,127,4,6,L 1,
11,Tue Nov 15 2016,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,118,125,4,7,L 2,
12,Fri Nov 18 2016,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,105,124,4,8,L 3,
13,Sun Nov 20 2016,3:30p ET,,Box Score,,Portland Trail Blazers,L,,109,129,4,9,L 4,
14,Wed Nov 23 2016,7:30p ET,,Box Score,,Boston Celtics,L,,92,111,4,10,L 5,
15,Fri Nov 25 2016,8:00p ET,,Box Score,@,Indiana Pacers,L,,97,118,4,11,L 6,
16,Sun Nov 27 2016,6:00p ET,,Box Score,,Sacramento Kings,L,,105,122,4,12,L 7,
17,Tue Nov 29 2016,7:30p ET,,Box Score,,Los Angeles Clippers,W,2OT,127,122,5,12,W 1,
18,Thu Dec 1 2016,7:30p ET,,Box Score,,Milwaukee Bucks,L,,93,111,5,13,L 1,
19,Sat Dec 3 2016,5:00p ET,,Box Score,@,Milwaukee Bucks,L,,103,112,5,14,L 2,
20,Mon Dec 5 2016,7:30p ET,,Box Score,,Washington Wizards,L,,113,118,5,15,L 3,
21,Wed Dec 7 2016,7:30p ET,,Box Score,,Denver Nuggets,W,,116,111,6,15,W 1,
22,Sat Dec 10 2016,8:30p ET,,Box Score,@,San Antonio Spurs,L,,101,130,6,16,L 1,
23,Mon Dec 12 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,118,122,6,17,L 2,
24,Wed Dec 14 2016,7:30p ET,,Box Score,,Los Angeles Lakers,W,,107,97,7,17,W 1,
25,Fri Dec 16 2016,7:00p ET,,Box Score,@,Orlando Magic,L,,111,118,7,18,L 1,
26,Sun Dec 18 2016,6:00p ET,,Box Score,@,Philadelphia 76ers,L,,107,108,7,19,L 2,
27,Tue Dec 20 2016,7:30p ET,,Box Score,@,Toronto Raptors,L,,104,116,7,20,L 3,
28,Thu Dec 22 2016,7:30p ET,,Box Score,,Golden State Warriors,L,,101,117,7,21,L 4,
29,Fri Dec 23 2016,7:30p ET,,Box Score,@,Cleveland Cavaliers,L,,99,119,7,22,L 5,
30,Mon Dec 26 2016,7:30p ET,,Box Score,,Charlotte Hornets,W,,120,118,8,22,W 1,
31,Wed Dec 28 2016,8:00p ET,,Box Score,@,Chicago Bulls,L,,99,101,8,23,L 1,
32,Fri Dec 30 2016,7:00p ET,,Box Score,@,Washington Wizards,L,,95,118,8,24,L 2,
33,Mon Jan 2 2017,7:30p ET,,Box Score,,Utah Jazz,L,,89,101,8,25,L 3,
34,Thu Jan 5 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,109,121,8,26,L 4,
35,Fri Jan 6 2017,7:30p ET,,Box Score,,Cleveland Cavaliers,L,,108,116,8,27,L 5,
36,Sun Jan 8 2017,12:00p ET,,Box Score,,Philadelphia 76ers,L,,95,105,8,28,L 6,
37,Tue Jan 10 2017,7:30p ET,,Box Score,,Atlanta Hawks,L,,97,117,8,29,L 7,
38,Thu Jan 12 2017,7:30p ET,,Box Score,,New Orleans Pelicans,L,,95,104,8,30,L 8,
39,Fri Jan 13 2017,7:30p ET,,Box Score,@,Toronto Raptors,L,,113,132,8,31,L 9,
