G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 26 2016,7:30p ET,,Box Score,,Brooklyn Nets,W,,122,117,1,0,W 1,
2,Thu Oct 27 2016,8:00p ET,,Box Score,@,Chicago Bulls,L,,99,105,1,1,L 1,
3,Sat Oct 29 2016,7:00p ET,,Box Score,@,Charlotte Hornets,W,,104,98,2,1,W 1,
4,Wed Nov 2 2016,8:00p ET,,Box Score,,Chicago Bulls,W,,107,100,3,1,W 2,
5,Thu Nov 3 2016,8:00p ET,,Box Score,@,Cleveland Cavaliers,L,,122,128,3,2,L 1,
6,Sun Nov 6 2016,7:30p ET,,Box Score,,Denver Nuggets,L,,107,123,3,3,L 2,
7,Wed Nov 9 2016,7:00p ET,,Box Score,@,Washington Wizards,L,,93,118,3,4,L 3,
8,Fri Nov 11 2016,7:30p ET,,Box Score,,New York Knicks,W,,115,87,4,4,W 1,
9,Sat Nov 12 2016,7:00p ET,,Box Score,@,Indiana Pacers,W,,105,99,5,4,W 2,
10,Mon Nov 14 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,105,106,5,5,L 1,
11,Wed Nov 16 2016,7:30p ET,,Box Score,,Dallas Mavericks,W,,90,83,6,5,W 1,
12,Fri Nov 18 2016,8:00p ET,,Box Score,,Golden State Warriors,L,,88,104,6,6,L 1,
13,Sat Nov 19 2016,7:00p ET,,Box Score,@,Detroit Pistons,W,,94,92,7,6,W 1,
14,Mon Nov 21 2016,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,99,93,8,6,W 2,
15,Wed Nov 23 2016,7:30p ET,,Box Score,@,Brooklyn Nets,W,,111,92,9,6,W 3,
16,Fri Nov 25 2016,1:00p ET,,Box Score,,San Antonio Spurs,L,,103,109,9,7,L 1,
17,Mon Nov 28 2016,7:30p ET,,Box Score,@,Miami Heat,W,,112,104,10,7,W 1,
18,Wed Nov 30 2016,7:30p ET,,Box Score,,Detroit Pistons,L,,114,121,10,8,L 1,
19,Fri Dec 2 2016,7:30p ET,,Box Score,,Sacramento Kings,W,,97,92,11,8,W 1,
20,Sat Dec 3 2016,7:30p ET,,Box Score,@,Philadelphia 76ers,W,,107,106,12,8,W 2,
21,Mon Dec 5 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,106,107,12,9,L 1,
22,Wed Dec 7 2016,7:00p ET,,Box Score,@,Orlando Magic,W,,117,87,13,9,W 1,
23,Fri Dec 9 2016,7:30p ET,,Box Score,,Toronto Raptors,L,,94,101,13,10,L 1,
24,Sun Dec 11 2016,7:00p ET,,Box Score,@,Oklahoma City Thunder,L,,96,99,13,11,L 2,
25,Wed Dec 14 2016,9:30p ET,,Box Score,@,San Antonio Spurs,L,,101,108,13,12,L 3,
26,Fri Dec 16 2016,7:30p ET,,Box Score,,Charlotte Hornets,W,,96,88,14,12,W 1,
27,Sun Dec 18 2016,6:00p ET,,Box Score,@,Miami Heat,W,,105,95,15,12,W 2,
28,Tue Dec 20 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,W,OT,112,109,16,12,W 3,
29,Thu Dec 22 2016,7:00p ET,,Box Score,@,Indiana Pacers,W,,109,102,17,12,W 4,
30,Fri Dec 23 2016,7:30p ET,,Box Score,,Oklahoma City Thunder,L,,112,117,17,13,L 1,
31,Sun Dec 25 2016,12:00p ET,,Box Score,@,New York Knicks,W,,119,114,18,13,W 1,
32,Tue Dec 27 2016,7:30p ET,,Box Score,,Memphis Grizzlies,W,,113,103,19,13,W 2,
33,Thu Dec 29 2016,8:00p ET,,Box Score,@,Cleveland Cavaliers,L,,118,124,19,14,L 1,
34,Fri Dec 30 2016,7:30p ET,,Box Score,,Miami Heat,W,,117,114,20,14,W 1,
35,Tue Jan 3 2017,7:30p ET,,Box Score,,Utah Jazz,W,,115,104,21,14,W 2,
36,Fri Jan 6 2017,7:30p ET,,Box Score,,Philadelphia 76ers,W,,110,106,22,14,W 3,
37,Sat Jan 7 2017,7:30p ET,,Box Score,,New Orleans Pelicans,W,,117,108,23,14,W 4,
38,Tue Jan 10 2017,7:30p ET,,Box Score,@,Toronto Raptors,L,,106,114,23,15,L 1,
39,Wed Jan 11 2017,8:00p ET,,Box Score,,Washington Wizards,W,,117,108,24,15,W 1,
40,Fri Jan 13 2017,8:00p ET,,Box Score,@,Atlanta Hawks,W,,103,101,25,15,W 2,
41,Mon Jan 16 2017,7:30p ET,,Box Score,,Charlotte Hornets,W,,108,98,26,15,W 3,
42,Wed Jan 18 2017,7:30p ET,,Box Score,,New York Knicks,L,,106,117,26,16,L 1,
43,Sat Jan 21 2017,5:00p ET,,Box Score,,Portland Trail Blazers,L,OT,123,127,26,17,L 2,
44,Tue Jan 24 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,108,123,26,18,L 3,
45,Wed Jan 25 2017,7:30p ET,,Box Score,,Houston Rockets,W,,120,109,27,18,W 1,
46,Fri Jan 27 2017,7:30p ET,,Box Score,,Orlando Magic,W,,128,98,28,18,W 2,
47,Sat Jan 28 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,W,OT,112,108,29,18,W 3,
48,Mon Jan 30 2017,8:00p ET,,Box Score,,Detroit Pistons,W,,113,109,30,18,W 4,
49,Wed Feb 1 2017,7:30p ET,,Box Score,,Toronto Raptors,W,,109,104,31,18,W 5,
50,Fri Feb 3 2017,8:00p ET,,Box Score,,Los Angeles Lakers,W,,113,107,32,18,W 6,
51,Sun Feb 5 2017,2:00p ET,,Box Score,,Los Angeles Clippers,W,,107,102,33,18,W 7,
52,Wed Feb 8 2017,10:30p ET,,Box Score,@,Sacramento Kings,L,,92,108,33,19,L 1,
53,Thu Feb 9 2017,10:30p ET,,Box Score,@,Portland Trail Blazers,W,,120,111,34,19,W 1,
54,Sat Feb 11 2017,10:00p ET,,Box Score,@,Utah Jazz,W,,112,104,35,19,W 2,
55,Mon Feb 13 2017,8:30p ET,,Box Score,@,Dallas Mavericks,W,,111,98,36,19,W 3,
56,Wed Feb 15 2017,7:30p ET,,Box Score,,Philadelphia 76ers,W,,116,108,37,19,W 4,
57,Thu Feb 16 2017,8:00p ET,,Box Score,@,Chicago Bulls,L,,103,104,37,20,L 1,
58,Fri Feb 24 2017,8:00p ET,,Box Score,@,Toronto Raptors,L,,97,107,37,21,L 2,
59,Sun Feb 26 2017,6:00p ET,,Box Score,@,Detroit Pistons,W,,104,98,38,21,W 1,
60,Mon Feb 27 2017,7:30p ET,,Box Score,,Atlanta Hawks,L,,98,114,38,22,L 1,
61,Wed Mar 1 2017,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,103,99,39,22,W 1,
62,Fri Mar 3 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,115,95,40,22,W 2,
63,Sun Mar 5 2017,5:00p ET,,Box Score,@,Phoenix Suns,L,,106,109,40,23,L 1,
64,Mon Mar 6 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,102,116,40,24,L 2,
65,Wed Mar 8 2017,10:30p ET,,Box Score,@,Golden State Warriors,W,,99,86,41,24,W 1,
66,Fri Mar 10 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,99,119,41,25,L 1,
67,Sun Mar 12 2017,3:30p ET,,Box Score,,Chicago Bulls,W,,100,80,42,25,W 1,
68,Wed Mar 15 2017,7:30p ET,,Box Score,,Minnesota Timberwolves,W,,117,104,43,25,W 2,
69,Fri Mar 17 2017,7:30p ET,,Box Score,@,Brooklyn Nets,W,,98,95,44,25,W 3,
70,Sun Mar 19 2017,1:00p ET,,Box Score,@,Philadelphia 76ers,L,,99,105,44,26,L 1,
71,Mon Mar 20 2017,7:30p ET,,Box Score,,Washington Wizards,W,,110,102,45,26,W 1,
72,Wed Mar 22 2017,7:30p ET,,Box Score,,Indiana Pacers,W,,109,100,46,26,W 2,
73,Fri Mar 24 2017,7:30p ET,,Box Score,,Phoenix Suns,W,,130,120,47,26,W 3,
74,Sun Mar 26 2017,6:00p ET,,Box Score,,Miami Heat,W,,112,108,48,26,W 4,
75,Wed Mar 29 2017,7:30p ET,,Box Score,,Milwaukee Bucks,L,,100,103,48,27,L 1,
76,Fri Mar 31 2017,7:30p ET,,Box Score,,Orlando Magic,W,,117,116,49,27,W 1,
77,Sun Apr 2 2017,1:00p ET,,Box Score,@,New York Knicks,W,,110,94,50,27,W 2,
78,Wed Apr 5 2017,8:00p ET,,Box Score,,Cleveland Cavaliers,L,,91,114,50,28,L 1,
79,Thu Apr 6 2017,8:00p ET,,Box Score,@,Atlanta Hawks,L,,116,123,50,29,L 2,
80,Sat Apr 8 2017,6:00p ET,,Box Score,@,Charlotte Hornets,W,,121,114,51,29,W 1,
81,Mon Apr 10 2017,7:30p ET,,Box Score,,Brooklyn Nets,W,,114,105,52,29,W 2,
82,Wed Apr 12 2017,8:00p ET,,Box Score,,Milwaukee Bucks,W,,112,94,53,29,W 3,
1,Tue Oct 17 2017,8:01p ET,,Box Score,@,Cleveland Cavaliers,L,,99,102,0,1,L 1,
2,Wed Oct 18 2017,7:30p ET,,Box Score,,Milwaukee Bucks,L,,100,108,0,2,L 2,
3,Fri Oct 20 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,102,92,1,2,W 1,
4,Tue Oct 24 2017,7:30p ET,,Box Score,,New York Knicks,W,,110,89,2,2,W 2,
5,Thu Oct 26 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,96,89,3,2,W 3,
6,Sat Oct 28 2017,8:00p ET,,Box Score,@,Miami Heat,W,,96,90,4,2,W 4,
7,Mon Oct 30 2017,7:30p ET,,Box Score,,San Antonio Spurs,W,,108,94,5,2,W 5,
8,Wed Nov 1 2017,7:30p ET,,Box Score,,Sacramento Kings,W,,113,86,6,2,W 6,
9,Fri Nov 3 2017,9:30p ET,,Box Score,@,Oklahoma City Thunder,W,,101,94,7,2,W 7,
10,Sun Nov 5 2017,6:00p ET,,Box Score,@,Orlando Magic,W,,104,88,8,2,W 8,
11,Mon Nov 6 2017,7:30p ET,,Box Score,@,Atlanta Hawks,W,,110,107,9,2,W 9,
12,Wed Nov 8 2017,8:00p ET,,Box Score,,Los Angeles Lakers,W,,107,96,10,2,W 10,
13,Fri Nov 10 2017,7:30p ET,,Box Score,,Charlotte Hornets,W,,90,87,11,2,W 11,
14,Sun Nov 12 2017,3:30p ET,,Box Score,,Toronto Raptors,W,,95,94,12,2,W 12,
15,Tue Nov 14 2017,7:30p ET,,Box Score,@,Brooklyn Nets,W,,109,102,13,2,W 13,
16,Thu Nov 16 2017,8:00p ET,,Box Score,,Golden State Warriors,W,,92,88,14,2,W 14,
17,Sat Nov 18 2017,7:30p ET,,Box Score,@,Atlanta Hawks,W,,110,99,15,2,W 15,
18,Mon Nov 20 2017,8:30p ET,,Box Score,@,Dallas Mavericks,W,OT,110,102,16,2,W 16,
19,Wed Nov 22 2017,7:30p ET,,Box Score,@,Miami Heat,L,,98,104,16,3,L 1,
20,Fri Nov 24 2017,7:30p ET,,Box Score,,Orlando Magic,W,,118,103,17,3,W 1,
21,Sat Nov 25 2017,8:00p ET,,Box Score,@,Indiana Pacers,W,,108,98,18,3,W 2,
22,Mon Nov 27 2017,7:30p ET,,Box Score,,Detroit Pistons,L,,108,118,18,4,L 1,
23,Thu Nov 30 2017,7:30p ET,,Box Score,,Philadelphia 76ers,W,,108,97,19,4,W 1,
24,Sat Dec 2 2017,1:00p ET,,Box Score,,Phoenix Suns,W,,116,111,20,4,W 2,
25,Mon Dec 4 2017,7:30p ET,,Box Score,,Milwaukee Bucks,W,,111,100,21,4,W 3,
26,Wed Dec 6 2017,7:30p ET,,Box Score,,Dallas Mavericks,W,,97,90,22,4,W 4,
27,Fri Dec 8 2017,9:30p ET,,Box Score,@,San Antonio Spurs,L,,102,105,22,5,L 1,
28,Sun Dec 10 2017,4:00p ET,,Box Score,@,Detroit Pistons,W,,91,81,23,5,W 1,
29,Mon Dec 11 2017,8:00p ET,,Box Score,@,Chicago Bulls,L,,85,108,23,6,L 1,
30,Wed Dec 13 2017,7:30p ET,,Box Score,,Denver Nuggets,W,,124,118,24,6,W 1,
31,Fri Dec 15 2017,7:30p ET,,Box Score,,Utah Jazz,L,,95,107,24,7,L 1,
32,Sat Dec 16 2017,9:00p ET,,Box Score,@,Memphis Grizzlies,W,,102,93,25,7,W 1,
33,Mon Dec 18 2017,7:00p ET,,Box Score,@,Indiana Pacers,W,,112,111,26,7,W 2,
34,Wed Dec 20 2017,7:30p ET,,Box Score,,Miami Heat,L,,89,90,26,8,L 1,
35,Thu Dec 21 2017,8:00p ET,,Box Score,@,New York Knicks,L,,93,102,26,9,L 2,
36,Sat Dec 23 2017,7:30p ET,,Box Score,,Chicago Bulls,W,,117,92,27,9,W 1,
37,Mon Dec 25 2017,5:30p ET,,Box Score,,Washington Wizards,L,,103,111,27,10,L 1,
38,Wed Dec 27 2017,7:00p ET,,Box Score,@,Charlotte Hornets,W,,102,91,28,10,W 1,
39,Thu Dec 28 2017,8:00p ET,,Box Score,,Houston Rockets,W,,99,98,29,10,W 2,
40,Sun Dec 31 2017,5:30p ET,,Box Score,,Brooklyn Nets,W,,108,105,30,10,W 3,
41,Wed Jan 3 2018,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,102,88,31,10,W 4,
42,Fri Jan 5 2018,7:00p ET,,Box Score,,Minnesota Timberwolves,W,,91,84,32,10,W 5,
43,Sat Jan 6 2018,6:00p ET,,Box Score,@,Brooklyn Nets,W,,87,85,33,10,W 6,
44,Thu Jan 11 2018,3:00p ET,,Box Score,@,Philadelphia 76ers,W,,114,103,34,10,W 7,at London England
45,Tue Jan 16 2018,7:30p ET,,Box Score,,New Orleans Pelicans,L,OT,113,116,34,11,L 1,
46,Thu Jan 18 2018,7:00p ET,,Box Score,,Philadelphia 76ers,L,,80,89,34,12,L 2,
47,Sun Jan 21 2018,1:00p ET,,Box Score,,Orlando Magic,L,,95,103,34,13,L 3,
48,Tue Jan 23 2018,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,107,108,34,14,L 4,
49,Wed Jan 24 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,113,102,35,14,W 1,
50,Sat Jan 27 2018,8:30p ET,,Box Score,@,Golden State Warriors,L,,105,109,35,15,L 1,
51,Mon Jan 29 2018,9:00p ET,,Box Score,@,Denver Nuggets,W,,111,110,36,15,W 1,
52,Wed Jan 31 2018,8:00p ET,,Box Score,,New York Knicks,W,,103,73,37,15,W 2,
53,Fri Feb 2 2018,7:30p ET,,Box Score,,Atlanta Hawks,W,,119,110,38,15,W 3,
54,Sun Feb 4 2018,12:00p ET,,Box Score,,Portland Trail Blazers,W,,97,96,39,15,W 4,
55,Tue Feb 6 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,,91,111,39,16,L 1,
56,Thu Feb 8 2018,8:00p ET,,Box Score,@,Washington Wizards,W,OT,110,104,40,16,W 1,
57,Fri Feb 9 2018,7:30p ET,,Box Score,,Indiana Pacers,L,,91,97,40,17,L 1,
58,Sun Feb 11 2018,3:30p ET,,Box Score,,Cleveland Cavaliers,L,,99,121,40,18,L 2,
59,Wed Feb 14 2018,8:00p ET,,Box Score,,Los Angeles Clippers,L,,119,129,40,19,L 3,
60,Fri Feb 23 2018,7:00p ET,,Box Score,@,Detroit Pistons,W,,110,98,41,19,W 1,
61,Sat Feb 24 2018,7:30p ET,,Box Score,@,New York Knicks,W,,121,112,42,19,W 2,
62,Mon Feb 26 2018,7:30p ET,,Box Score,,Memphis Grizzlies,W,,109,98,43,19,W 3,
63,Wed Feb 28 2018,7:30p ET,,Box Score,,Charlotte Hornets,W,,134,106,44,19,W 4,
64,Sat Mar 3 2018,8:30p ET,,Box Score,@,Houston Rockets,L,,120,123,44,20,L 1,
65,Mon Mar 5 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,,105,89,45,20,W 1,
66,Thu Mar 8 2018,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,117,109,46,20,W 2,
67,Sun Mar 11 2018,7:30p ET,,Box Score,,Indiana Pacers,L,,97,99,46,21,L 1,
68,Wed Mar 14 2018,8:00p ET,,Box Score,,Washington Wizards,L,2OT,124,125,46,22,L 2,
69,Fri Mar 16 2018,7:00p ET,,Box Score,@,Orlando Magic,W,,92,83,47,22,W 1,
70,Sun Mar 18 2018,6:00p ET,,Box Score,@,New Orleans Pelicans,L,,89,108,47,23,L 1,
71,Tue Mar 20 2018,8:00p ET,,Box Score,,Oklahoma City Thunder,W,,100,99,48,23,W 1,
72,Fri Mar 23 2018,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,105,100,49,23,W 2,
73,Sun Mar 25 2018,6:00p ET,,Box Score,@,Sacramento Kings,W,,104,93,50,23,W 3,
74,Mon Mar 26 2018,10:00p ET,,Box Score,@,Phoenix Suns,W,,102,94,51,23,W 4,
75,Wed Mar 28 2018,9:30p ET,,Box Score,@,Utah Jazz,W,,97,94,52,23,W 5,
76,Sat Mar 31 2018,7:30p ET,,Box Score,,Toronto Raptors,W,,110,99,53,23,W 6,
77,Tue Apr 3 2018,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,102,106,53,24,L 1,
78,Wed Apr 4 2018,8:00p ET,,Box Score,@,Toronto Raptors,L,,78,96,53,25,L 2,
79,Fri Apr 6 2018,7:30p ET,,Box Score,,Chicago Bulls,W,,111,104,54,25,W 1,
80,Sun Apr 8 2018,1:00p ET,,Box Score,,Atlanta Hawks,L,,106,112,54,26,L 1,
81,Tue Apr 10 2018,8:00p ET,,Box Score,@,Washington Wizards,L,,101,113,54,27,L 2,
82,Wed Apr 11 2018,8:00p ET,,Box Score,,Brooklyn Nets,W,,110,97,55,27,W 1,
