G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Thu Oct 27 2016,8:00p ET,,Box Score,,Boston Celtics,W,,105,99,1,0,W 1,
2,Sat Oct 29 2016,8:00p ET,,Box Score,,Indiana Pacers,W,,118,101,2,0,W 2,
3,Mon Oct 31 2016,7:30p ET,,Box Score,@,Brooklyn Nets,W,,118,88,3,0,W 3,
4,Wed Nov 2 2016,8:00p ET,,Box Score,@,Boston Celtics,L,,100,107,3,1,L 1,
5,Fri Nov 4 2016,8:00p ET,,Box Score,,New York Knicks,L,,104,117,3,2,L 2,
6,Sat Nov 5 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,,94,111,3,3,L 3,
7,Mon Nov 7 2016,8:00p ET,,Box Score,,Orlando Magic,W,,112,80,4,3,W 1,
8,Wed Nov 9 2016,7:30p ET,,Box Score,@,Atlanta Hawks,L,,107,115,4,4,L 1,
9,Thu Nov 10 2016,8:00p ET,,Box Score,@,Miami Heat,W,,98,95,5,4,W 1,
10,Sat Nov 12 2016,8:00p ET,,Box Score,,Washington Wizards,W,,106,95,6,4,W 2,
11,Tue Nov 15 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,113,88,7,4,W 3,
12,Thu Nov 17 2016,10:30p ET,,Box Score,@,Utah Jazz,W,,85,77,8,4,W 4,
13,Sat Nov 19 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,95,102,8,5,L 1,
14,Sun Nov 20 2016,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,118,110,9,5,W 1,
15,Tue Nov 22 2016,9:00p ET,,Box Score,@,Denver Nuggets,L,,107,110,9,6,L 1,
16,Fri Nov 25 2016,7:30p ET,,Box Score,@,Philadelphia 76ers,W,,105,89,10,6,W 1,
17,Wed Nov 30 2016,8:00p ET,,Box Score,,Los Angeles Lakers,L,,90,96,10,7,L 1,
18,Fri Dec 2 2016,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,111,105,11,7,W 1,
19,Sat Dec 3 2016,8:30p ET,,Box Score,@,Dallas Mavericks,L,,82,107,11,8,L 1,
20,Mon Dec 5 2016,8:00p ET,,Box Score,,Portland Trail Blazers,L,,110,112,11,9,L 2,
21,Tue Dec 6 2016,7:30p ET,,Box Score,@,Detroit Pistons,L,,91,102,11,10,L 3,
22,Thu Dec 8 2016,9:30p ET,,Box Score,,San Antonio Spurs,W,,95,91,12,10,W 1,
23,Sat Dec 10 2016,8:00p ET,,Box Score,,Miami Heat,W,,105,100,13,10,W 2,
24,Tue Dec 13 2016,8:00p ET,,Box Score,,Minnesota Timberwolves,L,,94,99,13,11,L 1,
25,Thu Dec 15 2016,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,97,108,13,12,L 2,
26,Fri Dec 16 2016,8:00p ET,,Box Score,,Milwaukee Bucks,L,,69,95,13,13,L 3,
27,Mon Dec 19 2016,8:00p ET,,Box Score,,Detroit Pistons,W,,113,82,14,13,W 1,
28,Wed Dec 21 2016,8:00p ET,,Box Score,,Washington Wizards,L,,97,107,14,14,L 1,
29,Fri Dec 23 2016,7:00p ET,,Box Score,@,Charlotte Hornets,L,,91,103,14,15,L 2,
30,Sun Dec 25 2016,5:00p ET,,Box Score,@,San Antonio Spurs,L,,100,119,14,16,L 3,
31,Mon Dec 26 2016,8:00p ET,,Box Score,,Indiana Pacers,W,,90,85,15,16,W 1,
32,Wed Dec 28 2016,8:00p ET,,Box Score,,Brooklyn Nets,W,,101,99,16,16,W 2,
33,Fri Dec 30 2016,4:00p ET,,Box Score,@,Indiana Pacers,L,,101,111,16,17,L 1,
34,Sat Dec 31 2016,7:00p ET,,Box Score,,Milwaukee Bucks,L,,96,116,16,18,L 2,
35,Mon Jan 2 2017,8:00p ET,,Box Score,,Charlotte Hornets,W,,118,111,17,18,W 1,
36,Wed Jan 4 2017,8:00p ET,,Box Score,@,Cleveland Cavaliers,W,,106,94,18,18,W 2,
37,Sat Jan 7 2017,8:00p ET,,Box Score,,Toronto Raptors,W,OT,123,118,19,18,W 3,
38,Mon Jan 9 2017,8:00p ET,,Box Score,,Oklahoma City Thunder,L,,94,109,19,19,L 1,
39,Tue Jan 10 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,99,101,19,20,L 2,
40,Thu Jan 12 2017,8:00p ET,,Box Score,@,New York Knicks,L,,89,104,19,21,L 3,
41,Sat Jan 14 2017,5:00p ET,,Box Score,,New Orleans Pelicans,W,,107,99,20,21,W 1,
42,Sun Jan 15 2017,9:00p ET,,Box Score,@,Memphis Grizzlies,W,,108,104,21,21,W 2,
43,Tue Jan 17 2017,8:00p ET,,Box Score,,Dallas Mavericks,L,,98,99,21,22,L 1,
44,Fri Jan 20 2017,8:00p ET,,Box Score,@,Atlanta Hawks,L,,93,102,21,23,L 2,
45,Sat Jan 21 2017,9:00p ET,,Box Score,,Sacramento Kings,W,,102,99,22,23,W 1,
46,Tue Jan 24 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,100,92,23,23,W 2,
47,Wed Jan 25 2017,8:00p ET,,Box Score,,Atlanta Hawks,L,,114,119,23,24,L 1,
48,Fri Jan 27 2017,8:00p ET,,Box Score,,Miami Heat,L,,88,100,23,25,L 2,
49,Sun Jan 29 2017,7:00p ET,,Box Score,,Philadelphia 76ers,W,,121,108,24,25,W 1,
