G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 25 2016,7:30p ET,,Box Score,,New York Knicks,W,,117,88,1,0,W 1,
2,Fri Oct 28 2016,7:00p ET,,Box Score,@,Toronto Raptors,W,,94,91,2,0,W 2,
3,Sat Oct 29 2016,7:30p ET,,Box Score,,Orlando Magic,W,,105,99,3,0,W 3,
4,Tue Nov 1 2016,6:00p ET,,Box Score,,Houston Rockets,W,,128,120,4,0,W 4,
5,Thu Nov 3 2016,8:00p ET,,Box Score,,Boston Celtics,W,,128,122,5,0,W 5,
6,Sat Nov 5 2016,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,102,101,6,0,W 6,
7,Tue Nov 8 2016,7:00p ET,,Box Score,,Atlanta Hawks,L,,106,110,6,1,L 1,
8,Fri Nov 11 2016,7:00p ET,,Box Score,@,Washington Wizards,W,,105,94,7,1,W 1,
9,Sun Nov 13 2016,3:30p ET,,Box Score,,Charlotte Hornets,W,,100,93,8,1,W 2,
10,Tue Nov 15 2016,7:00p ET,,Box Score,,Toronto Raptors,W,,121,117,9,1,W 3,
11,Wed Nov 16 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,,93,103,9,2,L 1,
12,Fri Nov 18 2016,7:30p ET,,Box Score,,Detroit Pistons,W,,104,81,10,2,W 1,
13,Wed Nov 23 2016,7:00p ET,,Box Score,,Portland Trail Blazers,W,,137,125,11,2,W 2,
14,Fri Nov 25 2016,7:30p ET,,Box Score,,Dallas Mavericks,W,,128,90,12,2,W 3,
15,Sun Nov 27 2016,1:00p ET,,Box Score,@,Philadelphia 76ers,W,,112,108,13,2,W 4,
16,Tue Nov 29 2016,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,101,118,13,3,L 1,
17,Thu Dec 1 2016,8:00p ET,,Box Score,,Los Angeles Clippers,L,,94,113,13,4,L 2,
18,Fri Dec 2 2016,8:00p ET,,Box Score,@,Chicago Bulls,L,,105,111,13,5,L 3,
