G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 25 2016,10:30p ET,,Box Score,,San Antonio Spurs,L,,100,129,0,1,L 1,
2,Fri Oct 28 2016,9:30p ET,,Box Score,@,New Orleans Pelicans,W,,122,114,1,1,W 1,
3,Sun Oct 30 2016,6:00p ET,,Box Score,@,Phoenix Suns,W,,106,100,2,1,W 2,
4,Tue Nov 1 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,127,104,3,1,W 3,
5,Thu Nov 3 2016,10:30p ET,,Box Score,,Oklahoma City Thunder,W,,122,96,4,1,W 4,
6,Fri Nov 4 2016,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,97,117,4,2,L 1,
7,Mon Nov 7 2016,10:30p ET,,Box Score,,New Orleans Pelicans,W,,116,106,5,2,W 1,
8,Wed Nov 9 2016,10:30p ET,,Box Score,,Dallas Mavericks,W,,116,95,6,2,W 2,
9,Thu Nov 10 2016,9:00p ET,,Box Score,@,Denver Nuggets,W,,125,101,7,2,W 3,
10,Sun Nov 13 2016,8:00p ET,,Box Score,,Phoenix Suns,W,,133,120,8,2,W 4,
11,Wed Nov 16 2016,8:00p ET,,Box Score,@,Toronto Raptors,W,,127,121,9,2,W 5,
12,Fri Nov 18 2016,8:00p ET,,Box Score,@,Boston Celtics,W,,104,88,10,2,W 6,
13,Sat Nov 19 2016,8:30p ET,,Box Score,@,Milwaukee Bucks,W,,124,121,11,2,W 7,
14,Mon Nov 21 2016,7:00p ET,,Box Score,@,Indiana Pacers,W,,120,83,12,2,W 8,
15,Wed Nov 23 2016,10:30p ET,,Box Score,,Los Angeles Lakers,W,,149,106,13,2,W 9,
16,Fri Nov 25 2016,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,109,85,14,2,W 10,
17,Sat Nov 26 2016,10:30p ET,,Box Score,,Minnesota Timberwolves,W,,115,102,15,2,W 11,
18,Mon Nov 28 2016,10:30p ET,,Box Score,,Atlanta Hawks,W,,105,100,16,2,W 12,
19,Thu Dec 1 2016,10:30p ET,,Box Score,,Houston Rockets,L,2OT,127,132,16,3,L 1,
20,Sat Dec 3 2016,10:30p ET,,Box Score,,Phoenix Suns,W,,138,109,17,3,W 1,
21,Mon Dec 5 2016,10:30p ET,,Box Score,,Indiana Pacers,W,,142,106,18,3,W 2,
22,Wed Dec 7 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,115,98,19,3,W 3,
23,Thu Dec 8 2016,9:00p ET,,Box Score,@,Utah Jazz,W,,106,99,20,3,W 4,
24,Sat Dec 10 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,89,110,20,4,L 1,
25,Sun Dec 11 2016,7:00p ET,,Box Score,@,Minnesota Timberwolves,W,,116,108,21,4,W 1,
26,Tue Dec 13 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,113,109,22,4,W 2,
27,Thu Dec 15 2016,10:30p ET,,Box Score,,New York Knicks,W,,103,90,23,4,W 3,
28,Sat Dec 17 2016,10:30p ET,,Box Score,,Portland Trail Blazers,W,,135,90,24,4,W 4,
29,Tue Dec 20 2016,10:30p ET,,Box Score,,Utah Jazz,W,,104,74,25,4,W 5,
30,Thu Dec 22 2016,7:30p ET,,Box Score,@,Brooklyn Nets,W,,117,101,26,4,W 6,
31,Fri Dec 23 2016,7:30p ET,,Box Score,@,Detroit Pistons,W,,119,113,27,4,W 7,
32,Sun Dec 25 2016,2:30p ET,,Box Score,@,Cleveland Cavaliers,L,,108,109,27,5,L 1,
33,Wed Dec 28 2016,10:30p ET,,Box Score,,Toronto Raptors,W,,121,111,28,5,W 1,
34,Fri Dec 30 2016,10:30p ET,,Box Score,,Dallas Mavericks,W,,108,99,29,5,W 2,
35,Mon Jan 2 2017,10:30p ET,,Box Score,,Denver Nuggets,W,,127,119,30,5,W 3,
36,Wed Jan 4 2017,10:30p ET,,Box Score,,Portland Trail Blazers,W,,125,117,31,5,W 4,
37,Fri Jan 6 2017,10:30p ET,,Box Score,,Memphis Grizzlies,L,OT,119,128,31,6,L 1,
38,Sun Jan 8 2017,9:00p ET,,Box Score,@,Sacramento Kings,W,,117,106,32,6,W 1,
39,Tue Jan 10 2017,10:30p ET,,Box Score,,Miami Heat,W,,107,95,33,6,W 2,
40,Thu Jan 12 2017,10:30p ET,,Box Score,,Detroit Pistons,W,,127,107,34,6,W 3,
41,Mon Jan 16 2017,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,126,91,35,6,W 4,
42,Wed Jan 18 2017,10:30p ET,,Box Score,,Oklahoma City Thunder,W,,121,100,36,6,W 5,
43,Fri Jan 20 2017,8:00p ET,,Box Score,@,Houston Rockets,W,,125,108,37,6,W 6,
