G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 26 2016,10:30p ET,,Box Score,,Houston Rockets,W,,120,114,1,0,W 1,
2,Fri Oct 28 2016,9:00p ET,,Box Score,@,Utah Jazz,L,,89,96,1,1,L 1,
3,Sun Oct 30 2016,7:00p ET,,Box Score,@,Oklahoma City Thunder,L,,96,113,1,2,L 2,
4,Tue Nov 1 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,,108,115,1,3,L 3,
5,Wed Nov 2 2016,7:30p ET,,Box Score,@,Atlanta Hawks,W,,123,116,2,3,W 1,
6,Fri Nov 4 2016,10:30p ET,,Box Score,,Golden State Warriors,W,,117,97,3,3,W 2,
7,Sun Nov 6 2016,9:30p ET,,Box Score,,Phoenix Suns,W,,119,108,4,3,W 3,
8,Tue Nov 8 2016,10:30p ET,,Box Score,,Dallas Mavericks,L,,97,109,4,4,L 1,
9,Thu Nov 10 2016,10:30p ET,,Box Score,@,Sacramento Kings,W,,101,91,5,4,W 1,
10,Sat Nov 12 2016,7:00p ET,,Box Score,@,New Orleans Pelicans,W,,126,99,6,4,W 2,
11,Sun Nov 13 2016,7:00p ET,,Box Score,@,Minnesota Timberwolves,L,,99,125,6,5,L 1,
12,Tue Nov 15 2016,10:30p ET,,Box Score,,Brooklyn Nets,W,,125,118,7,5,W 1,
13,Fri Nov 18 2016,10:30p ET,,Box Score,,San Antonio Spurs,L,,107,116,7,6,L 1,
14,Sun Nov 20 2016,9:30p ET,,Box Score,,Chicago Bulls,L,,110,118,7,7,L 2,
15,Tue Nov 22 2016,10:30p ET,,Box Score,,Oklahoma City Thunder,W,,111,109,8,7,W 1,
16,Wed Nov 23 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,106,149,8,8,L 1,
17,Fri Nov 25 2016,10:30p ET,,Box Score,,Golden State Warriors,L,,85,109,8,9,L 2,
18,Sun Nov 27 2016,9:30p ET,,Box Score,,Atlanta Hawks,W,,109,94,9,9,W 1,
19,Tue Nov 29 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,88,105,9,10,L 1,
20,Wed Nov 30 2016,8:00p ET,,Box Score,@,Chicago Bulls,W,,96,90,10,10,W 1,
21,Fri Dec 2 2016,7:30p ET,,Box Score,@,Toronto Raptors,L,,80,113,10,11,L 1,
22,Sat Dec 3 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,100,103,10,12,L 2,
23,Mon Dec 5 2016,10:30p ET,,Box Score,,Utah Jazz,L,,101,107,10,13,L 3,
24,Wed Dec 7 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,95,134,10,14,L 4,
25,Fri Dec 9 2016,10:30p ET,,Box Score,,Phoenix Suns,L,,115,119,10,15,L 5,
26,Sun Dec 11 2016,9:30p ET,,Box Score,,New York Knicks,L,,112,118,10,16,L 6,
27,Mon Dec 12 2016,10:30p ET,,Box Score,@,Sacramento Kings,L,,92,116,10,17,L 7,
28,Wed Dec 14 2016,7:30p ET,,Box Score,@,Brooklyn Nets,L,,97,107,10,18,L 8,
29,Fri Dec 16 2016,8:00p ET,,Box Score,@,Philadelphia 76ers,W,,100,89,11,18,W 1,
30,Sat Dec 17 2016,7:30p ET,,Box Score,@,Cleveland Cavaliers,L,,108,119,11,19,L 1,
31,Tue Dec 20 2016,7:00p ET,,Box Score,@,Charlotte Hornets,L,,113,117,11,20,L 2,
32,Thu Dec 22 2016,8:00p ET,,Box Score,@,Miami Heat,L,,107,115,11,21,L 3,
33,Fri Dec 23 2016,7:00p ET,,Box Score,@,Orlando Magic,L,,90,109,11,22,L 4,
34,Sun Dec 25 2016,10:30p ET,,Box Score,,Los Angeles Clippers,W,,111,102,12,22,W 1,
35,Tue Dec 27 2016,10:30p ET,,Box Score,,Utah Jazz,L,,100,102,12,23,L 1,
36,Thu Dec 29 2016,10:30p ET,,Box Score,,Dallas Mavericks,L,,89,101,12,24,L 2,
37,Sun Jan 1 2017,9:30p ET,,Box Score,,Toronto Raptors,L,,114,123,12,25,L 3,
38,Tue Jan 3 2017,10:30p ET,,Box Score,,Memphis Grizzlies,W,,116,102,13,25,W 1,
39,Thu Jan 5 2017,10:30p ET,,Box Score,@,Portland Trail Blazers,L,,109,118,13,26,L 1,
40,Fri Jan 6 2017,10:30p ET,,Box Score,,Miami Heat,W,,127,100,14,26,W 1,
41,Sun Jan 8 2017,9:30p ET,,Box Score,,Orlando Magic,W,,111,95,15,26,W 2,
42,Tue Jan 10 2017,10:30p ET,,Box Score,,Portland Trail Blazers,L,,87,108,15,27,L 1,
43,Thu Jan 12 2017,8:30p ET,,Box Score,@,San Antonio Spurs,L,,94,134,15,28,L 2,
44,Sat Jan 14 2017,3:30p ET,,Box Score,@,Los Angeles Clippers,L,,97,113,15,29,L 3,
45,Sun Jan 15 2017,9:30p ET,,Box Score,,Detroit Pistons,L,,97,102,15,30,L 4,
46,Tue Jan 17 2017,10:30p ET,,Box Score,,Denver Nuggets,L,,121,127,15,31,L 5,
47,Fri Jan 20 2017,10:30p ET,,Box Score,,Indiana Pacers,W,,108,95,16,31,W 1,
48,Sun Jan 22 2017,3:30p ET,,Box Score,@,Dallas Mavericks,L,,73,122,16,32,L 1,
49,Wed Jan 25 2017,10:30p ET,,Box Score,@,Portland Trail Blazers,L,,98,105,16,33,L 2,
50,Thu Jan 26 2017,10:30p ET,,Box Score,@,Utah Jazz,L,,88,96,16,34,L 3,
51,Tue Jan 31 2017,10:30p ET,,Box Score,,Denver Nuggets,W,,120,116,17,34,W 1,
52,Thu Feb 2 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,108,116,17,35,L 1,
53,Fri Feb 3 2017,8:00p ET,,Box Score,@,Boston Celtics,L,,107,113,17,36,L 2,
54,Mon Feb 6 2017,7:00p ET,,Box Score,@,New York Knicks,W,,121,107,18,36,W 1,
55,Wed Feb 8 2017,7:30p ET,,Box Score,@,Detroit Pistons,L,,102,121,18,37,L 1,
56,Fri Feb 10 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,122,114,19,37,W 1,
57,Tue Feb 14 2017,10:30p ET,,Box Score,,Sacramento Kings,L,,96,97,19,38,L 1,
58,Wed Feb 15 2017,9:00p ET,,Box Score,@,Phoenix Suns,L,,101,137,19,39,L 2,
59,Fri Feb 24 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,93,110,19,40,L 3,
60,Sun Feb 26 2017,3:30p ET,,Box Score,,San Antonio Spurs,L,,98,119,19,41,L 4,
61,Tue Feb 28 2017,10:30p ET,,Box Score,,Charlotte Hornets,L,,104,109,19,42,L 5,
