G,Date,,,▲,,Opponent,,,Tm,Opp,W,L,Streak,Notes
82,Wed Apr 12 2017,8:00p ET,,Box Score,@,Boston Celtics,L,,94,112,42,40,L 1,
81,Mon Apr 10 2017,8:00p ET,,Box Score,,Charlotte Hornets,W,,89,79,42,39,W 2,
80,Sat Apr 8 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,90,82,41,39,W 1,
79,Thu Apr 6 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,89,104,40,39,L 3,
78,Tue Apr 4 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,79,110,40,38,L 2,
77,Sun Apr 2 2017,3:30p ET,,Box Score,,Dallas Mavericks,L,,105,109,40,37,L 1,
76,Fri Mar 31 2017,8:00p ET,,Box Score,,Detroit Pistons,W,OT,108,105,40,36,W 3,
75,Wed Mar 29 2017,7:30p ET,,Box Score,@,Boston Celtics,W,,103,100,39,36,W 2,
74,Tue Mar 28 2017,7:00p ET,,Box Score,@,Charlotte Hornets,W,,118,108,38,36,W 1,
73,Sun Mar 26 2017,3:30p ET,,Box Score,,Chicago Bulls,L,,94,109,37,36,L 1,
72,Fri Mar 24 2017,8:00p ET,,Box Score,,Atlanta Hawks,W,,100,97,37,35,W 3,
71,Wed Mar 22 2017,10:30p ET,,Box Score,@,Sacramento Kings,W,,116,98,36,35,W 2,
70,Tue Mar 21 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,93,90,35,35,W 1,
69,Sat Mar 18 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,92,117,34,35,L 1,
68,Fri Mar 17 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,107,103,34,34,W 2,
67,Wed Mar 15 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,97,96,33,34,W 1,
66,Mon Mar 13 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,93,113,32,34,L 1,
65,Sat Mar 11 2017,8:00p ET,,Box Score,,Minnesota Timberwolves,W,,102,95,32,33,W 6,
64,Fri Mar 10 2017,8:00p ET,,Box Score,,Indiana Pacers,W,,99,85,31,33,W 5,
63,Wed Mar 8 2017,8:00p ET,,Box Score,,New York Knicks,W,,104,93,30,33,W 4,
62,Mon Mar 6 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,112,98,29,33,W 3,
61,Sat Mar 4 2017,8:00p ET,,Box Score,,Toronto Raptors,W,,101,94,28,33,W 2,
60,Fri Mar 3 2017,8:00p ET,,Box Score,,Los Angeles Clippers,W,,112,101,27,33,W 1,
59,Wed Mar 1 2017,8:00p ET,,Box Score,,Denver Nuggets,L,,98,110,26,33,L 2,
58,Mon Feb 27 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,95,102,26,32,L 1,
57,Sun Feb 26 2017,3:30p ET,,Box Score,,Phoenix Suns,W,,100,96,26,31,W 1,
56,Fri Feb 24 2017,8:00p ET,,Box Score,,Utah Jazz,L,,95,109,25,31,L 1,
55,Wed Feb 15 2017,7:30p ET,,Box Score,@,Brooklyn Nets,W,,129,125,25,30,W 3,
54,Mon Feb 13 2017,8:00p ET,,Box Score,,Detroit Pistons,W,,102,89,24,30,W 2,
53,Sat Feb 11 2017,7:00p ET,,Box Score,@,Indiana Pacers,W,,116,100,23,30,W 1,
52,Fri Feb 10 2017,8:00p ET,,Box Score,,Los Angeles Lakers,L,,114,122,22,30,L 2,
51,Wed Feb 8 2017,8:00p ET,,Box Score,,Miami Heat,L,,88,106,22,29,L 1,
50,Sat Feb 4 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,137,112,22,28,W 1,
49,Fri Feb 3 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,117,121,21,28,L 5,
48,Wed Feb 1 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,88,104,21,27,L 4,
47,Sat Jan 28 2017,8:00p ET,,Box Score,,Boston Celtics,L,OT,108,112,21,26,L 3,
46,Fri Jan 27 2017,7:30p ET,,Box Score,@,Toronto Raptors,L,,86,102,21,25,L 2,
45,Wed Jan 25 2017,8:00p ET,,Box Score,,Philadelphia 76ers,L,,109,114,21,24,L 1,
44,Mon Jan 23 2017,8:00p ET,,Box Score,,Houston Rockets,W,,127,114,21,23,W 1,
43,Sat Jan 21 2017,7:30p ET,,Box Score,@,Miami Heat,L,,97,109,20,23,L 5,
42,Fri Jan 20 2017,7:00p ET,,Box Score,@,Orlando Magic,L,,96,112,20,22,L 4,
41,Wed Jan 18 2017,8:00p ET,,Box Score,@,Houston Rockets,L,,92,111,20,21,L 3,
40,Mon Jan 16 2017,3:30p ET,,Box Score,,Philadelphia 76ers,L,,104,113,20,20,L 2,
39,Sun Jan 15 2017,3:00p ET,,Box Score,@,Atlanta Hawks,L,,98,111,20,19,L 1,
38,Fri Jan 13 2017,8:00p ET,,Box Score,,Miami Heat,W,,116,108,20,18,W 2,
37,Tue Jan 10 2017,8:30p ET,,Box Score,@,San Antonio Spurs,W,,109,107,19,18,W 1,
36,Sun Jan 8 2017,2:00p ET,,Box Score,,Washington Wizards,L,,101,107,18,18,L 2,
35,Fri Jan 6 2017,8:00p ET,,Box Score,,New York Knicks,L,,111,116,18,17,L 1,
34,Wed Jan 4 2017,7:30p ET,,Box Score,@,New York Knicks,W,,105,104,18,16,W 3,
33,Mon Jan 2 2017,7:00p ET,,Box Score,,Oklahoma City Thunder,W,,98,94,17,16,W 2,
32,Sat Dec 31 2016,7:00p ET,,Box Score,@,Chicago Bulls,W,,116,96,16,16,W 1,
31,Fri Dec 30 2016,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,99,116,15,16,L 1,
30,Wed Dec 28 2016,7:30p ET,,Box Score,@,Detroit Pistons,W,,119,94,15,15,W 1,
29,Mon Dec 26 2016,7:00p ET,,Box Score,@,Washington Wizards,L,,102,107,14,15,L 1,
28,Fri Dec 23 2016,8:00p ET,,Box Score,,Washington Wizards,W,,123,96,14,14,W 1,
