G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 26 2016,8:00p ET,,Box Score,,Denver Nuggets,L,,102,107,0,1,L 1,
2,Fri Oct 28 2016,9:30p ET,,Box Score,,Golden State Warriors,L,,114,122,0,2,L 2,
3,Sat Oct 29 2016,8:00p ET,,Box Score,@,San Antonio Spurs,L,,79,98,0,3,L 3,
4,Tue Nov 1 2016,8:00p ET,,Box Score,,Milwaukee Bucks,L,,113,117,0,4,L 4,
5,Wed Nov 2 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,L,OT,83,89,0,5,L 5,
6,Fri Nov 4 2016,8:00p ET,,Box Score,,Phoenix Suns,L,OT,111,112,0,6,L 6,
7,Mon Nov 7 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,106,116,0,7,L 7,
8,Tue Nov 8 2016,10:30p ET,,Box Score,@,Sacramento Kings,L,,94,102,0,8,L 8,
9,Thu Nov 10 2016,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,112,106,1,8,W 1,
10,Sat Nov 12 2016,7:00p ET,,Box Score,,Los Angeles Lakers,L,,99,126,1,9,L 1,
11,Mon Nov 14 2016,8:00p ET,,Box Score,,Boston Celtics,W,,106,105,2,9,W 1,
12,Wed Nov 16 2016,7:00p ET,,Box Score,@,Orlando Magic,L,,82,89,2,10,L 1,
13,Fri Nov 18 2016,8:00p ET,,Box Score,,Portland Trail Blazers,W,,113,101,3,10,W 1,
14,Sat Nov 19 2016,7:00p ET,,Box Score,,Charlotte Hornets,W,OT,121,116,4,10,W 2,
15,Tue Nov 22 2016,7:30p ET,,Box Score,@,Atlanta Hawks,W,,112,94,5,10,W 3,
16,Wed Nov 23 2016,9:30p ET,,Box Score,,Minnesota Timberwolves,W,,117,96,6,10,W 4,
17,Fri Nov 25 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,104,119,6,11,L 1,
18,Sun Nov 27 2016,7:00p ET,,Box Score,@,Dallas Mavericks,L,,81,91,6,12,L 2,
19,Tue Nov 29 2016,8:00p ET,,Box Score,,Los Angeles Lakers,W,,105,88,7,12,W 1,
20,Fri Dec 2 2016,8:00p ET,,Box Score,,Los Angeles Clippers,L,,96,114,7,13,L 1,
21,Sun Dec 4 2016,7:00p ET,,Box Score,@,Oklahoma City Thunder,L,,92,101,7,14,L 2,
22,Mon Dec 5 2016,8:00p ET,,Box Score,,Memphis Grizzlies,L,2OT,108,110,7,15,L 3,
23,Thu Dec 8 2016,8:00p ET,,Box Score,,Philadelphia 76ers,L,,88,99,7,16,L 4,
24,Sat Dec 10 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,105,133,7,17,L 5,
25,Sun Dec 11 2016,8:30p ET,,Box Score,@,Phoenix Suns,W,OT,120,119,8,17,W 1,
26,Tue Dec 13 2016,8:00p ET,,Box Score,,Golden State Warriors,L,,109,113,8,18,L 1,
27,Thu Dec 15 2016,8:00p ET,,Box Score,,Indiana Pacers,W,,102,95,9,18,W 1,
28,Fri Dec 16 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,100,122,9,19,L 1,
29,Sun Dec 18 2016,7:00p ET,,Box Score,@,San Antonio Spurs,L,,100,113,9,20,L 2,
30,Tue Dec 20 2016,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,108,93,10,20,W 1,
31,Wed Dec 21 2016,8:00p ET,,Box Score,,Oklahoma City Thunder,L,,110,121,10,21,L 1,
32,Fri Dec 23 2016,8:00p ET,,Box Score,,Miami Heat,W,,91,87,11,21,W 1,
33,Mon Dec 26 2016,8:00p ET,,Box Score,,Dallas Mavericks,W,,111,104,12,21,W 2,
34,Wed Dec 28 2016,8:00p ET,,Box Score,,Los Angeles Clippers,W,,102,98,13,21,W 3,
35,Fri Dec 30 2016,8:00p ET,,Box Score,,New York Knicks,W,,104,92,14,21,W 4,
36,Mon Jan 2 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,82,90,14,22,L 1,
37,Thu Jan 5 2017,8:00p ET,,Box Score,,Atlanta Hawks,L,,94,99,14,23,L 2,
38,Sat Jan 7 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,108,117,14,24,L 3,
39,Mon Jan 9 2017,7:30p ET,,Box Score,@,New York Knicks,W,,110,96,15,24,W 1,
40,Thu Jan 12 2017,7:30p ET,,Box Score,@,Brooklyn Nets,W,,104,95,16,24,W 2,
41,Sat Jan 14 2017,5:00p ET,,Box Score,@,Chicago Bulls,L,,99,107,16,25,L 1,
42,Mon Jan 16 2017,4:00p ET,,Box Score,@,Indiana Pacers,L,,95,98,16,26,L 2,
43,Wed Jan 18 2017,8:00p ET,,Box Score,,Orlando Magic,W,,118,98,17,26,W 1,
44,Fri Jan 20 2017,8:00p ET,,Box Score,,Brooklyn Nets,L,,114,143,17,27,L 1,
45,Mon Jan 23 2017,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,124,122,18,27,W 1,
46,Wed Jan 25 2017,8:00p ET,,Box Score,,Oklahoma City Thunder,L,,105,114,18,28,L 1,
47,Fri Jan 27 2017,8:00p ET,,Box Score,,San Antonio Spurs,W,,119,103,19,28,W 1,
48,Sun Jan 29 2017,6:00p ET,,Box Score,,Washington Wizards,L,,94,107,19,29,L 1,
49,Tue Jan 31 2017,7:00p ET,,Box Score,@,Toronto Raptors,L,OT,106,108,19,30,L 2,
50,Wed Feb 1 2017,7:30p ET,,Box Score,@,Detroit Pistons,L,,98,118,19,31,L 3,
51,Sat Feb 4 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,91,105,19,32,L 4,
52,Mon Feb 6 2017,8:00p ET,,Box Score,,Phoenix Suns,W,,111,106,20,32,W 1,
53,Wed Feb 8 2017,8:00p ET,,Box Score,,Utah Jazz,L,,94,127,20,33,L 1,
54,Fri Feb 10 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,122,106,21,33,W 1,
55,Sun Feb 12 2017,9:00p ET,,Box Score,@,Sacramento Kings,L,,99,105,21,34,L 1,
56,Mon Feb 13 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,110,108,22,34,W 1,
57,Wed Feb 15 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,95,91,23,34,W 2,
58,Thu Feb 23 2017,8:00p ET,,Box Score,,Houston Rockets,L,,99,129,23,35,L 1,
59,Sat Feb 25 2017,8:30p ET,,Box Score,@,Dallas Mavericks,L,,83,96,23,36,L 2,
60,Sun Feb 26 2017,7:00p ET,,Box Score,@,Oklahoma City Thunder,L,,110,118,23,37,L 3,
61,Wed Mar 1 2017,8:00p ET,,Box Score,,Detroit Pistons,W,,109,86,24,37,W 1,
62,Fri Mar 3 2017,9:30p ET,,Box Score,,San Antonio Spurs,L,OT,98,101,24,38,L 1,
63,Sun Mar 5 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,105,97,25,38,W 1,
64,Mon Mar 6 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,83,88,25,39,L 1,
65,Wed Mar 8 2017,8:00p ET,,Box Score,,Toronto Raptors,L,,87,94,25,40,L 2,
66,Sat Mar 11 2017,7:00p ET,,Box Score,@,Charlotte Hornets,W,OT,125,122,26,40,W 1,
67,Tue Mar 14 2017,8:00p ET,,Box Score,,Portland Trail Blazers,W,,100,77,27,40,W 2,
68,Wed Mar 15 2017,7:30p ET,,Box Score,@,Miami Heat,L,,112,120,27,41,L 1,
69,Fri Mar 17 2017,8:00p ET,,Box Score,,Houston Rockets,W,,128,112,28,41,W 1,
70,Sun Mar 19 2017,6:00p ET,,Box Score,,Minnesota Timberwolves,W,,123,109,29,41,W 2,
71,Tue Mar 21 2017,8:00p ET,,Box Score,,Memphis Grizzlies,W,,95,82,30,41,W 3,
72,Fri Mar 24 2017,8:00p ET,,Box Score,@,Houston Rockets,L,,107,117,30,42,L 1,
73,Sun Mar 26 2017,8:00p ET,,Box Score,@,Denver Nuggets,W,,115,90,31,42,W 1,
74,Mon Mar 27 2017,10:30p ET,,Box Score,@,Utah Jazz,L,,100,108,31,43,L 1,
75,Wed Mar 29 2017,8:00p ET,,Box Score,,Dallas Mavericks,W,,121,118,32,43,W 1,
76,Fri Mar 31 2017,8:00p ET,,Box Score,,Sacramento Kings,W,,117,89,33,43,W 2,
77,Sun Apr 2 2017,6:00p ET,,Box Score,,Chicago Bulls,L,,110,117,33,44,L 1,
78,Tue Apr 4 2017,8:00p ET,,Box Score,,Denver Nuggets,L,,131,134,33,45,L 2,
79,Fri Apr 7 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,106,122,33,46,L 3,
80,Sat Apr 8 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,101,123,33,47,L 4,
81,Tue Apr 11 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,96,108,33,48,L 5,
82,Wed Apr 12 2017,10:30p ET,,Box Score,@,Portland Trail Blazers,W,,103,100,34,48,W 1,
1,Wed Oct 18 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,91,103,0,1,L 1,
2,Fri Oct 20 2017,9:30p ET,,Box Score,,Golden State Warriors,L,,120,128,0,2,L 2,
3,Sun Oct 22 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,119,112,1,2,W 1,
4,Tue Oct 24 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,93,103,1,3,L 1,
5,Thu Oct 26 2017,10:30p ET,,Box Score,@,Sacramento Kings,W,,114,106,2,3,W 1,
6,Sat Oct 28 2017,7:00p ET,,Box Score,,Cleveland Cavaliers,W,,123,101,3,3,W 2,
7,Mon Oct 30 2017,8:00p ET,,Box Score,,Orlando Magic,L,,99,115,3,4,L 1,
8,Wed Nov 1 2017,8:00p ET,,Box Score,,Minnesota Timberwolves,L,,98,104,3,5,L 2,
9,Fri Nov 3 2017,8:30p ET,,Box Score,@,Dallas Mavericks,W,,99,94,4,5,W 1,
10,Sat Nov 4 2017,8:00p ET,,Box Score,@,Chicago Bulls,W,OT,96,90,5,5,W 2,
11,Tue Nov 7 2017,7:00p ET,,Box Score,@,Indiana Pacers,W,,117,112,6,5,W 3,
12,Thu Nov 9 2017,7:30p ET,,Box Score,@,Toronto Raptors,L,,118,122,6,6,L 1,
13,Sat Nov 11 2017,7:00p ET,,Box Score,,Los Angeles Clippers,W,,111,103,7,6,W 1,
14,Mon Nov 13 2017,8:00p ET,,Box Score,,Atlanta Hawks,W,,106,105,8,6,W 2,
15,Wed Nov 15 2017,8:00p ET,,Box Score,,Toronto Raptors,L,,116,125,8,7,L 1,
16,Fri Nov 17 2017,10:30p ET,,Box Score,@,Denver Nuggets,L,,114,146,8,8,L 2,
17,Mon Nov 20 2017,8:00p ET,,Box Score,,Oklahoma City Thunder,W,,114,107,9,8,W 1,
18,Wed Nov 22 2017,8:00p ET,,Box Score,,San Antonio Spurs,W,,107,90,10,8,W 2,
19,Fri Nov 24 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,115,91,11,8,W 3,
20,Sat Nov 25 2017,8:30p ET,,Box Score,@,Golden State Warriors,L,,95,110,11,9,L 1,
21,Wed Nov 29 2017,8:00p ET,,Box Score,,Minnesota Timberwolves,L,,102,120,11,10,L 2,
22,Fri Dec 1 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,108,114,11,11,L 3,
23,Sat Dec 2 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,123,116,12,11,W 1,
24,Mon Dec 4 2017,8:00p ET,,Box Score,,Golden State Warriors,L,,115,125,12,12,L 1,
25,Wed Dec 6 2017,8:00p ET,,Box Score,,Denver Nuggets,W,,123,114,13,12,W 1,
26,Fri Dec 8 2017,8:00p ET,,Box Score,,Sacramento Kings,L,OT,109,116,13,13,L 1,
27,Sun Dec 10 2017,7:00p ET,,Box Score,,Philadelphia 76ers,W,,131,124,14,13,W 1,
28,Mon Dec 11 2017,8:00p ET,,Box Score,@,Houston Rockets,L,,123,130,14,14,L 1,
29,Wed Dec 13 2017,8:00p ET,,Box Score,,Milwaukee Bucks,W,,115,108,15,14,W 1,
30,Fri Dec 15 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,OT,111,117,15,15,L 1,
31,Tue Dec 19 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,106,116,15,16,L 2,
32,Fri Dec 22 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,111,97,16,16,W 1,
33,Sat Dec 23 2017,8:00p ET,,Box Score,@,Miami Heat,W,,109,94,17,16,W 2,
34,Wed Dec 27 2017,8:00p ET,,Box Score,,Brooklyn Nets,W,,128,113,18,16,W 3,
