G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 25 2016,7:30p ET,,Box Score,@,Cleveland Cavaliers,L,,88,117,0,1,L 1,
2,Sat Oct 29 2016,7:30p ET,,Box Score,,Memphis Grizzlies,W,,111,104,1,1,W 1,
3,Tue Nov 1 2016,7:30p ET,,Box Score,@,Detroit Pistons,L,,89,102,1,2,L 1,
4,Wed Nov 2 2016,7:30p ET,,Box Score,,Houston Rockets,L,,99,118,1,3,L 2,
5,Fri Nov 4 2016,8:00p ET,,Box Score,@,Chicago Bulls,W,,117,104,2,3,W 1,
6,Sun Nov 6 2016,12:00p ET,,Box Score,,Utah Jazz,L,,109,114,2,4,L 1,
7,Wed Nov 9 2016,7:00p ET,,Box Score,,Brooklyn Nets,W,,110,96,3,4,W 1,
8,Fri Nov 11 2016,7:30p ET,,Box Score,@,Boston Celtics,L,,87,115,3,5,L 1,
9,Sat Nov 12 2016,7:30p ET,,Box Score,@,Toronto Raptors,L,,107,118,3,6,L 2,
10,Mon Nov 14 2016,7:30p ET,,Box Score,,Dallas Mavericks,W,,93,77,4,6,W 1,
11,Wed Nov 16 2016,7:30p ET,,Box Score,,Detroit Pistons,W,,105,102,5,6,W 2,
12,Thu Nov 17 2016,7:00p ET,,Box Score,@,Washington Wizards,L,,112,119,5,7,L 1,
13,Sun Nov 20 2016,12:00p ET,,Box Score,,Atlanta Hawks,W,,104,94,6,7,W 1,
14,Tue Nov 22 2016,7:30p ET,,Box Score,,Portland Trail Blazers,W,,107,103,7,7,W 2,
15,Fri Nov 25 2016,7:30p ET,,Box Score,,Charlotte Hornets,W,OT,113,111,8,7,W 3,
16,Sat Nov 26 2016,7:00p ET,,Box Score,@,Charlotte Hornets,L,,102,107,8,8,L 1,
17,Mon Nov 28 2016,7:30p ET,,Box Score,,Oklahoma City Thunder,L,,103,112,8,9,L 2,
18,Wed Nov 30 2016,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,106,104,9,9,W 1,
19,Fri Dec 2 2016,7:30p ET,,Box Score,,Minnesota Timberwolves,W,,118,114,10,9,W 2,
20,Sun Dec 4 2016,7:30p ET,,Box Score,,Sacramento Kings,W,,106,98,11,9,W 3,
21,Tue Dec 6 2016,7:30p ET,,Box Score,@,Miami Heat,W,,114,103,12,9,W 4,
22,Wed Dec 7 2016,8:00p ET,,Box Score,,Cleveland Cavaliers,L,,94,126,12,10,L 1,
23,Fri Dec 9 2016,10:30p ET,,Box Score,@,Sacramento Kings,W,,103,100,13,10,W 1,
24,Sun Dec 11 2016,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,118,112,14,10,W 2,
25,Tue Dec 13 2016,9:00p ET,,Box Score,@,Phoenix Suns,L,OT,111,113,14,11,L 1,
26,Thu Dec 15 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,90,103,14,12,L 2,
27,Sat Dec 17 2016,9:00p ET,,Box Score,@,Denver Nuggets,L,,114,127,14,13,L 3,
28,Tue Dec 20 2016,7:30p ET,,Box Score,,Indiana Pacers,W,,118,111,15,13,W 1,
29,Thu Dec 22 2016,7:30p ET,,Box Score,,Orlando Magic,W,,106,95,16,13,W 2,
30,Sun Dec 25 2016,12:00p ET,,Box Score,,Boston Celtics,L,,114,119,16,14,L 1,
31,Wed Dec 28 2016,7:30p ET,,Box Score,@,Atlanta Hawks,L,OT,98,102,16,15,L 2,
32,Fri Dec 30 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,92,104,16,16,L 3,
33,Sat Dec 31 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,122,129,16,17,L 4,
34,Mon Jan 2 2017,7:30p ET,,Box Score,,Orlando Magic,L,,103,115,16,18,L 5,
35,Wed Jan 4 2017,7:30p ET,,Box Score,,Milwaukee Bucks,L,,104,105,16,19,L 6,
36,Fri Jan 6 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,116,111,17,19,W 1,
37,Sat Jan 7 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,109,123,17,20,L 1,
38,Mon Jan 9 2017,7:30p ET,,Box Score,,New Orleans Pelicans,L,,96,110,17,21,L 2,
39,Wed Jan 11 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,97,98,17,22,L 3,
40,Thu Jan 12 2017,8:00p ET,,Box Score,,Chicago Bulls,W,,104,89,18,22,W 1,
41,Sun Jan 15 2017,3:00p ET,,Box Score,@,Toronto Raptors,L,,101,116,18,23,L 1,
42,Mon Jan 16 2017,1:00p ET,,Box Score,,Atlanta Hawks,L,,107,108,18,24,L 2,
43,Wed Jan 18 2017,7:30p ET,,Box Score,@,Boston Celtics,W,,117,106,19,24,W 1,
44,Thu Jan 19 2017,8:00p ET,,Box Score,,Washington Wizards,L,,110,113,19,25,L 1,
45,Sat Jan 21 2017,7:30p ET,,Box Score,,Phoenix Suns,L,,105,107,19,26,L 2,
46,Mon Jan 23 2017,8:00p ET,,Box Score,@,Indiana Pacers,W,,109,103,20,26,W 1,
47,Wed Jan 25 2017,8:30p ET,,Box Score,@,Dallas Mavericks,L,,95,103,20,27,L 1,
48,Fri Jan 27 2017,7:30p ET,,Box Score,,Charlotte Hornets,W,,110,107,21,27,W 1,
49,Sun Jan 29 2017,3:00p ET,,Box Score,@,Atlanta Hawks,L,4OT,139,142,21,28,L 1,
50,Tue Jan 31 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,101,117,21,29,L 2,
51,Wed Feb 1 2017,7:30p ET,,Box Score,@,Brooklyn Nets,W,,95,90,22,29,W 1,
52,Sat Feb 4 2017,8:30p ET,,Box Score,,Cleveland Cavaliers,L,,104,111,22,30,L 1,
53,Mon Feb 6 2017,7:00p ET,,Box Score,,Los Angeles Lakers,L,,107,121,22,31,L 2,
54,Wed Feb 8 2017,8:00p ET,,Box Score,,Los Angeles Clippers,L,,115,119,22,32,L 3,
55,Fri Feb 10 2017,7:30p ET,,Box Score,,Denver Nuggets,L,,123,131,22,33,L 4,
56,Sun Feb 12 2017,3:30p ET,,Box Score,,San Antonio Spurs,W,,94,90,23,33,W 1,
57,Wed Feb 15 2017,9:30p ET,,Box Score,@,Oklahoma City Thunder,L,,105,116,23,34,L 1,
