G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 26 2016,7:00p ET,,Box Score,,Miami Heat,L,,96,108,0,1,L 1,
2,Fri Oct 28 2016,7:30p ET,,Box Score,@,Detroit Pistons,L,,82,108,0,2,L 2,
3,Sat Oct 29 2016,7:30p ET,,Box Score,@,Cleveland Cavaliers,L,,99,105,0,3,L 3,
4,Tue Nov 1 2016,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,103,101,1,3,W 1,
5,Thu Nov 3 2016,7:00p ET,,Box Score,,Sacramento Kings,W,,102,94,2,3,W 2,
6,Sat Nov 5 2016,7:00p ET,,Box Score,,Washington Wizards,W,,88,86,3,3,W 3,
7,Mon Nov 7 2016,8:00p ET,,Box Score,@,Chicago Bulls,L,,80,112,3,4,L 1,
8,Wed Nov 9 2016,7:00p ET,,Box Score,,Minnesota Timberwolves,L,,107,123,3,5,L 2,
9,Fri Nov 11 2016,7:00p ET,,Box Score,,Utah Jazz,L,,74,87,3,6,L 3,
10,Sun Nov 13 2016,7:00p ET,,Box Score,@,Oklahoma City Thunder,W,,119,117,4,6,W 1,
11,Mon Nov 14 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,,69,88,4,7,L 1,
12,Wed Nov 16 2016,7:00p ET,,Box Score,,New Orleans Pelicans,W,,89,82,5,7,W 1,
13,Sat Nov 19 2016,7:00p ET,,Box Score,,Dallas Mavericks,W,,95,87,6,7,W 2,
14,Mon Nov 21 2016,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,89,93,6,8,L 1,
15,Wed Nov 23 2016,7:00p ET,,Box Score,,Phoenix Suns,L,,87,92,6,9,L 2,
16,Fri Nov 25 2016,7:00p ET,,Box Score,,Washington Wizards,L,,91,94,6,10,L 3,
17,Sun Nov 27 2016,6:00p ET,,Box Score,,Milwaukee Bucks,L,,96,104,6,11,L 4,
18,Tue Nov 29 2016,8:30p ET,,Box Score,@,San Antonio Spurs,W,,95,83,7,11,W 1,
19,Thu Dec 1 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,94,95,7,12,L 1,
20,Fri Dec 2 2016,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,105,88,8,12,W 1,
21,Sun Dec 4 2016,6:00p ET,,Box Score,@,Detroit Pistons,W,,98,92,9,12,W 2,
22,Tue Dec 6 2016,7:00p ET,,Box Score,@,Washington Wizards,W,,124,116,10,12,W 3,
23,Wed Dec 7 2016,7:00p ET,,Box Score,,Boston Celtics,L,,87,117,10,13,L 1,
24,Fri Dec 9 2016,7:00p ET,,Box Score,@,Charlotte Hornets,L,,88,109,10,14,L 2,
25,Sat Dec 10 2016,7:00p ET,,Box Score,,Denver Nuggets,L,,113,121,10,15,L 3,
26,Tue Dec 13 2016,7:30p ET,,Box Score,@,Atlanta Hawks,W,,131,120,11,15,W 1,
27,Wed Dec 14 2016,7:00p ET,,Box Score,,Los Angeles Clippers,L,,108,113,11,16,L 1,
28,Fri Dec 16 2016,7:00p ET,,Box Score,,Brooklyn Nets,W,,118,111,12,16,W 1,
29,Sun Dec 18 2016,6:00p ET,,Box Score,,Toronto Raptors,L,,79,109,12,17,L 1,
30,Tue Dec 20 2016,7:30p ET,,Box Score,@,Miami Heat,W,2OT,136,130,13,17,W 1,
31,Thu Dec 22 2016,7:30p ET,,Box Score,@,New York Knicks,L,,95,106,13,18,L 1,
32,Fri Dec 23 2016,7:00p ET,,Box Score,,Los Angeles Lakers,W,,109,90,14,18,W 1,
33,Mon Dec 26 2016,7:00p ET,,Box Score,,Memphis Grizzlies,W,,112,102,15,18,W 2,
34,Wed Dec 28 2016,7:00p ET,,Box Score,,Charlotte Hornets,L,,101,120,15,19,L 1,
35,Sun Jan 1 2017,6:00p ET,,Box Score,@,Indiana Pacers,L,,104,117,15,20,L 2,
36,Mon Jan 2 2017,7:30p ET,,Box Score,@,New York Knicks,W,,115,103,16,20,W 1,
37,Wed Jan 4 2017,7:00p ET,,Box Score,,Atlanta Hawks,L,,92,111,16,21,L 1,
38,Fri Jan 6 2017,7:00p ET,,Box Score,,Houston Rockets,L,,93,100,16,22,L 2,
39,Sun Jan 8 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,L,,95,111,16,23,L 3,
40,Wed Jan 11 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,96,105,16,24,L 4,
41,Fri Jan 13 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,115,109,17,24,W 1,
42,Sat Jan 14 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,107,114,17,25,L 1,
43,Mon Jan 16 2017,5:00p ET,,Box Score,@,Denver Nuggets,L,,112,125,17,26,L 2,
44,Wed Jan 18 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,98,118,17,27,L 3,
45,Fri Jan 20 2017,7:00p ET,,Box Score,,Milwaukee Bucks,W,,112,96,18,27,W 1,
46,Sun Jan 22 2017,12:00p ET,,Box Score,,Golden State Warriors,L,,98,118,18,28,L 1,
47,Tue Jan 24 2017,7:00p ET,,Box Score,,Chicago Bulls,L,,92,100,18,29,L 2,
48,Fri Jan 27 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,98,128,18,30,L 3,
49,Sun Jan 29 2017,6:00p ET,,Box Score,@,Toronto Raptors,W,,114,113,19,30,W 1,
