G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 25 2016,10:00p ET,,Box Score,,Utah Jazz,W,,113,104,1,0,W 1,
2,Thu Oct 27 2016,10:30p ET,,Box Score,,Los Angeles Clippers,L,,106,114,1,1,L 1,
3,Sat Oct 29 2016,9:00p ET,,Box Score,@,Denver Nuggets,W,OT,115,113,2,1,W 1,
4,Tue Nov 1 2016,10:00p ET,,Box Score,,Golden State Warriors,L,,104,127,2,2,L 1,
5,Wed Nov 2 2016,10:00p ET,,Box Score,@,Phoenix Suns,L,OT,115,118,2,3,L 2,
6,Fri Nov 4 2016,8:30p ET,,Box Score,@,Dallas Mavericks,W,,105,95,3,3,W 1,
7,Sun Nov 6 2016,3:30p ET,,Box Score,@,Memphis Grizzlies,W,,100,94,4,3,W 2,
8,Tue Nov 8 2016,10:00p ET,,Box Score,,Phoenix Suns,W,,124,121,5,3,W 3,
9,Wed Nov 9 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,80,111,5,4,L 1,
10,Fri Nov 11 2016,10:00p ET,,Box Score,,Sacramento Kings,W,OT,122,120,6,4,W 1,
11,Sun Nov 13 2016,9:00p ET,,Box Score,,Denver Nuggets,W,,112,105,7,4,W 2,
12,Tue Nov 15 2016,10:00p ET,,Box Score,,Chicago Bulls,L,,88,113,7,5,L 1,
13,Thu Nov 17 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,109,126,7,6,L 2,
14,Fri Nov 18 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,101,113,7,7,L 3,
15,Sun Nov 20 2016,3:30p ET,,Box Score,@,Brooklyn Nets,W,,129,109,8,7,W 1,
16,Tue Nov 22 2016,7:30p ET,,Box Score,@,New York Knicks,L,,103,107,8,8,L 1,
17,Wed Nov 23 2016,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,125,137,8,9,L 2,
18,Fri Nov 25 2016,10:00p ET,,Box Score,,New Orleans Pelicans,W,,119,104,9,9,W 1,
19,Sun Nov 27 2016,9:00p ET,,Box Score,,Houston Rockets,L,,114,130,9,10,L 1,
20,Wed Nov 30 2016,10:00p ET,,Box Score,,Indiana Pacers,W,,131,109,10,10,W 1,
21,Sat Dec 3 2016,10:00p ET,,Box Score,,Miami Heat,W,,99,92,11,10,W 2,
22,Mon Dec 5 2016,8:00p ET,,Box Score,@,Chicago Bulls,W,,112,110,12,10,W 3,
23,Wed Dec 7 2016,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,107,115,12,11,L 1,
24,Thu Dec 8 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,86,88,12,12,L 2,
