G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 25 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,104,113,0,1,L 1,
2,Fri Oct 28 2016,9:00p ET,,Box Score,,Los Angeles Lakers,W,,96,89,1,1,W 1,
3,Sun Oct 30 2016,4:30p ET,,Box Score,@,Los Angeles Clippers,L,,75,88,1,2,L 1,
4,Tue Nov 1 2016,8:30p ET,,Box Score,@,San Antonio Spurs,W,,106,91,2,2,W 1,
5,Wed Nov 2 2016,9:00p ET,,Box Score,,Dallas Mavericks,W,,97,81,3,2,W 2,
6,Fri Nov 4 2016,9:00p ET,,Box Score,,San Antonio Spurs,L,,86,100,3,3,L 1,
7,Sun Nov 6 2016,12:00p ET,,Box Score,@,New York Knicks,W,,114,109,4,3,W 1,
8,Mon Nov 7 2016,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,109,84,5,3,W 2,
9,Wed Nov 9 2016,7:00p ET,,Box Score,@,Charlotte Hornets,L,,98,104,5,4,L 1,
10,Fri Nov 11 2016,7:00p ET,,Box Score,@,Orlando Magic,W,,87,74,6,4,W 1,
11,Sat Nov 12 2016,8:00p ET,,Box Score,@,Miami Heat,W,,102,91,7,4,W 2,
12,Mon Nov 14 2016,9:00p ET,,Box Score,,Memphis Grizzlies,L,,96,102,7,5,L 1,
13,Thu Nov 17 2016,10:30p ET,,Box Score,,Chicago Bulls,L,,77,85,7,6,L 2,
14,Sat Nov 19 2016,5:00p ET,,Box Score,@,Houston Rockets,L,,102,111,7,7,L 3,
15,Sun Nov 20 2016,9:00p ET,,Box Score,@,Denver Nuggets,L,,91,105,7,8,L 4,
16,Wed Nov 23 2016,9:00p ET,,Box Score,,Denver Nuggets,W,,108,83,8,8,W 1,
17,Fri Nov 25 2016,8:00p ET,,Box Score,,Atlanta Hawks,W,,95,68,9,8,W 2,
18,Mon Nov 28 2016,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,112,103,10,8,W 3,
19,Tue Nov 29 2016,9:00p ET,,Box Score,,Houston Rockets,W,,120,101,11,8,W 4,
20,Thu Dec 1 2016,9:00p ET,,Box Score,,Miami Heat,L,,110,111,11,9,L 1,
21,Sat Dec 3 2016,9:00p ET,,Box Score,,Denver Nuggets,W,,105,98,12,9,W 1,
22,Mon Dec 5 2016,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,107,101,13,9,W 2,
23,Tue Dec 6 2016,9:00p ET,,Box Score,,Phoenix Suns,W,,112,105,14,9,W 3,
24,Thu Dec 8 2016,9:00p ET,,Box Score,,Golden State Warriors,L,,99,106,14,10,L 1,
25,Sat Dec 10 2016,9:00p ET,,Box Score,,Sacramento Kings,W,,104,84,15,10,W 1,
26,Wed Dec 14 2016,9:00p ET,,Box Score,,Oklahoma City Thunder,W,,109,89,16,10,W 2,
27,Fri Dec 16 2016,10:30p ET,,Box Score,,Dallas Mavericks,W,,103,100,17,10,W 3,
28,Sun Dec 18 2016,6:00p ET,,Box Score,@,Memphis Grizzlies,W,,82,73,18,10,W 4,
