Week;Atlanta Hawks: (United States)
2016-10-30;52
2016-11-06;51
2016-11-13;46
2016-11-20;43
2016-11-27;48
2016-12-04;37
2016-12-11;31
2016-12-18;36
2016-12-25;40
2017-01-01;48
2017-01-08;47
2017-01-15;42
2017-01-22;42
2017-01-29;49
2017-02-05;35
2017-02-12;28
2017-02-19;33
2017-02-26;43
2017-03-05;43
2017-03-12;34
2017-03-19;28
2017-03-26;29
2017-04-02;39
2017-04-09;60
2017-04-16;80
2017-04-23;100
2017-04-30;18
2017-05-07;13
2017-05-14;13
2017-05-21;14
2017-05-28;12
2017-06-04;12
2017-06-11;14
2017-06-18;29
2017-06-25;21
2017-07-02;43
2017-07-09;25
2017-07-16;18
2017-07-23;15
2017-07-30;14
2017-08-06;12
2017-08-13;13
2017-08-20;12
2017-08-27;9
2017-09-03;10
2017-09-10;11
2017-09-17;12
2017-09-24;16
2017-10-01;27
2017-10-08;23
2017-10-15;32
2017-10-22;32
2017-10-29;29
2017-11-05;39
2017-11-12;28
2017-11-19;34
2017-11-26;30
2017-12-03;21
2017-12-10;27
2017-12-17;28
2017-12-24;28
2017-12-31;24
2018-01-07;26
2018-01-14;26
2018-01-21;25
2018-01-28;27
2018-02-04;36
2018-02-11;23
2018-02-18;16
2018-02-25;28
2018-03-04;20
2018-03-11;23
2018-03-18;25
2018-03-25;24
2018-04-01;23
2018-04-08;22
