Week;Charlotte Hornets: (United States)
2016-10-30;67
2016-11-06;75
2016-11-13;74
2016-11-20;83
2016-11-27;78
2016-12-04;67
2016-12-11;65
2016-12-18;68
2016-12-25;76
2017-01-01;80
2017-01-08;57
2017-01-15;65
2017-01-22;95
2017-01-29;71
2017-02-05;65
2017-02-12;60
2017-02-19;54
2017-02-26;60
2017-03-05;61
2017-03-12;52
2017-03-19;57
2017-03-26;52
2017-04-02;62
2017-04-09;36
2017-04-16;25
2017-04-23;25
2017-04-30;24
2017-05-07;22
2017-05-14;26
2017-05-21;22
2017-05-28;20
2017-06-04;24
2017-06-11;26
2017-06-18;100
2017-06-25;56
2017-07-02;51
2017-07-09;34
2017-07-16;34
2017-07-23;31
2017-07-30;39
2017-08-06;32
2017-08-13;34
2017-08-20;30
2017-08-27;28
2017-09-03;25
2017-09-10;30
2017-09-17;28
2017-09-24;33
2017-10-01;50
2017-10-08;50
2017-10-15;73
2017-10-22;72
2017-10-29;77
2017-11-05;74
2017-11-12;89
2017-11-19;82
2017-11-26;54
2017-12-03;77
2017-12-10;75
2017-12-17;65
2017-12-24;75
2017-12-31;57
2018-01-07;57
2018-01-14;66
2018-01-21;66
2018-01-28;59
2018-02-04;71
2018-02-11;49
2018-02-18;45
2018-02-25;62
2018-03-04;52
2018-03-11;36
2018-03-18;62
2018-03-25;73
2018-04-01;47
2018-04-08;43
