Week;Chicago Bulls: (United States)
2016-10-30;58
2016-11-06;36
2016-11-13;34
2016-11-20;40
2016-11-27;38
2016-12-04;38
2016-12-11;33
2016-12-18;28
2016-12-25;38
2017-01-01;38
2017-01-08;37
2017-01-15;30
2017-01-22;37
2017-01-29;32
2017-02-05;33
2017-02-12;34
2017-02-19;37
2017-02-26;40
2017-03-05;26
2017-03-12;26
2017-03-19;27
2017-03-26;28
2017-04-02;32
2017-04-09;42
2017-04-16;100
2017-04-23;95
2017-04-30;16
2017-05-07;12
2017-05-14;12
2017-05-21;12
2017-05-28;11
2017-06-04;15
2017-06-11;15
2017-06-18;37
2017-06-25;21
2017-07-02;21
2017-07-09;15
2017-07-16;13
2017-07-23;12
2017-07-30;10
2017-08-06;10
2017-08-13;9
2017-08-20;9
2017-08-27;9
2017-09-03;10
2017-09-10;9
2017-09-17;10
2017-09-24;15
2017-10-01;17
2017-10-08;19
2017-10-15;26
2017-10-22;29
2017-10-29;22
2017-11-05;20
2017-11-12;19
2017-11-19;25
2017-11-26;21
2017-12-03;19
2017-12-10;27
2017-12-17;33
2017-12-24;33
2017-12-31;27
2018-01-07;25
2018-01-14;38
2018-01-21;27
2018-01-28;27
2018-02-04;29
2018-02-11;21
2018-02-18;17
2018-02-25;19
2018-03-04;18
2018-03-11;17
2018-03-18;17
2018-03-25;16
2018-04-01;16
2018-04-08;14
