Week;Cleveland Cavaliers: (United States)
2016-10-30;14
2016-11-06;9
2016-11-13;9
2016-11-20;8
2016-11-27;10
2016-12-04;8
2016-12-11;8
2016-12-18;9
2016-12-25;19
2017-01-01;11
2017-01-08;12
2017-01-15;15
2017-01-22;12
2017-01-29;10
2017-02-05;13
2017-02-12;10
2017-02-19;10
2017-02-26;14
2017-03-05;10
2017-03-12;10
2017-03-19;9
2017-03-26;11
2017-04-02;12
2017-04-09;16
2017-04-16;19
2017-04-23;11
2017-04-30;19
2017-05-07;13
2017-05-14;29
2017-05-21;47
2017-05-28;39
2017-06-04;100
2017-06-11;50
2017-06-18;12
2017-06-25;11
2017-07-02;11
2017-07-09;8
2017-07-16;7
2017-07-23;10
2017-07-30;6
2017-08-06;6
2017-08-13;5
2017-08-20;10
2017-08-27;7
2017-09-03;6
2017-09-10;5
2017-09-17;5
2017-09-24;12
2017-10-01;10
2017-10-08;10
2017-10-15;22
2017-10-22;14
2017-10-29;14
2017-11-05;14
2017-11-12;15
2017-11-19;12
2017-11-26;13
2017-12-03;14
2017-12-10;13
2017-12-17;14
2017-12-24;16
2017-12-31;16
2018-01-07;13
2018-01-14;18
2018-01-21;14
2018-01-28;14
2018-02-04;36
2018-02-11;23
2018-02-18;11
2018-02-25;14
2018-03-04;12
2018-03-11;11
2018-03-18;12
2018-03-25;13
2018-04-01;16
2018-04-08;11
