Week;Dallas Mavericks: (United States)
2016-10-30;63
2016-11-06;74
2016-11-13;58
2016-11-20;65
2016-11-27;55
2016-12-04;61
2016-12-11;53
2016-12-18;53
2016-12-25;76
2017-01-01;47
2017-01-08;45
2017-01-15;57
2017-01-22;60
2017-01-29;94
2017-02-05;76
2017-02-12;62
2017-02-19;73
2017-02-26;79
2017-03-05;100
2017-03-12;56
2017-03-19;65
2017-03-26;51
2017-04-02;50
2017-04-09;87
2017-04-16;28
2017-04-23;21
2017-04-30;21
2017-05-07;24
2017-05-14;26
2017-05-21;25
2017-05-28;26
2017-06-04;29
2017-06-11;33
2017-06-18;58
2017-06-25;47
2017-07-02;65
2017-07-09;53
2017-07-16;50
2017-07-23;32
2017-07-30;25
2017-08-06;26
2017-08-13;25
2017-08-20;23
2017-08-27;21
2017-09-03;21
2017-09-10;21
2017-09-17;18
2017-09-24;28
2017-10-01;42
2017-10-08;38
2017-10-15;70
2017-10-22;78
2017-10-29;59
2017-11-05;48
2017-11-12;72
2017-11-19;65
2017-11-26;56
2017-12-03;47
2017-12-10;52
2017-12-17;53
2017-12-24;58
2017-12-31;75
2018-01-07;68
2018-01-14;48
2018-01-21;63
2018-01-28;55
2018-02-04;64
2018-02-11;57
2018-02-18;98
2018-02-25;65
2018-03-04;49
2018-03-11;47
2018-03-18;41
2018-03-25;44
2018-04-01;48
2018-04-08;37
