Week;Denver Nuggets: (United States)
2016-10-30;27
2016-11-06;26
2016-11-13;22
2016-11-20;27
2016-11-27;21
2016-12-04;19
2016-12-11;21
2016-12-18;23
2016-12-25;23
2017-01-01;24
2017-01-08;19
2017-01-15;26
2017-01-22;29
2017-01-29;29
2017-02-05;25
2017-02-12;54
2017-02-19;34
2017-02-26;26
2017-03-05;30
2017-03-12;32
2017-03-19;38
2017-03-26;31
2017-04-02;29
2017-04-09;33
2017-04-16;10
2017-04-23;9
2017-04-30;8
2017-05-07;10
2017-05-14;9
2017-05-21;9
2017-05-28;10
2017-06-04;9
2017-06-11;12
2017-06-18;26
2017-06-25;23
2017-07-02;36
2017-07-09;19
2017-07-16;14
2017-07-23;15
2017-07-30;12
2017-08-06;13
2017-08-13;13
2017-08-20;10
2017-08-27;8
2017-09-03;6
2017-09-10;9
2017-09-17;11
2017-09-24;15
2017-10-01;33
2017-10-08;21
2017-10-15;27
2017-10-22;33
2017-10-29;31
2017-11-05;39
2017-11-12;30
2017-11-19;37
2017-11-26;28
2017-12-03;26
2017-12-10;29
2017-12-17;28
2017-12-24;32
2017-12-31;27
2018-01-07;31
2018-01-14;28
2018-01-21;26
2018-01-28;45
2018-02-04;44
2018-02-11;32
2018-02-18;24
2018-02-25;36
2018-03-04;51
2018-03-11;35
2018-03-18;30
2018-03-25;32
2018-04-01;53
2018-04-08;100
