Week;Detroit Pistons: (United States)
2016-10-30;28
2016-11-06;20
2016-11-13;23
2016-11-20;29
2016-11-27;22
2016-12-04;24
2016-12-11;19
2016-12-18;26
2016-12-25;25
2017-01-01;19
2017-01-08;27
2017-01-15;21
2017-01-22;18
2017-01-29;21
2017-02-05;23
2017-02-12;22
2017-02-19;28
2017-02-26;23
2017-03-05;27
2017-03-12;21
2017-03-19;19
2017-03-26;19
2017-04-02;16
2017-04-09;19
2017-04-16;11
2017-04-23;9
2017-04-30;9
2017-05-07;11
2017-05-14;15
2017-05-21;10
2017-05-28;10
2017-06-04;14
2017-06-11;14
2017-06-18;24
2017-06-25;16
2017-07-02;25
2017-07-09;18
2017-07-16;14
2017-07-23;14
2017-07-30;11
2017-08-06;14
2017-08-13;11
2017-08-20;11
2017-08-27;7
2017-09-03;9
2017-09-10;8
2017-09-17;8
2017-09-24;10
2017-10-01;16
2017-10-08;16
2017-10-15;31
2017-10-22;28
2017-10-29;42
2017-11-05;35
2017-11-12;35
2017-11-19;32
2017-11-26;38
2017-12-03;34
2017-12-10;25
2017-12-17;27
2017-12-24;26
2017-12-31;24
2018-01-07;22
2018-01-14;26
2018-01-21;24
2018-01-28;100
2018-02-04;61
2018-02-11;33
2018-02-18;20
2018-02-25;25
2018-03-04;28
2018-03-11;19
2018-03-18;22
2018-03-25;23
2018-04-01;24
2018-04-08;17
