Week;Golden State Warriors: (United States)
2016-10-30;24
2016-11-06;13
2016-11-13;13
2016-11-20;15
2016-11-27;15
2016-12-04;16
2016-12-11;14
2016-12-18;14
2016-12-25;21
2017-01-01;13
2017-01-08;12
2017-01-15;22
2017-01-22;13
2017-01-29;16
2017-02-05;15
2017-02-12;16
2017-02-19;9
2017-02-26;14
2017-03-05;14
2017-03-12;13
2017-03-19;14
2017-03-26;16
2017-04-02;14
2017-04-09;14
2017-04-16;20
2017-04-23;18
2017-04-30;18
2017-05-07;18
2017-05-14;34
2017-05-21;28
2017-05-28;38
2017-06-04;100
2017-06-11;62
2017-06-18;7
2017-06-25;5
2017-07-02;8
2017-07-09;5
2017-07-16;4
2017-07-23;5
2017-07-30;3
2017-08-06;3
2017-08-13;3
2017-08-20;3
2017-08-27;3
2017-09-03;2
2017-09-10;2
2017-09-17;3
2017-09-24;5
2017-10-01;6
2017-10-08;5
2017-10-15;16
2017-10-22;16
2017-10-29;13
2017-11-05;11
2017-11-12;13
2017-11-19;17
2017-11-26;13
2017-12-03;11
2017-12-10;9
2017-12-17;13
2017-12-24;18
2017-12-31;13
2018-01-07;11
2018-01-14;16
2018-01-21;12
2018-01-28;14
2018-02-04;13
2018-02-11;11
2018-02-18;6
2018-02-25;12
2018-03-04;10
2018-03-11;10
2018-03-18;9
2018-03-25;9
2018-04-01;11
2018-04-08;13
