Week;Houston Rockets: (United States)
2016-10-30;16
2016-11-06;13
2016-11-13;15
2016-11-20;13
2016-11-27;22
2016-12-04;19
2016-12-11;20
2016-12-18;24
2016-12-25;21
2017-01-01;26
2017-01-08;23
2017-01-15;24
2017-01-22;18
2017-01-29;17
2017-02-05;13
2017-02-12;13
2017-02-19;22
2017-02-26;19
2017-03-05;18
2017-03-12;21
2017-03-19;14
2017-03-26;30
2017-04-02;16
2017-04-09;19
2017-04-16;62
2017-04-23;59
2017-04-30;82
2017-05-07;100
2017-05-14;8
2017-05-21;5
2017-05-28;4
2017-06-04;5
2017-06-11;6
2017-06-18;12
2017-06-25;36
2017-07-02;28
2017-07-09;27
2017-07-16;22
2017-07-23;18
2017-07-30;13
2017-08-06;10
2017-08-13;10
2017-08-20;8
2017-08-27;8
2017-09-03;10
2017-09-10;7
2017-09-17;8
2017-09-24;10
2017-10-01;15
2017-10-08;13
2017-10-15;45
2017-10-22;24
2017-10-29;19
2017-11-05;21
2017-11-12;29
2017-11-19;18
2017-11-26;20
2017-12-03;20
2017-12-10;34
2017-12-17;40
2017-12-24;36
2017-12-31;29
2018-01-07;21
2018-01-14;32
2018-01-21;35
2018-01-28;27
2018-02-04;36
2018-02-11;30
2018-02-18;18
2018-02-25;34
2018-03-04;58
2018-03-11;33
2018-03-18;38
2018-03-25;36
2018-04-01;33
2018-04-08;37
