Week;Indiana Pacers: (United States)
2016-10-30;24
2016-11-06;19
2016-11-13;23
2016-11-20;24
2016-11-27;14
2016-12-04;27
2016-12-11;17
2016-12-18;18
2016-12-25;17
2017-01-01;17
2017-01-08;15
2017-01-15;18
2017-01-22;20
2017-01-29;17
2017-02-05;26
2017-02-12;21
2017-02-19;26
2017-02-26;17
2017-03-05;16
2017-03-12;16
2017-03-19;15
2017-03-26;20
2017-04-02;36
2017-04-09;61
2017-04-16;100
2017-04-23;43
2017-04-30;9
2017-05-07;8
2017-05-14;9
2017-05-21;8
2017-05-28;7
2017-06-04;9
2017-06-11;8
2017-06-18;29
2017-06-25;24
2017-07-02;21
2017-07-09;13
2017-07-16;10
2017-07-23;11
2017-07-30;9
2017-08-06;7
2017-08-13;7
2017-08-20;8
2017-08-27;5
2017-09-03;5
2017-09-10;6
2017-09-17;6
2017-09-24;8
2017-10-01;11
2017-10-08;10
2017-10-15;21
2017-10-22;20
2017-10-29;27
2017-11-05;21
2017-11-12;17
2017-11-19;20
2017-11-26;22
2017-12-03;25
2017-12-10;32
2017-12-17;27
2017-12-24;25
2017-12-31;17
2018-01-07;27
2018-01-14;24
2018-01-21;22
2018-01-28;25
2018-02-04;29
2018-02-11;19
2018-02-18;14
2018-02-25;17
2018-03-04;21
2018-03-11;25
2018-03-18;20
2018-03-25;22
2018-04-01;27
2018-04-08;25
