Week;Los Angeles Lakers: (United States)
2016-10-30;51
2016-11-06;50
2016-11-13;46
2016-11-20;50
2016-11-27;35
2016-12-04;30
2016-12-11;31
2016-12-18;29
2016-12-25;32
2017-01-01;30
2017-01-08;27
2017-01-15;25
2017-01-22;25
2017-01-29;24
2017-02-05;23
2017-02-12;24
2017-02-19;52
2017-02-26;29
2017-03-05;25
2017-03-12;25
2017-03-19;25
2017-03-26;22
2017-04-02;23
2017-04-09;26
2017-04-16;15
2017-04-23;15
2017-04-30;14
2017-05-07;15
2017-05-14;31
2017-05-21;25
2017-05-28;23
2017-06-04;31
2017-06-11;43
2017-06-18;100
2017-06-25;56
2017-07-02;74
2017-07-09;64
2017-07-16;57
2017-07-23;33
2017-07-30;23
2017-08-06;21
2017-08-13;20
2017-08-20;19
2017-08-27;17
2017-09-03;15
2017-09-10;17
2017-09-17;18
2017-09-24;23
2017-10-01;37
2017-10-08;29
2017-10-15;64
2017-10-22;76
2017-10-29;55
2017-11-05;52
2017-11-12;55
2017-11-19;48
2017-11-26;43
2017-12-03;41
2017-12-10;49
2017-12-17;65
2017-12-24;51
2017-12-31;44
2018-01-07;48
2018-01-14;39
2018-01-21;42
2018-01-28;39
2018-02-04;74
2018-02-11;53
2018-02-18;31
2018-02-25;44
2018-03-04;55
2018-03-11;58
2018-03-18;30
2018-03-25;34
2018-04-01;32
2018-04-08;33
