Week;Memphis Grizzlies: (United States)
2016-10-30;26
2016-11-06;18
2016-11-13;24
2016-11-20;21
2016-11-27;20
2016-12-04;27
2016-12-11;40
2016-12-18;25
2016-12-25;23
2017-01-01;32
2017-01-08;28
2017-01-15;25
2017-01-22;19
2017-01-29;19
2017-02-05;28
2017-02-12;15
2017-02-19;14
2017-02-26;16
2017-03-05;17
2017-03-12;19
2017-03-19;17
2017-03-26;20
2017-04-02;20
2017-04-09;20
2017-04-16;72
2017-04-23;100
2017-04-30;10
2017-05-07;8
2017-05-14;6
2017-05-21;6
2017-05-28;6
2017-06-04;6
2017-06-11;6
2017-06-18;10
2017-06-25;9
2017-07-02;18
2017-07-09;11
2017-07-16;10
2017-07-23;8
2017-07-30;7
2017-08-06;7
2017-08-13;10
2017-08-20;6
2017-08-27;6
2017-09-03;5
2017-09-10;6
2017-09-17;7
2017-09-24;8
2017-10-01;13
2017-10-08;15
2017-10-15;22
2017-10-22;44
2017-10-29;26
2017-11-05;23
2017-11-12;20
2017-11-19;17
2017-11-26;27
2017-12-03;21
2017-12-10;19
2017-12-17;20
2017-12-24;20
2017-12-31;22
2018-01-07;13
2018-01-14;19
2018-01-21;17
2018-01-28;17
2018-02-04;15
2018-02-11;12
2018-02-18;14
2018-02-25;16
2018-03-04;16
2018-03-11;16
2018-03-18;22
2018-03-25;18
2018-04-01;13
2018-04-08;14
