Week;Miami Heat: (United States)
2016-10-30;48
2016-11-06;47
2016-11-13;41
2016-11-20;36
2016-11-27;35
2016-12-04;36
2016-12-11;37
2016-12-18;41
2016-12-25;34
2017-01-01;35
2017-01-08;33
2017-01-15;34
2017-01-22;57
2017-01-29;54
2017-02-05;77
2017-02-12;58
2017-02-19;46
2017-02-26;53
2017-03-05;66
2017-03-12;64
2017-03-19;54
2017-03-26;60
2017-04-02;53
2017-04-09;89
2017-04-16;24
2017-04-23;19
2017-04-30;19
2017-05-07;22
2017-05-14;23
2017-05-21;24
2017-05-28;27
2017-06-04;32
2017-06-11;36
2017-06-18;47
2017-06-25;50
2017-07-02;87
2017-07-09;42
2017-07-16;41
2017-07-23;42
2017-07-30;35
2017-08-06;29
2017-08-13;27
2017-08-20;24
2017-08-27;22
2017-09-03;17
2017-09-10;17
2017-09-17;18
2017-09-24;26
2017-10-01;28
2017-10-08;32
2017-10-15;37
2017-10-22;44
2017-10-29;40
2017-11-05;41
2017-11-12;33
2017-11-19;47
2017-11-26;39
2017-12-03;31
2017-12-10;31
2017-12-17;41
2017-12-24;42
2017-12-31;39
2018-01-07;50
2018-01-14;51
2018-01-21;57
2018-01-28;62
2018-02-04;100
2018-02-11;55
2018-02-18;37
2018-02-25;59
2018-03-04;57
2018-03-11;52
2018-03-18;52
2018-03-25;66
2018-04-01;59
2018-04-08;66
