Week;Minnesota Timberwolves: (United States)
2016-10-30;26
2016-11-06;17
2016-11-13;28
2016-11-20;24
2016-11-27;25
2016-12-04;19
2016-12-11;22
2016-12-18;24
2016-12-25;27
2017-01-01;19
2017-01-08;20
2017-01-15;19
2017-01-22;22
2017-01-29;24
2017-02-05;21
2017-02-12;23
2017-02-19;22
2017-02-26;18
2017-03-05;30
2017-03-12;21
2017-03-19;18
2017-03-26;16
2017-04-02;22
2017-04-09;40
2017-04-16;9
2017-04-23;6
2017-04-30;5
2017-05-07;5
2017-05-14;8
2017-05-21;6
2017-05-28;6
2017-06-04;7
2017-06-11;7
2017-06-18;58
2017-06-25;50
2017-07-02;54
2017-07-09;33
2017-07-16;28
2017-07-23;33
2017-07-30;19
2017-08-06;21
2017-08-13;16
2017-08-20;13
2017-08-27;11
2017-09-03;8
2017-09-10;12
2017-09-17;14
2017-09-24;18
2017-10-01;29
2017-10-08;18
2017-10-15;42
2017-10-22;49
2017-10-29;29
2017-11-05;43
2017-11-12;32
2017-11-19;31
2017-11-26;28
2017-12-03;22
2017-12-10;26
2017-12-17;26
2017-12-24;42
2017-12-31;35
2018-01-07;44
2018-01-14;35
2018-01-21;35
2018-01-28;31
2018-02-04;43
2018-02-11;34
2018-02-18;20
2018-02-25;28
2018-03-04;29
2018-03-11;33
2018-03-18;35
2018-03-25;33
2018-04-01;41
2018-04-08;100
