Week;New Orleans Pelicans: (United States)
2016-10-30;17
2016-11-06;19
2016-11-13;16
2016-11-20;15
2016-11-27;12
2016-12-04;11
2016-12-11;15
2016-12-18;11
2016-12-25;13
2017-01-01;13
2017-01-08;12
2017-01-15;11
2017-01-22;17
2017-01-29;9
2017-02-05;11
2017-02-12;13
2017-02-19;100
2017-02-26;29
2017-03-05;16
2017-03-12;16
2017-03-19;14
2017-03-26;15
2017-04-02;12
2017-04-09;13
2017-04-16;6
2017-04-23;5
2017-04-30;6
2017-05-07;5
2017-05-14;5
2017-05-21;5
2017-05-28;5
2017-06-04;6
2017-06-11;5
2017-06-18;11
2017-06-25;10
2017-07-02;12
2017-07-09;12
2017-07-16;11
2017-07-23;8
2017-07-30;6
2017-08-06;7
2017-08-13;6
2017-08-20;5
2017-08-27;5
2017-09-03;6
2017-09-10;6
2017-09-17;5
2017-09-24;7
2017-10-01;9
2017-10-08;8
2017-10-15;22
2017-10-22;26
2017-10-29;17
2017-11-05;14
2017-11-12;14
2017-11-19;15
2017-11-26;14
2017-12-03;15
2017-12-10;14
2017-12-17;10
2017-12-24;15
2017-12-31;10
2018-01-07;12
2018-01-14;18
2018-01-21;22
2018-01-28;21
2018-02-04;21
2018-02-11;13
2018-02-18;10
2018-02-25;17
2018-03-04;22
2018-03-11;17
2018-03-18;21
2018-03-25;18
2018-04-01;19
2018-04-08;32
