Week;New York Knicks: (United States)
2016-10-30;88
2016-11-06;62
2016-11-13;65
2016-11-20;74
2016-11-27;73
2016-12-04;84
2016-12-11;80
2016-12-18;68
2016-12-25;69
2017-01-01;69
2017-01-08;72
2017-01-15;70
2017-01-22;71
2017-01-29;72
2017-02-05;91
2017-02-12;67
2017-02-19;66
2017-02-26;56
2017-03-05;52
2017-03-12;42
2017-03-19;39
2017-03-26;38
2017-04-02;38
2017-04-09;33
2017-04-16;25
2017-04-23;18
2017-04-30;19
2017-05-07;20
2017-05-14;28
2017-05-21;22
2017-05-28;24
2017-06-04;26
2017-06-11;28
2017-06-18;81
2017-06-25;71
2017-07-02;84
2017-07-09;69
2017-07-16;62
2017-07-23;70
2017-07-30;45
2017-08-06;39
2017-08-13;34
2017-08-20;34
2017-08-27;29
2017-09-03;26
2017-09-10;25
2017-09-17;37
2017-09-24;46
2017-10-01;43
2017-10-08;38
2017-10-15;59
2017-10-22;57
2017-10-29;75
2017-11-05;83
2017-11-12;100
2017-11-19;74
2017-11-26;54
2017-12-03;49
2017-12-10;70
2017-12-17;82
2017-12-24;66
2017-12-31;53
2018-01-07;52
2018-01-14;55
2018-01-21;56
2018-01-28;59
2018-02-04;73
2018-02-11;43
2018-02-18;30
2018-02-25;41
2018-03-04;31
2018-03-11;29
2018-03-18;32
2018-03-25;32
2018-04-01;30
2018-04-08;38
