Week;Oklahoma City Thunder: (United States)
2016-10-30;100
2016-11-06;33
2016-11-13;30
2016-11-20;31
2016-11-27;29
2016-12-04;30
2016-12-11;28
2016-12-18;26
2016-12-25;34
2017-01-01;31
2017-01-08;27
2017-01-15;45
2017-01-22;24
2017-01-29;32
2017-02-05;43
2017-02-12;67
2017-02-19;32
2017-02-26;36
2017-03-05;31
2017-03-12;28
2017-03-19;37
2017-03-26;42
2017-04-02;53
2017-04-09;42
2017-04-16;87
2017-04-23;72
2017-04-30;9
2017-05-07;10
2017-05-14;9
2017-05-21;9
2017-05-28;10
2017-06-04;12
2017-06-11;12
2017-06-18;16
2017-06-25;32
2017-07-02;35
2017-07-09;19
2017-07-16;14
2017-07-23;17
2017-07-30;13
2017-08-06;11
2017-08-13;11
2017-08-20;10
2017-08-27;9
2017-09-03;9
2017-09-10;9
2017-09-17;32
2017-09-24;53
2017-10-01;35
2017-10-08;27
2017-10-15;54
2017-10-22;61
2017-10-29;47
2017-11-05;47
2017-11-12;39
2017-11-19;66
2017-11-26;37
2017-12-03;38
2017-12-10;47
2017-12-17;42
2017-12-24;60
2017-12-31;42
2018-01-07;34
2018-01-14;38
2018-01-21;43
2018-01-28;54
2018-02-04;68
2018-02-11;45
2018-02-18;28
2018-02-25;53
2018-03-04;39
2018-03-11;39
2018-03-18;37
2018-03-25;36
2018-04-01;38
2018-04-08;60
