Week;Orlando Magic: (United States)
2016-10-30;58
2016-11-06;53
2016-11-13;51
2016-11-20;50
2016-11-27;46
2016-12-04;53
2016-12-11;56
2016-12-18;61
2016-12-25;57
2017-01-01;58
2017-01-08;52
2017-01-15;54
2017-01-22;63
2017-01-29;52
2017-02-05;47
2017-02-12;64
2017-02-19;72
2017-02-26;45
2017-03-05;51
2017-03-12;48
2017-03-19;44
2017-03-26;50
2017-04-02;55
2017-04-09;44
2017-04-16;23
2017-04-23;21
2017-04-30;19
2017-05-07;19
2017-05-14;26
2017-05-21;28
2017-05-28;25
2017-06-04;24
2017-06-11;29
2017-06-18;62
2017-06-25;33
2017-07-02;42
2017-07-09;33
2017-07-16;29
2017-07-23;33
2017-07-30;23
2017-08-06;24
2017-08-13;22
2017-08-20;18
2017-08-27;17
2017-09-03;16
2017-09-10;17
2017-09-17;23
2017-09-24;23
2017-10-01;35
2017-10-08;41
2017-10-15;63
2017-10-22;100
2017-10-29;89
2017-11-05;77
2017-11-12;63
2017-11-19;55
2017-11-26;69
2017-12-03;53
2017-12-10;42
2017-12-17;48
2017-12-24;53
2017-12-31;52
2018-01-07;52
2018-01-14;65
2018-01-21;46
2018-01-28;59
2018-02-04;84
2018-02-11;45
2018-02-18;38
2018-02-25;42
2018-03-04;42
2018-03-11;45
2018-03-18;40
2018-03-25;43
2018-04-01;38
2018-04-08;37
