Week;Portland Trail Blazers: (United States)
2016-10-30;55
2016-11-06;43
2016-11-13;40
2016-11-20;41
2016-11-27;29
2016-12-04;31
2016-12-11;36
2016-12-18;43
2016-12-25;32
2017-01-01;42
2017-01-08;53
2017-01-15;32
2017-01-22;34
2017-01-29;41
2017-02-05;33
2017-02-12;34
2017-02-19;28
2017-02-26;32
2017-03-05;38
2017-03-12;37
2017-03-19;39
2017-03-26;53
2017-04-02;49
2017-04-09;60
2017-04-16;100
2017-04-23;77
2017-04-30;13
2017-05-07;17
2017-05-14;10
2017-05-21;11
2017-05-28;11
2017-06-04;13
2017-06-11;14
2017-06-18;36
2017-06-25;21
2017-07-02;22
2017-07-09;21
2017-07-16;30
2017-07-23;21
2017-07-30;14
2017-08-06;14
2017-08-13;14
2017-08-20;13
2017-08-27;10
2017-09-03;10
2017-09-10;12
2017-09-17;16
2017-09-24;15
2017-10-01;25
2017-10-08;25
2017-10-15;42
2017-10-22;48
2017-10-29;49
2017-11-05;42
2017-11-12;34
2017-11-19;37
2017-11-26;34
2017-12-03;27
2017-12-10;35
2017-12-17;35
2017-12-24;34
2017-12-31;40
2018-01-07;38
2018-01-14;35
2018-01-21;37
2018-01-28;43
2018-02-04;50
2018-02-11;35
2018-02-18;19
2018-02-25;39
2018-03-04;72
2018-03-11;62
2018-03-18;83
2018-03-25;60
2018-04-01;44
2018-04-08;70
