Week;Sacramento Kings: (United States)
2016-10-30;47
2016-11-06;50
2016-11-13;36
2016-11-20;43
2016-11-27;45
2016-12-04;38
2016-12-11;34
2016-12-18;40
2016-12-25;40
2017-01-01;40
2017-01-08;51
2017-01-15;36
2017-01-22;42
2017-01-29;38
2017-02-05;63
2017-02-12;48
2017-02-19;100
2017-02-26;44
2017-03-05;38
2017-03-12;32
2017-03-19;30
2017-03-26;36
2017-04-02;27
2017-04-09;29
2017-04-16;13
2017-04-23;11
2017-04-30;11
2017-05-07;12
2017-05-14;22
2017-05-21;15
2017-05-28;15
2017-06-04;18
2017-06-11;18
2017-06-18;60
2017-06-25;35
2017-07-02;69
2017-07-09;42
2017-07-16;22
2017-07-23;17
2017-07-30;16
2017-08-06;14
2017-08-13;16
2017-08-20;12
2017-08-27;11
2017-09-03;10
2017-09-10;14
2017-09-17;13
2017-09-24;16
2017-10-01;28
2017-10-08;33
2017-10-15;50
2017-10-22;46
2017-10-29;36
2017-11-05;42
2017-11-12;36
2017-11-19;46
2017-11-26;43
2017-12-03;35
2017-12-10;30
2017-12-17;32
2017-12-24;45
2017-12-31;29
2018-01-07;39
2018-01-14;29
2018-01-21;31
2018-01-28;38
2018-02-04;39
2018-02-11;29
2018-02-18;25
2018-02-25;39
2018-03-04;28
2018-03-11;31
2018-03-18;38
2018-03-25;35
2018-04-01;35
2018-04-08;37
