Week;San Antonio Spurs: (United States)
2016-10-30;21
2016-11-06;13
2016-11-13;14
2016-11-20;13
2016-11-27;12
2016-12-04;13
2016-12-11;12
2016-12-18;16
2016-12-25;16
2017-01-01;13
2017-01-08;13
2017-01-15;12
2017-01-22;20
2017-01-29;13
2017-02-05;11
2017-02-12;11
2017-02-19;9
2017-02-26;13
2017-03-05;21
2017-03-12;21
2017-03-19;14
2017-03-26;29
2017-04-02;17
2017-04-09;16
2017-04-16;34
2017-04-23;51
2017-04-30;64
2017-05-07;86
2017-05-14;100
2017-05-21;59
2017-05-28;7
2017-06-04;7
2017-06-11;7
2017-06-18;12
2017-06-25;12
2017-07-02;14
2017-07-09;10
2017-07-16;11
2017-07-23;11
2017-07-30;7
2017-08-06;6
2017-08-13;6
2017-08-20;5
2017-08-27;4
2017-09-03;3
2017-09-10;4
2017-09-17;4
2017-09-24;6
2017-10-01;7
2017-10-08;8
2017-10-15;14
2017-10-22;17
2017-10-29;17
2017-11-05;13
2017-11-12;14
2017-11-19;10
2017-11-26;12
2017-12-03;15
2017-12-10;16
2017-12-17;14
2017-12-24;14
2017-12-31;12
2018-01-07;13
2018-01-14;10
2018-01-21;16
2018-01-28;13
2018-02-04;13
2018-02-11;13
2018-02-18;7
2018-02-25;13
2018-03-04;14
2018-03-11;15
2018-03-18;18
2018-03-25;16
2018-04-01;19
2018-04-08;27
