Week;Toronto Raptors: (United States)
2016-10-30;19
2016-11-06;18
2016-11-13;40
2016-11-20;25
2016-11-27;19
2016-12-04;28
2016-12-11;17
2016-12-18;17
2016-12-25;29
2017-01-01;23
2017-01-08;25
2017-01-15;21
2017-01-22;21
2017-01-29;24
2017-02-05;17
2017-02-12;27
2017-02-19;24
2017-02-26;25
2017-03-05;17
2017-03-12;16
2017-03-19;31
2017-03-26;17
2017-04-02;26
2017-04-09;41
2017-04-16;73
2017-04-23;74
2017-04-30;100
2017-05-07;46
2017-05-14;11
2017-05-21;8
2017-05-28;8
2017-06-04;9
2017-06-11;8
2017-06-18;10
2017-06-25;12
2017-07-02;14
2017-07-09;14
2017-07-16;9
2017-07-23;8
2017-07-30;8
2017-08-06;8
2017-08-13;7
2017-08-20;7
2017-08-27;6
2017-09-03;7
2017-09-10;6
2017-09-17;7
2017-09-24;8
2017-10-01;13
2017-10-08;9
2017-10-15;15
2017-10-22;32
2017-10-29;16
2017-11-05;14
2017-11-12;22
2017-11-19;17
2017-11-26;13
2017-12-03;15
2017-12-10;18
2017-12-17;21
2017-12-24;27
2017-12-31;21
2018-01-07;36
2018-01-14;30
2018-01-21;19
2018-01-28;23
2018-02-04;25
2018-02-11;25
2018-02-18;17
2018-02-25;24
2018-03-04;53
2018-03-11;37
2018-03-18;46
2018-03-25;22
2018-04-01;40
2018-04-08;47
