Week;Utah Jazz: (United States)
2016-10-30;17
2016-11-06;14
2016-11-13;13
2016-11-20;11
2016-11-27;13
2016-12-04;19
2016-12-11;17
2016-12-18;18
2016-12-25;14
2017-01-01;15
2017-01-08;21
2017-01-15;16
2017-01-22;22
2017-01-29;11
2017-02-05;16
2017-02-12;14
2017-02-19;14
2017-02-26;16
2017-03-05;17
2017-03-12;16
2017-03-19;16
2017-03-26;17
2017-04-02;16
2017-04-09;25
2017-04-16;56
2017-04-23;83
2017-04-30;100
2017-05-07;52
2017-05-14;7
2017-05-21;5
2017-05-28;5
2017-06-04;6
2017-06-11;7
2017-06-18;13
2017-06-25;15
2017-07-02;32
2017-07-09;15
2017-07-16;11
2017-07-23;8
2017-07-30;6
2017-08-06;6
2017-08-13;5
2017-08-20;5
2017-08-27;5
2017-09-03;4
2017-09-10;4
2017-09-17;5
2017-09-24;6
2017-10-01;11
2017-10-08;11
2017-10-15;18
2017-10-22;19
2017-10-29;19
2017-11-05;15
2017-11-12;14
2017-11-19;11
2017-11-26;17
2017-12-03;20
2017-12-10;15
2017-12-17;19
2017-12-24;17
2017-12-31;16
2018-01-07;14
2018-01-14;17
2018-01-21;18
2018-01-28;26
2018-02-04;35
2018-02-11;35
2018-02-18;17
2018-02-25;22
2018-03-04;23
2018-03-11;28
2018-03-18;30
2018-03-25;31
2018-04-01;31
2018-04-08;48
