Week;Washington Wizards: (United States)
2016-10-30;12
2016-11-06;13
2016-11-13;12
2016-11-20;10
2016-11-27;11
2016-12-04;11
2016-12-11;11
2016-12-18;12
2016-12-25;14
2017-01-01;11
2017-01-08;14
2017-01-15;17
2017-01-22;18
2017-01-29;19
2017-02-05;34
2017-02-12;20
2017-02-19;20
2017-02-26;25
2017-03-05;20
2017-03-12;21
2017-03-19;17
2017-03-26;23
2017-04-02;19
2017-04-09;19
2017-04-16;44
2017-04-23;53
2017-04-30;73
2017-05-07;100
2017-05-14;85
2017-05-21;7
2017-05-28;6
2017-06-04;6
2017-06-11;6
2017-06-18;10
2017-06-25;10
2017-07-02;13
2017-07-09;8
2017-07-16;5
2017-07-23;6
2017-07-30;5
2017-08-06;5
2017-08-13;5
2017-08-20;5
2017-08-27;4
2017-09-03;4
2017-09-10;5
2017-09-17;5
2017-09-24;6
2017-10-01;8
2017-10-08;10
2017-10-15;21
2017-10-22;40
2017-10-29;22
2017-11-05;19
2017-11-12;17
2017-11-19;14
2017-11-26;15
2017-12-03;15
2017-12-10;13
2017-12-17;17
2017-12-24;23
2017-12-31;16
2018-01-07;14
2018-01-14;15
2018-01-21;14
2018-01-28;17
2018-02-04;23
2018-02-11;14
2018-02-18;15
2018-02-25;23
2018-03-04;14
2018-03-11;16
2018-03-18;12
2018-03-25;15
2018-04-01;18
2018-04-08;22
