AWAY,HOME,CHANNEL,GAME_DATE,TIME
Celtics,Cavaliers,BesTV,10/18/2017,08:00AM
Celtics,Cavaliers,QQ.com,10/18/2017,08:00AM
Celtics,Cavaliers,CCTV5,10/18/2017,08:00AM
Celtics,Cavaliers,GuangdongTV,10/18/2017,08:00AM
Rockets,Warriors,BesTV,10/18/2017,10:30AM
Rockets,Warriors,QQ.com,10/18/2017,10:30AM
Rockets,Warriors,CCTV5,10/18/2017,10:30AM
Hornets,Pistons,BesTV,10/19/2017,07:00AM
Hornets,Pistons,JinBaoSportsHD,10/19/2017,07:00AM
Nets,Pacers,BesTV,10/19/2017,07:00AM
Heat,Magic,BesTV,10/19/2017,07:00AM
Bucks,Celtics,BesTV,10/19/2017,07:30AM
Bucks,Celtics,QQ.com,10/19/2017,07:30AM
Pelicans,Grizzlies,BesTV,10/19/2017,08:00AM
Hawks,Mavericks,BesTV,10/19/2017,08:30AM
Nuggets,Jazz,BesTV,10/19/2017,09:00AM
Timberwolves,Spurs,BesTV,10/19/2017,09:30AM
Timberwolves,Spurs,QQ.com,10/19/2017,09:30AM
Timberwolves,Spurs,GuangdongTV,10/19/2017,09:30AM
Trail_Blazers,Suns,BesTV,10/19/2017,10:00AM
Rockets,Kings,BesTV,10/19/2017,10:00AM
Rockets,Kings,QQ.com,10/19/2017,10:00AM
Rockets,Kings,JinBaoSportsHD,10/19/2017,10:00AM
Knicks,Thunder,BesTV,10/20/2017,08:00AM
Knicks,Thunder,QQ.com,10/20/2017,08:00AM
Clippers,Lakers,BesTV,10/20/2017,10:30AM
Clippers,Lakers,QQ.com,10/20/2017,10:30AM
Hawks,Hornets,BesTV,10/21/2017,07:00AM
Trail_Blazers,Pacers,BesTV,10/21/2017,07:00AM
Celtics,76ers,BesTV,10/21/2017,07:00AM
Celtics,76ers,QQ.com,10/21/2017,07:00AM
Celtics,76ers,JinBaoSportsHD,10/21/2017,07:00AM
Celtics,76ers,GreatSportsChannel,10/21/2017,07:00AM
Pistons,Wizards,BesTV,10/21/2017,07:00AM
Cavaliers,Bucks,BesTV,10/21/2017,07:00AM
Magic,Nets,BesTV,10/21/2017,07:30AM
Jazz,Timberwolves,BesTV,10/21/2017,08:00AM
Kings,Mavericks,BesTV,10/21/2017,08:30AM
Warriors,Pelicans,CCTV5,10/21/2017,09:30AM
Lakers,Suns,BesTV,10/21/2017,10:00AM
Lakers,Suns,QQ.com,10/21/2017,10:00AM
Lakers,Suns,GuangdongTV,10/21/2017,10:00AM
76ers,Raptors,BesTV,10/22/2017,07:30AM
Magic,Cavaliers,BesTV,10/22/2017,08:00AM
Pacers,Heat,BesTV,10/22/2017,08:00AM
Pistons,Knicks,BesTV,10/22/2017,08:00AM
Spurs,Bulls,BesTV,10/22/2017,08:00AM
Spurs,Bulls,QQ.com,10/22/2017,08:00AM
Spurs,Bulls,JinBaoSportsHD,10/22/2017,08:00AM
Mavericks,Rockets,BesTV,10/22/2017,08:00AM
Warriors,Grizzlies,GuangdongTV,10/22/2017,08:00AM
Warriors,Grizzlies,BesTV,10/22/2017,08:00AM
