DATE TIME AWAY HOME BROADCAST
2017-10-17 8:00PM BOS CLE TNT
2017-10-17 10:30PM HOU GSW TNT
2017-10-18 7:00PM PHI WAS ESPN
2017-10-18 9:30PM MIN SAS ESPN
2017-10-19 8:00PM NYK OKC TNT
2017-10-19 10:30PM LAC LAL TNT
2017-10-20 7:00PM CLE MIL ESPN
2017-10-20 9:30PM GSW NOP ESPN
2017-10-21 8:00PM GSW MEM NBATV
2017-10-21 10:30PM PHX LAC NBATV
2017-10-23 8:30PM TOR SAS NBATV
2017-10-24 7:00PM CHI CLE NBATV
2017-10-24 10:00PM NOP POR NBATV
2017-10-25 8:00PM SAS MIA ESPN
2017-10-25 10:30PM WAS LAL ESPN
2017-10-26 8:00PM BOS MIL TNT
2017-10-26 10:30PM NOP SAC TNT
2017-10-27 8:00PM OKC MIN NBATV
2017-10-27 10:30PM WAS GSW NBATV
2017-10-30 7:30PM SAS BOS NBATV
2017-10-30 10:30PM GSW LAC NBATV
2017-10-31 8:00PM OKC MIL NBATV
2017-10-31 10:30PM DET LAL NBATV
2017-11-1 8:00PM HOU NYK ESPN
2017-11-1 10:30PM DAL LAC ESPN
2017-11-2 8:00PM GSW SAS TNT
2017-11-2 10:30PM LAL POR TNT
2017-11-3 7:00PM CLE WAS ESPN
2017-11-3 9:30PM BOS OKC ESPN
2017-11-6 9:00PM BKN PHX NBATV
2017-11-7 7:00PM MIL CLE NBATV
2017-11-7 10:00PM OKC SAC NBATV
2017-11-8 8:00PM LAL BOS ESPN
2017-11-8 10:30PM MIN GSW ESPN
2017-11-9 8:00PM CLE HOU TNT
2017-11-9 10:30PM OKC DEN TNT
2017-11-10 9:00PM MIL SAS ESPN
2017-11-11 9:00PM BKN UTA NBATV
2017-11-13 7:00PM SAC WAS NBATV
2017-11-14 8:00PM TOR HOU NBATV
2017-11-15 8:00PM CLE CHA ESPN
2017-11-15 10:30PM PHI LAL ESPN
2017-11-16 8:00PM GSW BOS TNT
2017-11-16 10:30PM HOU PHX TNT
2017-11-17 8:00PM OKC SAS ESPN
2017-11-17 10:30PM NOP DEN ESPN
2017-11-20 7:00PM IND ORL NBATV
2017-11-21 10:30PM CHI LAL NBATV
2017-11-22 8:00PM GSW OKC ESPN
2017-11-22 10:30PM LAL SAC ESPN
2017-11-24 8:00PM CHA CLE NBATV
2017-11-24 10:30PM CHI GSW NBATV
2017-11-25 8:00PM NYK HOU NBATV
2017-11-27 8:30PM DAL SAS NBATV
2017-11-28 7:00PM MIA CLE NBATV
2017-11-28 10:00PM DEN UTA ESPN
2017-11-29 7:00PM WAS PHI NBATV
2017-11-29 10:30PM GSW LAL NBATV
2017-11-30 7:30PM PHI BOS NBATV
2017-11-30 10:00PM MIL POR NBATV
2017-12-1 8:00PM MIN OKC NBATV
2017-12-3 7:00PM SAS OKC NBATV
2017-12-3 9:30PM HOU LAL NBATV
2017-12-4 7:30PM MIL BOS NBATV
2017-12-5 7:30PM PHX TOR NBATV
2017-12-5 10:00PM WAS POR NBATV
2017-12-6 8:00PM GSW CHA ESPN
2017-12-6 10:30PM MIN LAC ESPN
2017-12-7 8:00PM LAL PHI TNT
2017-12-7 10:30PM HOU UTA TNT
2017-12-8 7:00PM GSW DET ESPN
2017-12-8 9:30PM BOS SAS ESPN
2017-12-9 6:00PM MIA BKN NBATV
2017-12-9 8:30PM UTA MIL NBATV
2017-12-11 8:00PM NOP HOU NBATV
2017-12-11 10:30PM TOR LAC NBATV
2017-12-12 7:00PM LAL NYK ESPN
2017-12-12 9:30PM PHI MIN ESPN
2017-12-13 7:00PM OKC IND ESPN
2017-12-13 9:30PM CHA HOU ESPN
2017-12-14 8:00PM LAL CLE TNT
2017-12-14 10:30PM DAL GSW TNT
2017-12-15 7:00PM OKC PHI ESPN
2017-12-15 9:30PM SAS HOU ESPN
2017-12-16 8:00PM OKC NYK NBATV
2017-12-18 8:00PM DEN OKC NBATV
2017-12-18 10:30PM GSW LAL NBATV
2017-12-19 8:00PM CLE MIL NBATV
2017-12-20 8:00PM LAL HOU NBATV
2017-12-20 10:30PM MEM GSW NBATV
2017-12-21 8:00PM BOS NYK TNT
2017-12-21 10:30PM SAS UTA TNT
2017-12-22 8:00PM LAC HOU ESPN
2017-12-22 10:30PM LAL GSW ESPN
2017-12-25 12:00PM PHI NYK ESPN
2017-12-25 3:00PM CLE GSW ABC
2017-12-25 5:30PM WAS BOS ABC
2017-12-25 8:00PM HOU OKC ABC
2017-12-25 10:30PM MIN LAL TNT
2017-12-26 8:00PM CHI MIL NBATV
2017-12-26 10:30PM SAC LAC NBATV
2017-12-27 8:00PM TOR OKC NBATV
2017-12-27 10:30PM UTA GSW NBATV
2017-12-28 8:00PM HOU BOS TNT
2017-12-28 10:30PM PHI POR TNT
2017-12-29 7:00PM HOU WAS NBATV
2017-12-30 9:00PM PHI DEN NBATV
2018-01-2 7:00PM POR CLE NBATV
2018-01-2 10:30PM MEM LAC NBATV
