"","Game_ID","Season","Game_Date","Away_Team","Home_Team","Rounded.Viewers"
"1",21600001,"2016-17","10/25/2016","NYK","CLE",57691
"2",21600002,"2016-17","10/25/2016","UTA","POR",40740
"3",21600003,"2016-17","10/25/2016","SAS","GSW",60428
"4",21600004,"2016-17","10/26/2016","MIA","ORL",22756
"5",21600005,"2016-17","10/26/2016","DAL","IND",33922
"6",21600006,"2016-17","10/26/2016","BKN","BOS",23947
"7",21600007,"2016-17","10/26/2016","DET","TOR",14887
"8",21600008,"2016-17","10/26/2016","CHA","MIL",12046
"9",21600009,"2016-17","10/26/2016","MIN","MEM",21853
"10",21600011,"2016-17","10/26/2016","OKC","PHI",42455
"11",21600012,"2016-17","10/26/2016","SAC","PHX",14435
"12",21600013,"2016-17","10/26/2016","HOU","LAL",34087
"13",21600014,"2016-17","10/27/2016","WAS","ATL",27848
"14",21600015,"2016-17","10/27/2016","BOS","CHI",50539
"15",21600016,"2016-17","10/27/2016","SAS","SAC",27634
"16",21600017,"2016-17","10/27/2016","LAC","POR",29674
"17",21600018,"2016-17","10/28/2016","CLE","TOR",48951
"18",21600019,"2016-17","10/28/2016","IND","BKN",23043
"19",21600020,"2016-17","10/28/2016","ORL","DET",10691
"20",21600021,"2016-17","10/28/2016","PHX","OKC",37236
"21",21600022,"2016-17","10/28/2016","CHA","MIA",12886
"22",21600024,"2016-17","10/28/2016","LAL","UTA",25043
"23",21600025,"2016-17","10/28/2016","GSW","NOP",46471
"24",21600028,"2016-17","10/29/2016","MEM","NYK",32002
"25",21600029,"2016-17","10/29/2016","ORL","CLE",31859
"26",21600030,"2016-17","10/29/2016","IND","CHI",22190
"27",21600031,"2016-17","10/29/2016","BKN","MIL",21567
"28",21600032,"2016-17","10/29/2016","NOP","SAS",23391
"29",21600033,"2016-17","10/29/2016","POR","DEN",27076
"30",21600034,"2016-17","10/29/2016","MIN","SAC",22179
"31",21600035,"2016-17","10/30/2016","UTA","LAC",28903
"32",21600036,"2016-17","10/30/2016","GSW","PHX",50617
"33",21600037,"2016-17","10/30/2016","SAS","MIA",32314
"34",21600038,"2016-17","10/30/2016","MIL","DET",12556
"35",21600039,"2016-17","10/30/2016","WAS","MEM",14195
"36",21600040,"2016-17","10/30/2016","LAL","OKC",36658
"37",21600041,"2016-17","10/30/2016","DAL","HOU",24543
"38",21600042,"2016-17","10/31/2016","DEN","TOR",24322
"39",21600043,"2016-17","10/31/2016","CHI","BKN",33346
"40",21600044,"2016-17","10/31/2016","SAC","ATL",23520
"41",21600045,"2016-17","10/31/2016","PHX","LAC",22836
"42",21600046,"2016-17","11/1/2016","ORL","PHI",21285
"43",21600047,"2016-17","11/1/2016","HOU","CLE",45160
"44",21600051,"2016-17","11/1/2016","MIL","NOP",14356
"45",21600052,"2016-17","11/1/2016","MEM","MIN",12816
"46",21600054,"2016-17","11/1/2016","GSW","POR",37632
"47",21600055,"2016-17","11/2/2016","TOR","WAS",18661
"48",21600056,"2016-17","11/2/2016","PHI","CHA",12396
"49",21600057,"2016-17","11/2/2016","DET","BKN",12283
"50",21600058,"2016-17","11/2/2016","HOU","NYK",22497
"51",21600059,"2016-17","11/2/2016","LAL","ATL",22293
"52",21600060,"2016-17","11/2/2016","NOP","MEM",11902
"53",21600062,"2016-17","11/2/2016","DAL","UTA",10241
"54",21600064,"2016-17","11/2/2016","OKC","LAC",32263
"55",21600065,"2016-17","11/3/2016","SAC","ORL",19494
"56",21600067,"2016-17","11/3/2016","DEN","MIN",15912
"57",21600068,"2016-17","11/3/2016","BOS","CLE",35052
"58",21600070,"2016-17","11/4/2016","ATL","WAS",21556
"59",21600071,"2016-17","11/4/2016","MIA","TOR",16590
"60",21600072,"2016-17","11/4/2016","CHA","BKN",12057
"61",21600074,"2016-17","11/4/2016","LAC","MEM",11167
