;Game_ID;Season;Game Date;Away Team;Home Team;Trend Away;Trend Home;Rounded.Viewers
1;21600001;2016-17;2016-10-25;NYK;CLE;88;14;57691
2;21600002;2016-17;2016-10-25;UTA;POR;15;53;40740
3;21600003;2016-17;2016-10-25;SAS;GSW;33;18;60428
4;21600004;2016-17;2016-10-26;MIA;ORL;48;58;22756
5;21600005;2016-17;2016-10-26;DAL;IND;63;26;33922
6;21600006;2016-17;2016-10-26;BKN;BOS;64;11;23947
7;21600007;2016-17;2016-10-26;DET;TOR;22;24;14887
8;21600008;2016-17;2016-10-26;CHA;MIL;65;20;12046
9;21600009;2016-17;2016-10-26;MIN;MEM;21;20;21853
10;21600011;2016-17;2016-10-26;OKC;PHI;37;40;42455
11;21600012;2016-17;2016-10-26;SAC;PHX;54;48;14435
12;21600013;2016-17;2016-10-26;HOU;LAL;16;41;34087
13;21600014;2016-17;2016-10-27;WAS;ATL;10;43;27848
14;21600015;2016-17;2016-10-27;BOS;CHI;11;37;50539
15;21600016;2016-17;2016-10-27;SAS;SAC;33;54;27634
16;21600017;2016-17;2016-10-27;LAC;POR;25;53;29674
17;21600018;2016-17;2016-10-28;CLE;TOR;14;24;48951
18;21600019;2016-17;2016-10-28;IND;BKN;26;64;23043
19;21600020;2016-17;2016-10-28;ORL;DET;58;22;10691
20;21600021;2016-17;2016-10-28;PHX;OKC;48;37;37236
21;21600022;2016-17;2016-10-28;CHA;MIA;65;48;12886
22;21600024;2016-17;2016-10-28;LAL;UTA;41;15;25043
23;21600025;2016-17;2016-10-28;GSW;NOP;18;24;46471
24;21600028;2016-17;2016-10-29;MEM;NYK;20;88;32002
25;21600029;2016-17;2016-10-29;ORL;CLE;58;14;31859
26;21600030;2016-17;2016-10-29;IND;CHI;26;37;22190
27;21600031;2016-17;2016-10-29;BKN;MIL;64;20;21567
28;21600032;2016-17;2016-10-29;NOP;SAS;24;33;23391
29;21600033;2016-17;2016-10-29;POR;DEN;53;21;27076
30;21600034;2016-17;2016-10-29;MIN;SAC;21;54;22179
31;21600035;2016-17;2016-10-30;UTA;LAC;17;37;28903
32;21600036;2016-17;2016-10-30;GSW;PHX;24;68;50617
33;21600037;2016-17;2016-10-30;SAS;MIA;21;48;32314
34;21600038;2016-17;2016-10-30;MIL;DET;25;28;12556
35;21600039;2016-17;2016-10-30;WAS;MEM;12;26;14195
36;21600040;2016-17;2016-10-30;LAL;OKC;51;100;36658
37;21600041;2016-17;2016-10-30;DAL;HOU;63;16;24543
38;21600042;2016-17;2016-10-31;DEN;TOR;27;19;24322
39;21600043;2016-17;2016-10-31;CHI;BKN;58;69;33346
40;21600044;2016-17;2016-10-31;SAC;ATL;47;52;23520
41;21600045;2016-17;2016-10-31;PHX;LAC;68;37;22836
42;21600046;2016-17;2016-11-01;ORL;PHI;58;25;21285
43;21600047;2016-17;2016-11-01;HOU;CLE;16;14;45160
44;21600051;2016-17;2016-11-01;MIL;NOP;25;17;14356
45;21600052;2016-17;2016-11-01;MEM;MIN;26;26;12816
46;21600054;2016-17;2016-11-01;GSW;POR;24;25;37632
47;21600055;2016-17;2016-11-02;TOR;WAS;19;12;18661
48;21600056;2016-17;2016-11-02;PHI;CHA;25;67;12396
49;21600057;2016-17;2016-11-02;DET;BKN;28;69;12283
50;21600058;2016-17;2016-11-02;HOU;NYK;16;88;22497
51;21600059;2016-17;2016-11-02;LAL;ATL;51;52;22293
52;21600060;2016-17;2016-11-02;NOP;MEM;17;26;11902
53;21600062;2016-17;2016-11-02;DAL;UTA;63;17;10241
54;21600064;2016-17;2016-11-02;OKC;LAC;100;37;32263
55;21600065;2016-17;2016-11-03;SAC;ORL;47;58;19494
56;21600067;2016-17;2016-11-03;DEN;MIN;27;26;15912
57;21600068;2016-17;2016-11-03;BOS;CLE;11;14;35052
58;21600070;2016-17;2016-11-04;ATL;WAS;52;12;21556
59;21600071;2016-17;2016-11-04;MIA;TOR;48;19;16590
60;21600072;2016-17;2016-11-04;CHA;BKN;67;69;12057
61;21600074;2016-17;2016-11-04;LAC;MEM;37;26;11167
62;21600075;2016-17;2016-11-04;PHX;NOP;68;17;19451
63;21600076;2016-17;2016-11-04;POR;DAL;25;63;12324
64;21600077;2016-17;2016-11-04;SAS;UTA;21;17;18885
65;21600078;2016-17;2016-11-04;GSW;LAL;24;51;50226
66;21600079;2016-17;2016-11-05;MIN;OKC;26;100;34055
67;21600080;2016-17;2016-11-05;CLE;PHI;14;25;54229
68;21600081;2016-17;2016-11-05;WAS;ORL;12;58;13713
69;21600083;2016-17;2016-11-05;CHI;IND;58;24;17387
70;21600084;2016-17;2016-11-05;HOU;ATL;16;52;19454
71;21600085;2016-17;2016-11-05;SAC;MIL;47;25;14313
72;21600086;2016-17;2016-11-05;LAC;SAS;37;21;35096
73;21600087;2016-17;2016-11-06;UTA;NYK;14;62;32867
74;21600088;2016-17;2016-11-06;POR;MEM;26;18;22621
75;21600089;2016-17;2016-11-06;SAC;TOR;50;18;19734
76;21600090;2016-17;2016-11-06;MIL;DAL;20;74;19651
77;21600091;2016-17;2016-11-06;DEN;BOS;26;7;13062
78;21600092;2016-17;2016-11-06;PHX;LAL;50;50;23222
79;21600094;2016-17;2016-11-07;HOU;WAS;13;13;20057
80;21600095;2016-17;2016-11-07;IND;CHA;19;75;13954
81;21600097;2016-17;2016-11-07;MIA;OKC;47;33;21952
82;21600098;2016-17;2016-11-07;DET;LAC;20;34;14044
83;21600099;2016-17;2016-11-07;NOP;GSW;19;13;42524
84;21600100;2016-17;2016-11-08;ATL;CLE;51;9;44960
85;21600101;2016-17;2016-11-08;MIN;BKN;17;44;18683
86;21600102;2016-17;2016-11-08;DEN;MEM;26;18;16643
87;21600103;2016-17;2016-11-08;PHX;POR;50;26;16491
88;21600104;2016-17;2016-11-08;DAL;LAL;74;50;24491
89;21600105;2016-17;2016-11-08;NOP;SAC;19;50;9374
90;21600106;2016-17;2016-11-09;BKN;NYK;44;62;23224
91;21600107;2016-17;2016-11-09;BOS;WAS;7;13;11471
92;21600108;2016-17;2016-11-09;UTA;CHA;14;75;9833
93;21600109;2016-17;2016-11-09;MIN;ORL;17;53;10826
94;21600110;2016-17;2016-11-09;PHI;IND;26;19;18285
95;21600111;2016-17;2016-11-09;CHI;ATL;36;51;19354
96;21600114;2016-17;2016-11-09;HOU;SAS;13;13;30160
97;21600115;2016-17;2016-11-09;POR;LAC;26;34;14308
98;21600116;2016-17;2016-11-09;DAL;GSW;74;13;30939
99;21600117;2016-17;2016-11-10;NOP;MIL;19;20;19504
100;21600118;2016-17;2016-11-10;CHI;MIA;36;47;33327
