"","GAME_ID","SEASON","GAME_DATE","AWAY_TEAM","HOME_TEAM","AWAY_TREND","HOME_TREND","VIEWERS","DAY","TIME","BROADCAST","ATTENDANCE","OVERTIME"
"1",21600001,"2016-17",2016-10-25,"NYK","CLE",62,23,57691,"Tuesday","7:30 pm","TNT",20562,"NO"
"2",21600002,"2016-17",2016-10-25,"UTA","POR",31,34,40740,"Tuesday","10:00 pm","LOCAL",19446,"NO"
"3",21600003,"2016-17",2016-10-25,"SAS","GSW",17,17,60428,"Tuesday","10:30 pm","TNT",19596,"NO"
"4",21600004,"2016-17",2016-10-26,"MIA","ORL",42,47,22756,"Wednesday","7:00 pm","LOCAL",19298,"NO"
"5",21600005,"2016-17",2016-10-26,"DAL","IND",43,45,33922,"Wednesday","7:00 pm","LOCAL",17923,"OT"
"6",21600006,"2016-17",2016-10-26,"BKN","BOS",53,31,23947,"Wednesday","7:30 pm","LOCAL",18624,"NO"
"7",21600007,"2016-17",2016-10-26,"DET","TOR",45,40,14887,"Wednesday","7:30 pm","LOCAL",19800,"NO"
"8",21600008,"2016-17",2016-10-26,"CHA","MIL",31,36,12046,"Wednesday","8:00 pm","LOCAL",18717,"NO"
"9",21600009,"2016-17",2016-10-26,"MIN","MEM",23,23,21853,"Wednesday","8:00 pm","LOCAL",18119,"NO"
"10",21600011,"2016-17",2016-10-26,"OKC","PHI",10,29,42455,"Wednesday","8:00 pm","ESPN",20487,"NO"
"11",21600012,"2016-17",2016-10-26,"SAC","PHX",21,17,14435,"Wednesday","10:00 pm","LOCAL",18055,"NO"
"12",21600013,"2016-17",2016-10-26,"HOU","LAL",23,23,34087,"Wednesday","10:30 pm","ESPN",18997,"NO"
"13",21600014,"2016-17",2016-10-27,"WAS","ATL",18,48,27848,"Thursday","7:30 pm","LOCAL",19049,"NO"
"14",21600015,"2016-17",2016-10-27,"BOS","CHI",46,48,50539,"Thursday","8:00 pm","TNT",21501,"NO"
"15",21600016,"2016-17",2016-10-27,"SAS","SAC",24,34,27634,"Thursday","10:30 pm","LOCAL",17608,"NO"
"16",21600017,"2016-17",2016-10-27,"LAC","POR",24,40,29674,"Thursday","10:30 pm","TNT",19500,"NO"
"17",21600018,"2016-17",2016-10-28,"CLE","TOR",14,44,48951,"Friday","7:00 pm","ESPN",19800,"NO"
"18",21600019,"2016-17",2016-10-28,"IND","BKN",33,46,23043,"Friday","7:30 pm","LOCAL",17732,"NO"
"19",21600020,"2016-17",2016-10-28,"ORL","DET",30,42,10691,"Friday","7:30 pm","LOCAL",19122,"NO"
"20",21600021,"2016-17",2016-10-28,"PHX","OKC",17,7,37236,"Friday","8:00 pm","LOCAL",18203,"OT"
"21",21600022,"2016-17",2016-10-28,"CHA","MIA",29,34,12886,"Friday","8:00 pm","LOCAL",19600,"NO"
"22",21600024,"2016-17",2016-10-28,"LAL","UTA",24,26,25043,"Friday","9:00 pm","LOCAL",19911,"NO"
"23",21600025,"2016-17",2016-10-28,"GSW","NOP",17,9,46471,"Friday","9:30 pm","ESPN",18217,"NO"
"24",21600028,"2016-17",2016-10-29,"MEM","NYK",21,30,32002,"Saturday","7:30 pm","LOCAL",19812,"NO"
"25",21600029,"2016-17",2016-10-29,"ORL","CLE",45,28,31859,"Saturday","7:30 pm","LOCAL",20562,"NO"
"26",21600030,"2016-17",2016-10-29,"IND","CHI",48,39,22190,"Saturday","8:00 pm","LOCAL",21373,"NO"
"27",21600031,"2016-17",2016-10-29,"BKN","MIL",95,28,21567,"Saturday","8:00 pm","LOCAL",12570,"NO"
