"","GAME_ID","SEASON","GAME_DATE","AWAY_TEAM","HOME_TEAM","AWAY_TREND","HOME_TREND","VIEWERS","DAY","TIME","BROADCAST","ATTENDANCE","OVERTIME","WIN_ENTER_HOME","WIN_ENTER_AWAY","LEAD_CHANGE_H","LEAD_CHANGE_A","TIES_H","TIES_A","LARGEST_LEAD_H","LARGEST_LEAD_A"
"1",21600001,"2016-17",2016-10-25,"NYK","CLE",62,23,57691,"Tuesday",19:30:00,"TNT",20562,"NO",0,0,1,0,3,1,32,4
"2",21600002,"2016-17",2016-10-25,"UTA","POR",31,34,40740,"Tuesday",22:00:00,"LOCAL",19446,"NO",0,0,6,5,6,1,13,8
"3",21600003,"2016-17",2016-10-25,"SAS","GSW",17,17,60428,"Tuesday",22:30:00,"TNT",19596,"NO",0,0,1,1,2,1,4,29
"4",21600004,"2016-17",2016-10-26,"MIA","ORL",42,47,22756,"Wednesday",19:00:00,"LOCAL",19298,"NO",0,0,7,7,7,6,7,19
"5",21600005,"2016-17",2016-10-26,"DAL","IND",43,45,33922,"Wednesday",19:00:00,"LOCAL",17923,"OT",0,0,2,2,1,7,14,1
"6",21600006,"2016-17",2016-10-26,"BKN","BOS",53,31,23947,"Wednesday",19:30:00,"LOCAL",18624,"NO",0,0,1,1,0,1,23,4
"7",21600007,"2016-17",2016-10-26,"DET","TOR",45,40,14887,"Wednesday",19:30:00,"LOCAL",19800,"NO",0,0,1,0,1,1,20,7
"8",21600008,"2016-17",2016-10-26,"CHA","MIL",31,36,12046,"Wednesday",20:00:00,"LOCAL",18717,"NO",0,0,0,0,2,0,0,24
"9",21600009,"2016-17",2016-10-26,"MIN","MEM",23,23,21853,"Wednesday",20:00:00,"LOCAL",18119,"NO",0,0,6,5,5,0,6,17
"10",21600011,"2016-17",2016-10-26,"OKC","PHI",10,29,42455,"Wednesday",20:00:00,"ESPN",20487,"NO",0,0,6,7,2,5,11,6
"11",21600012,"2016-17",2016-10-26,"SAC","PHX",21,17,14435,"Wednesday",22:00:00,"LOCAL",18055,"NO",0,0,1,1,2,2,4,26
"12",21600013,"2016-17",2016-10-26,"HOU","LAL",23,23,34087,"Wednesday",22:30:00,"ESPN",18997,"NO",0,0,5,4,9,4,6,10
"13",21600014,"2016-17",2016-10-27,"WAS","ATL",18,48,27848,"Thursday",19:30:00,"LOCAL",19049,"NO",0,0,10,9,7,7,19,6
"14",21600015,"2016-17",2016-10-27,"BOS","CHI",46,48,50539,"Thursday",20:00:00,"TNT",21501,"NO",0,1,1,1,0,0,15,1
"15",21600016,"2016-17",2016-10-27,"SAS","SAC",24,34,27634,"Thursday",22:30:00,"LOCAL",17608,"NO",1,1,1,2,2,3,11,11
"16",21600017,"2016-17",2016-10-27,"LAC","POR",24,40,29674,"Thursday",22:30:00,"TNT",19500,"NO",1,0,5,5,2,7,6,15
"17",21600018,"2016-17",2016-10-28,"CLE","TOR",14,44,48951,"Friday",19:00:00,"ESPN",19800,"NO",1,1,1,1,3,1,1,12
"18",21600019,"2016-17",2016-10-28,"IND","BKN",33,46,23043,"Friday",19:30:00,"LOCAL",17732,"NO",0,1,4,4,0,5,14,10
"19",21600020,"2016-17",2016-10-28,"ORL","DET",30,42,10691,"Friday",19:30:00,"LOCAL",19122,"NO",0,0,1,1,0,1,35,1
