Category: All categories

Day,Atlanta Hawks: (Worldwide),Boston Celtics: (Worldwide),Brooklyn Nets: (Worldwide),Charlotte Hornets: (Worldwide),Chicago Bulls: (Worldwide)
2016-10-01,3,7,3,2,11
2016-10-02,3,6,4,2,12
2016-10-03,2,6,3,2,13
2016-10-04,3,7,4,3,22
2016-10-05,3,9,4,2,11
2016-10-06,3,6,5,3,12
2016-10-07,4,8,8,3,14
2016-10-08,3,8,7,3,13
2016-10-09,3,8,6,2,16
2016-10-10,4,6,4,3,10
2016-10-11,5,8,5,3,10
2016-10-12,4,7,6,2,11
2016-10-13,4,8,5,2,11
2016-10-14,3,8,6,2,12
2016-10-15,3,10,4,2,20
2016-10-16,5,10,4,2,20
2016-10-17,3,9,4,3,16
2016-10-18,4,10,5,4,17
2016-10-19,4,10,4,2,12
2016-10-20,3,10,4,3,13
2016-10-21,4,8,6,3,15
2016-10-22,4,9,4,2,12
2016-10-23,3,8,4,2,12
2016-10-24,3,10,4,2,12
2016-10-25,4,10,5,3,13
2016-10-26,5,18,8,4,17
2016-10-27,9,28,12,6,30
2016-10-28,12,28,7,4,57
2016-10-29,9,12,13,9,23
2016-10-30,5,14,9,5,36
2016-10-31,7,10,9,3,25
2016-11-01,7,10,10,4,38
2016-11-02,7,12,6,5,25
2016-11-03,10,24,9,5,39
2016-11-04,7,26,7,4,26
2016-11-05,8,11,8,6,56
2016-11-06,7,10,5,3,22
2016-11-07,4,14,5,5,16
2016-11-08,6,8,6,7,23
2016-11-09,15,8,7,4,13
2016-11-10,12,12,10,8,25
2016-11-11,5,10,4,6,35
2016-11-12,7,16,5,7,18
2016-11-13,7,13,7,8,25
2016-11-14,5,10,6,5,15
2016-11-15,5,14,8,4,15
2016-11-16,9,10,10,6,27
2016-11-17,9,14,5,4,16
2016-11-18,5,12,4,4,27
2016-11-19,7,29,7,8,18
2016-11-20,9,14,7,5,34
2016-11-21,5,10,5,4,27
2016-11-22,6,13,4,5,17
2016-11-23,9,10,4,4,24
2016-11-24,6,13,6,8,12
2016-11-25,4,16,4,3,12
2016-11-26,6,10,4,10,24
2016-11-27,5,8,5,7,15
2016-11-28,10,9,5,3,15
2016-11-29,14,12,5,6,15
2016-11-30,5,9,11,5,17
2016-12-01,6,14,6,5,28
2016-12-02,5,11,8,6,20
2016-12-03,7,15,6,5,54
2016-12-04,8,13,5,6,26
2016-12-05,6,9,6,4,17
2016-12-06,9,15,7,4,25
2016-12-07,4,9,5,4,20
2016-12-08,5,13,7,5,17
2016-12-09,3,10,4,4,28
2016-12-10,6,16,5,6,17
2016-12-11,3,9,6,7,27
2016-12-12,4,16,6,4,15
2016-12-13,4,8,7,4,16
2016-12-14,6,10,5,4,25
2016-12-15,4,16,8,3,15
2016-12-16,4,10,5,3,23
2016-12-17,8,14,6,5,23
2016-12-18,6,9,5,4,14
2016-12-19,5,11,6,3,14
2016-12-20,7,9,5,4,20
2016-12-21,4,15,6,6,14
2016-12-22,5,10,6,3,20
2016-12-23,3,15,15,4,15
2016-12-24,6,19,9,7,21
2016-12-25,4,37,5,4,31
2016-12-26,4,13,6,4,29
2016-12-27,5,11,9,6,23
2016-12-28,5,18,5,4,15
2016-12-29,9,12,7,7,25
2016-12-30,6,28,5,7,20
2016-12-31,6,21,5,6,20
2017-01-01,6,10,4,9,22
2017-01-02,10,9,5,4,15
2017-01-03,5,12,6,6,23
2017-01-04,4,17,4,5,18
2017-01-05,6,11,6,8,41
2017-01-06,11,13,8,5,20
2017-01-07,9,23,10,4,19
2017-01-08,8,17,9,5,32
2017-01-09,5,10,5,3,19
2017-01-10,5,11,6,3,29
2017-01-11,6,19,6,4,20
2017-01-12,5,18,5,4,16
2017-01-13,6,12,7,4,26
2017-01-14,14,22,6,6,19
