Category: All categories

Day,Atlanta Hawks: (Worldwide),Cleveland Cavaliers: (Worldwide),Dallas Mavericks: (Worldwide),Denver Nuggets: (Worldwide),Detroit Pistons: (Worldwide)
2017-10-01,1,7,1,3,1
2017-10-02,1,7,1,1,1
2017-10-03,<1,8,1,2,1
2017-10-04,1,9,1,1,1
2017-10-05,2,12,2,1,1
2017-10-06,1,8,1,1,1
2017-10-07,1,11,1,1,1
2017-10-08,1,10,1,1,1
2017-10-09,1,7,1,1,1
2017-10-10,1,8,1,1,1
2017-10-11,1,12,1,1,1
2017-10-12,1,9,1,<1,1
2017-10-13,1,7,1,1,1
2017-10-14,1,10,1,<1,1
2017-10-15,1,6,1,1,1
2017-10-16,1,7,1,1,1
2017-10-17,1,20,1,1,1
2017-10-18,1,59,2,1,2
2017-10-19,2,10,3,2,3
2017-10-20,1,11,1,1,2
2017-10-21,1,20,2,1,2
2017-10-22,1,19,2,1,2
2017-10-23,1,8,2,1,2
2017-10-24,1,11,3,1,2
2017-10-25,1,16,1,1,1
2017-10-26,1,16,2,1,2
2017-10-27,1,7,1,1,1
2017-10-28,1,9,1,1,1
2017-10-29,1,16,2,1,2
2017-10-30,1,13,1,1,4
2017-10-31,1,7,1,1,2
2017-11-01,1,8,1,1,3
2017-11-02,1,14,2,1,1
2017-11-03,1,9,1,1,1
2017-11-04,1,17,2,2,3
2017-11-05,2,14,1,2,2
2017-11-06,2,10,1,1,1
2017-11-07,2,9,1,1,1
2017-11-08,1,16,1,1,1
2017-11-09,1,8,1,1,3
2017-11-10,1,19,1,2,1
2017-11-11,1,7,1,1,2
2017-11-12,1,14,3,1,2
2017-11-13,1,7,2,1,2
2017-11-14,1,20,1,1,1
2017-11-15,1,7,2,1,1
2017-11-16,1,14,1,1,2
2017-11-17,1,9,1,1,1
2017-11-18,1,17,2,2,2
2017-11-19,2,8,2,1,1
2017-11-20,1,6,1,2,3
2017-11-21,1,13,3,1,3
2017-11-22,1,6,1,1,1
2017-11-23,1,13,1,1,1
2017-11-24,1,7,1,1,1
2017-11-25,1,18,1,1,2
2017-11-26,1,8,2,1,1
2017-11-27,1,8,1,<1,1
2017-11-28,1,16,2,1,3
2017-11-29,1,16,1,1,2
2017-11-30,1,8,1,1,2
2017-12-01,2,16,1,1,2
2017-12-02,1,9,2,1,2
2017-12-03,1,16,1,2,3
2017-12-04,1,8,1,1,1
2017-12-05,1,13,1,1,2
2017-12-06,1,9,1,1,1
2017-12-07,1,16,2,1,2
2017-12-08,1,9,1,1,1
2017-12-09,1,17,1,1,3
2017-12-10,1,16,1,1,2
2017-12-11,1,7,1,1,1
2017-12-12,1,8,1,1,1
2017-12-13,2,13,2,1,1
2017-12-14,1,9,1,1,1
2017-12-15,1,19,2,1,2
2017-12-16,1,8,1,1,2
2017-12-17,1,16,2,1,2
2017-12-18,1,12,1,1,1
2017-12-19,1,8,1,1,1
2017-12-20,1,16,1,1,2
2017-12-21,1,8,1,1,2
2017-12-22,1,15,1,1,1
2017-12-23,1,8,1,1,2
2017-12-24,1,9,1,2,1
2017-12-25,1,45,1,1,1
2017-12-26,1,17,1,1,1
2017-12-27,1,8,2,1,2
2017-12-28,1,14,2,1,1
2017-12-29,1,7,1,1,1
2017-12-30,1,7,1,1,1
2017-12-31,1,15,1,1,2
2018-01-01,1,7,2,1,1
2018-01-02,1,10,1,<1,1
2018-01-03,1,26,1,1,1
2018-01-04,1,24,3,1,2
2018-01-05,1,7,1,1,1
2018-01-06,1,8,2,1,2
2018-01-07,1,14,1,1,2
2018-01-08,1,7,2,1,1
2018-01-09,1,14,1,2,1
2018-01-10,1,6,2,1,1
2018-01-11,1,7,1,1,1
2018-01-12,1,18,1,1,1
2018-01-13,1,17,2,1,1
2018-01-14,1,7,1,1,2
2018-01-15,1,10,1,1,2
2018-01-16,1,37,1,1,1
2018-01-17,1,9,1,1,1
2018-01-18,1,8,1,1,1
2018-01-19,1,15,1,1,1
2018-01-20,1,22,1,1,2
2018-01-21,1,15,1,1,2
2018-01-22,1,8,1,1,1
2018-01-23,1,10,1,1,1
2018-01-24,1,20,1,1,1
2018-01-25,1,10,2,1,1
2018-01-26,1,9,1,1,1
2018-01-27,1,15,2,1,2
2018-01-28,1,11,1,1,2
2018-01-29,1,13,1,1,3
2018-01-30,1,10,2,2,10
2018-01-31,1,16,1,1,7
2018-02-01,1,15,2,1,3
2018-02-02,1,8,1,3,6
2018-02-03,1,9,1,1,3
2018-02-04,1,24,1,3,4
2018-02-05,1,9,1,1,2
2018-02-06,1,11,1,1,4
2018-02-07,1,21,1,1,2
2018-02-08,1,65,2,2,4
2018-02-09,2,41,2,1,3
2018-02-10,3,32,1,1,4
2018-02-11,1,39,3,1,3
2018-02-12,1,26,2,1,2
2018-02-13,1,15,1,1,2
2018-02-14,1,33,1,2,1
2018-02-15,1,11,1,1,2
2018-02-16,1,9,1,2,1
2018-02-17,1,6,1,1,1
2018-02-18,1,6,1,1,1
2018-02-19,1,6,1,1,1
2018-02-20,<1,5,1,1,1
2018-02-21,<1,6,4,1,1
2018-02-22,<1,7,4,1,1
2018-02-23,1,19,2,1,1
2018-02-24,1,16,3,2,2
2018-02-25,<1,17,2,1,2
2018-02-26,1,9,1,2,1
