Category: All categories

Day,Atlanta Hawks: (Worldwide),Golden State Warriors: (Worldwide),Houston Rockets: (Worldwide),Indiana Pacers: (Worldwide),Los Angeles Clippers: (Worldwide)
2017-10-01,2,34,3,1,3
2017-10-02,2,10,3,1,5
2017-10-03,1,9,4,1,2
2017-10-04,3,9,10,1,4
2017-10-05,4,16,4,2,2
2017-10-06,2,9,5,1,2
2017-10-07,2,10,3,3,1
2017-10-08,2,19,3,1,3
2017-10-09,2,9,3,1,2
2017-10-10,2,8,5,2,2
2017-10-11,1,9,4,1,2
2017-10-12,2,8,5,1,3
2017-10-13,2,9,3,1,4
2017-10-14,2,20,6,1,4
2017-10-15,2,9,4,2,2
2017-10-16,1,9,4,1,2
2017-10-17,1,17,8,1,2
2017-10-18,3,100,52,3,3
2017-10-19,4,20,15,4,5
2017-10-20,2,19,7,3,19
2017-10-21,2,53,7,3,4
2017-10-22,3,49,10,2,6
2017-10-23,3,18,6,2,3
2017-10-24,2,32,9,2,3
2017-10-25,2,17,6,4,6
2017-10-26,2,36,8,4,4
2017-10-27,3,17,5,1,7
2017-10-28,3,51,7,1,4
2017-10-29,3,21,6,3,6
2017-10-30,2,36,5,2,3
2017-10-31,1,31,7,3,8
2017-11-01,2,16,5,4,3
2017-11-02,3,20,8,6,5
2017-11-03,2,39,5,3,3
2017-11-04,3,20,6,3,5
2017-11-05,6,31,5,2,5
2017-11-06,4,16,9,4,3
2017-11-07,5,30,4,2,2
2017-11-08,2,18,4,3,4
2017-11-09,1,34,6,2,2
2017-11-10,2,17,19,1,2
2017-11-11,2,17,6,2,5
2017-11-12,2,36,9,3,4
2017-11-13,1,15,6,2,2
2017-11-14,2,28,5,1,5
2017-11-15,2,17,10,1,2
2017-11-16,3,22,5,2,2
2017-11-17,2,65,19,2,2
2017-11-18,2,16,7,3,8
2017-11-19,5,48,8,2,3
2017-11-20,2,24,5,2,3
2017-11-21,2,15,4,2,4
2017-11-22,1,18,5,1,3
2017-11-23,2,56,8,1,3
2017-11-24,2,16,4,2,2
2017-11-25,4,39,6,5,2
2017-11-26,2,38,9,5,4
2017-11-27,2,15,4,2,2
2017-11-28,1,31,8,3,7
2017-11-29,1,15,4,2,2
2017-11-30,2,44,8,2,3
2017-12-01,6,18,5,2,4
2017-12-02,2,26,5,2,3
2017-12-03,1,18,5,1,2
2017-12-04,2,25,10,2,3
2017-12-05,2,31,5,3,2
2017-12-06,2,15,4,2,2
2017-12-07,2,26,6,3,4
2017-12-08,1,16,9,3,2
2017-12-09,2,28,6,8,4
2017-12-10,2,15,11,4,3
2017-12-11,2,12,6,4,2
2017-12-12,2,27,12,2,4
2017-12-13,4,14,6,3,2
2017-12-14,2,16,12,7,3
2017-12-15,3,27,7,2,2
2017-12-16,2,16,19,3,3
2017-12-17,2,14,13,2,3
2017-12-18,2,14,7,4,2
2017-12-19,2,44,12,6,3
2017-12-20,2,16,8,2,2
2017-12-21,2,29,20,3,3
2017-12-22,2,16,7,1,2
2017-12-23,3,43,15,2,6
2017-12-24,2,37,6,4,3
2017-12-25,2,95,10,2,2
2017-12-26,2,38,20,2,2
2017-12-27,2,18,5,4,4
2017-12-28,3,28,7,3,2
2017-12-29,2,16,21,2,3
2017-12-30,3,33,12,3,5
2017-12-31,2,40,7,2,3
2018-01-01,1,15,15,2,3
2018-01-02,2,14,5,1,2
2018-01-03,2,15,6,1,4
2018-01-04,1,34,10,2,3
2018-01-05,1,41,19,2,6
2018-01-06,2,29,6,2,6
2018-01-07,2,21,7,3,4
2018-01-08,3,14,4,2,3
2018-01-09,2,29,6,3,3
2018-01-10,1,16,5,2,3
2018-01-11,2,32,8,3,8
2018-01-12,2,18,4,3,5
2018-01-13,2,34,8,7,5
2018-01-14,2,38,4,2,3
2018-01-15,2,22,4,3,3
2018-01-16,2,71,22,3,18
2018-01-17,2,18,9,2,8
2018-01-18,2,34,8,2,7
2018-01-19,1,16,10,4,3
2018-01-20,2,19,8,4,3
2018-01-21,2,50,28,2,4
2018-01-22,2,15,7,3,2
2018-01-23,2,14,10,2,4
2018-01-24,2,28,6,2,3
2018-01-25,2,16,8,3,5
2018-01-26,2,30,6,2,2
2018-01-27,3,19,11,6,3
2018-01-28,2,54,9,4,4
2018-01-29,2,15,5,2,4
2018-01-30,2,16,5,3,13
2018-01-31,1,31,11,3,8
2018-02-01,2,22,6,3,5
2018-02-02,2,21,12,2,4
2018-02-03,3,34,7,3,6
2018-02-04,2,35,22,3,4
2018-02-05,2,13,6,2,3
2018-02-06,2,16,7,3,5
2018-02-07,2,50,11,2,3
2018-02-08,3,20,12,8,4
2018-02-09,4,30,7,3,4
2018-02-10,6,18,13,3,7
2018-02-11,3,35,10,3,4
2018-02-12,2,15,11,2,2
2018-02-13,2,28,8,2,3
2018-02-14,3,16,12,2,2
2018-02-15,2,31,10,2,4
2018-02-16,1,13,6,1,2
2018-02-17,1,11,5,1,3
2018-02-18,1,9,4,1,2
2018-02-19,1,10,4,1,3
2018-02-20,1,9,3,1,2
2018-02-21,1,9,4,1,2
2018-02-22,1,11,4,1,2
2018-02-23,1,29,6,2,6
2018-02-24,2,17,13,3,4
2018-02-25,1,51,8,2,2
2018-02-26,2,16,13,2,2
2018-02-27,3,26,12,2,2
2018-02-28,2,14,6,1,5
2018-03-01,2,27,16,2,7
2018-03-02,2,15,7,2,3
2018-03-03,4,26,10,3,3
2018-03-04,3,14,26,2,3
2018-03-05,2,12,7,3,3
2018-03-06,2,14,8,3,2
2018-03-07,2,25,23,2,4
2018-03-08,1,14,17,3,2
2018-03-09,1,34,11,2,3
2018-03-10,2,36,30,2,8
2018-03-11,2,28,10,2,4
2018-03-12,1,15,11,3,2
2018-03-13,2,14,13,3,2
2018-03-14,2,15,6,4,3
2018-03-15,2,29,7,3,2
2018-03-16,1,15,11,4,4
2018-03-17,2,29,8,2,5
2018-03-18,2,23,12,2,3
2018-03-19,1,14,10,2,4
2018-03-20,2,26,7,3,2
2018-03-21,2,12,18,2,3
2018-03-22,2,13,8,3,2
2018-03-23,3,13,12,2,2
2018-03-24,4,33,8,3,3
2018-03-25,2,16,13,4,3
2018-03-26,2,23,10,2,3
2018-03-27,1,13,7,2,2
2018-03-28,2,22,11,4,4
2018-03-29,2,13,6,2,3
2018-03-30,2,27,8,3,3
2018-03-31,2,18,14,2,3
2018-04-01,2,38,16,3,3
2018-04-02,2,23,8,2,2
2018-04-03,1,14,6,2,2
2018-04-04,2,29,9,3,5
2018-04-05,2,17,7,3,3
2018-04-06,1,21,11,5,3
2018-04-07,2,20,9,3,4
2018-04-08,3,26,18,3,3
2018-04-09,1,20,6,2,2
2018-04-10,2,14,7,3,4
2018-04-11,2,26,13,2,3
2018-04-12,2,18,13,4,4
2018-04-13,1,15,8,3,2
2018-04-14,1,64,8,3,1
2018-04-15,1,29,15,27,2
2018-04-16,1,22,39,11,2
2018-04-17,1,57,10,6,1
2018-04-18,1,18,12,15,2
2018-04-19,1,22,30,27,1
2018-04-20,1,49,10,11,1
2018-04-21,1,23,16,31,1
2018-04-22,1,53,31,14,1
2018-04-23,1,24,15,39,1
2018-04-24,1,20,30,7,1
2018-04-25,1,62,13,13,1
2018-04-26,1,21,31,35,1
2018-04-27,1,18,8,11,1
2018-04-28,1,29,13,49,1
2018-04-29,1,83,35,84,1
2018-04-30,1,23,17,15,1
2018-05-01,1,25,11,4,1
