Category: All categories

Day,Atlanta Hawks: (Worldwide),Los Angeles Lakers: (Worldwide),Memphis Grizzlies: (Worldwide),Miami Heat: (Worldwide),Milwaukee Bucks: (Worldwide)
2017-10-01,4,49,1,7,3
2017-10-02,3,18,2,6,3
2017-10-03,2,34,2,5,5
2017-10-04,4,16,2,5,4
2017-10-05,6,23,2,5,4
2017-10-06,4,14,1,6,4
2017-10-07,3,14,1,5,4
2017-10-08,3,16,1,5,4
2017-10-09,3,22,1,4,3
2017-10-10,3,14,2,5,3
2017-10-11,2,24,1,5,3
2017-10-12,3,15,3,6,4
2017-10-13,3,13,2,5,3
2017-10-14,3,24,2,8,6
2017-10-15,3,15,2,5,4
2017-10-16,2,14,2,5,4
2017-10-17,2,15,2,5,5
2017-10-18,4,24,3,9,9
2017-10-19,6,31,5,9,19
2017-10-20,4,100,2,5,15
2017-10-21,4,78,4,7,24
2017-10-22,5,30,13,10,15
2017-10-23,4,57,4,6,9
2017-10-24,4,27,7,9,14
2017-10-25,3,28,3,6,8
2017-10-26,4,100,5,9,12
2017-10-27,5,29,4,5,23
2017-10-28,5,49,3,6,6
2017-10-29,5,35,5,9,11
2017-10-30,3,20,3,6,7
2017-10-31,2,21,3,8,8
2017-11-01,3,44,3,5,15
2017-11-02,4,24,3,7,8
2017-11-03,4,52,2,5,6
2017-11-04,4,52,3,7,8
2017-11-05,9,22,3,7,5
2017-11-06,7,45,6,7,5
2017-11-07,7,22,2,11,16
2017-11-08,3,27,3,5,21
2017-11-09,2,53,2,7,8
2017-11-10,3,34,2,5,8
2017-11-11,4,20,2,8,20
2017-11-12,3,41,3,8,16
2017-11-13,2,19,2,4,7
2017-11-14,4,35,4,5,10
2017-11-15,3,19,2,6,7
2017-11-16,5,58,3,8,10
2017-11-17,3,19,1,5,6
2017-11-18,4,42,3,7,6
2017-11-19,7,19,3,7,9
2017-11-20,3,38,2,5,6
2017-11-21,4,19,2,4,8
2017-11-22,2,49,2,6,5
2017-11-23,3,39,3,15,9
2017-11-24,3,15,2,5,5
2017-11-25,6,17,2,8,6
2017-11-26,4,16,2,8,8
2017-11-27,3,17,5,6,5
2017-11-28,2,33,5,7,6
2017-11-29,2,18,2,13,8
2017-11-30,4,64,4,7,6
2017-12-01,9,20,2,5,9
2017-12-02,4,18,3,7,6
2017-12-03,2,32,5,6,8
2017-12-04,2,31,2,9,6
2017-12-05,3,16,2,4,10
2017-12-06,2,16,2,4,6
2017-12-07,3,18,3,7,8
2017-12-08,2,45,2,3,5
2017-12-09,3,21,3,5,10
2017-12-10,4,36,4,6,10
2017-12-11,4,18,2,4,5
2017-12-12,3,21,2,6,5
2017-12-13,6,43,1,5,5
2017-12-14,3,22,2,7,8
2017-12-15,4,56,2,5,5
2017-12-16,3,19,3,8,9
2017-12-17,2,19,3,8,9
2017-12-18,3,23,1,5,5
2017-12-19,4,82,1,7,8
2017-12-20,3,23,2,4,20
2017-12-21,3,55,5,10,6
2017-12-22,3,22,3,5,7
2017-12-23,5,61,2,8,11
2017-12-24,4,43,3,7,9
2017-12-25,3,26,2,6,6
2017-12-26,2,44,2,6,7
2017-12-27,3,20,3,9,10
2017-12-28,4,33,4,7,7
2017-12-29,3,19,1,6,11
2017-12-30,5,31,2,9,13
2017-12-31,3,18,7,8,5
2018-01-01,2,42,2,4,6
2018-01-02,2,26,1,5,9
2018-01-03,4,18,3,6,6
2018-01-04,2,36,1,7,8
2018-01-05,2,18,2,7,7
2018-01-06,3,36,4,11,10
2018-01-07,3,20,1,11,8
2018-01-08,5,33,1,7,6
2018-01-09,3,20,1,6,7
2018-01-10,2,37,1,14,6
2018-01-11,3,20,2,12,7
2018-01-12,3,41,2,7,8
2018-01-13,4,37,2,7,17
2018-01-14,3,26,2,12,9
2018-01-15,4,26,3,11,8
2018-01-16,3,26,3,7,6
2018-01-17,3,20,2,6,7
2018-01-18,3,26,2,11,8
2018-01-19,2,16,2,8,5
2018-01-20,4,32,3,10,8
2018-01-21,3,31,2,11,7
2018-01-22,3,20,2,7,10
2018-01-23,4,20,3,12,14
2018-01-24,3,40,2,8,6
2018-01-25,4,21,2,9,5
2018-01-26,3,20,1,11,6
2018-01-27,4,37,3,7,10
2018-01-28,3,25,2,12,9
2018-01-29,3,24,2,7,8
2018-01-30,3,24,2,11,12
2018-01-31,2,20,2,9,6
2018-02-01,3,26,3,17,8
2018-02-02,3,19,3,8,11
2018-02-03,4,28,1,12,15
2018-02-04,3,36,2,10,12
2018-02-05,3,24,1,6,7
2018-02-06,3,24,2,10,9
2018-02-07,3,37,2,8,13
2018-02-08,4,77,3,26,9
2018-02-09,6,76,2,25,8
2018-02-10,10,41,2,37,14
2018-02-11,6,69,2,12,10
2018-02-12,3,26,2,9,7
2018-02-13,3,25,1,11,7
