Category: All categories

Day,Atlanta Hawks: (Worldwide),Minnesota Timberwolves: (Worldwide),New Orleans Pelicans: (Worldwide),New York Knicks: (Worldwide),Oklahoma City Thunder: (Worldwide)
2017-10-01,4,18,2,10,14
2017-10-02,4,5,2,8,11
2017-10-03,2,3,3,11,14
2017-10-04,5,4,3,15,26
2017-10-05,7,8,2,8,10
2017-10-06,4,4,2,9,11
2017-10-07,3,4,4,10,18
2017-10-08,3,9,3,9,17
2017-10-09,3,4,2,12,12
2017-10-10,4,3,2,12,10
2017-10-11,2,3,2,8,14
2017-10-12,3,4,2,8,9
2017-10-13,4,3,1,9,8
2017-10-14,3,3,2,10,8
2017-10-15,3,3,2,9,10
2017-10-16,2,4,2,7,9
2017-10-17,2,4,2,9,10
2017-10-18,5,9,4,12,18
2017-10-19,7,19,6,18,24
2017-10-20,4,8,5,37,61
2017-10-21,4,13,21,13,21
2017-10-22,6,10,7,17,40
2017-10-23,5,18,13,11,28
2017-10-24,4,8,4,13,12
2017-10-25,3,11,6,16,13
2017-10-26,4,6,4,10,23
2017-10-27,6,6,8,12,14
2017-10-28,5,13,8,16,35
2017-10-29,6,5,10,14,25
2017-10-30,4,5,4,28,14
2017-10-31,2,8,4,23,14
2017-11-01,4,5,3,14,23
2017-11-02,5,8,4,17,12
2017-11-03,4,5,3,13,14
2017-11-04,5,6,4,21,31
2017-11-05,10,10,4,13,12
2017-11-06,8,10,2,26,21
2017-11-07,8,5,3,15,10
2017-11-08,3,6,5,34,21
2017-11-09,3,17,3,20,14
2017-11-10,4,6,6,11,23
2017-11-11,4,5,4,13,22
2017-11-12,3,8,5,27,14
2017-11-13,3,4,3,19,18
2017-11-14,4,7,4,53,10
2017-11-15,3,5,3,16,10
2017-11-16,5,8,5,25,18
2017-11-17,4,4,3,13,12
2017-11-18,4,9,5,17,22
2017-11-19,8,5,3,12,10
2017-11-20,3,8,2,12,11
2017-11-21,4,6,5,20,19
2017-11-22,3,3,2,12,15
2017-11-23,4,7,4,23,71
2017-11-24,3,4,2,14,17
2017-11-25,6,7,6,22,24
2017-11-26,4,6,9,18,20
2017-11-27,3,4,2,10,10
2017-11-28,2,4,2,14,9
2017-11-29,2,7,2,11,11
2017-11-30,4,6,4,18,20
2017-12-01,10,4,2,10,12
2017-12-02,4,7,4,9,21
2017-12-03,2,4,5,19,14
2017-12-04,3,6,3,10,19
2017-12-05,3,5,8,11,11
2017-12-06,3,3,3,10,21
2017-12-07,3,7,4,15,12
2017-12-08,2,4,3,10,18
2017-12-09,3,3,4,11,13
2017-12-10,4,4,3,16,20
2017-12-11,4,5,6,15,10
2017-12-12,4,4,5,12,18
2017-12-13,7,9,3,30,10
2017-12-14,3,4,4,13,23
2017-12-15,5,6,2,18,12
