Category: All categories

Day,Atlanta Hawks: (Worldwide),Orlando Magic: (Worldwide),Philadelphia 76ers: (Worldwide),Phoenix Suns: (Worldwide),Portland Trail Blazers: (Worldwide)
2017-10-01,4,2,5,2,2
2017-10-02,3,2,4,2,3
2017-10-03,2,2,4,2,3
2017-10-04,4,2,8,5,6
2017-10-05,7,2,10,2,3
2017-10-06,4,3,8,2,4
2017-10-07,3,3,9,4,2
2017-10-08,3,3,5,2,4
2017-10-09,3,2,6,3,3
2017-10-10,3,3,8,4,4
2017-10-11,2,3,7,3,3
2017-10-12,3,2,11,4,4
2017-10-13,4,3,6,2,3
2017-10-14,3,4,10,4,4
2017-10-15,3,2,5,2,3
2017-10-16,2,2,5,2,3
2017-10-17,2,3,6,3,3
2017-10-18,5,4,17,5,5
2017-10-19,7,6,27,15,12
2017-10-20,4,3,15,8,5
2017-10-21,4,5,21,23,8
2017-10-22,5,11,14,12,8
2017-10-23,4,3,10,14,3
2017-10-24,4,4,16,13,4
2017-10-25,3,5,11,6,10
2017-10-26,4,3,15,8,5
2017-10-27,5,5,6,4,8
2017-10-28,5,10,6,5,4
2017-10-29,6,6,13,7,6
2017-10-30,4,4,7,4,4
2017-10-31,2,5,14,4,6
2017-11-01,4,4,9,7,3
2017-11-02,4,6,16,8,7
2017-11-03,4,5,12,6,16
2017-11-04,4,5,19,7,3
2017-11-05,9,5,8,4,4
2017-11-06,7,5,7,6,8
2017-11-07,8,3,9,8,4
2017-11-08,3,4,18,6,7
2017-11-09,2,6,9,7,3
2017-11-10,3,3,16,5,3
2017-11-11,4,5,9,6,6
2017-11-12,3,4,19,7,3
2017-11-13,2,3,8,5,3
2017-11-14,4,6,16,9,5
2017-11-15,3,2,11,3,3
2017-11-16,5,3,35,4,6
2017-11-17,4,3,12,14,3
2017-11-18,4,3,12,11,6
2017-11-19,8,3,36,4,6
2017-11-20,3,2,10,5,2
2017-11-21,4,3,15,3,4
2017-11-22,2,2,9,3,4
2017-11-23,4,3,15,6,5
2017-11-24,3,2,8,4,5
2017-11-25,6,6,10,5,5
2017-11-26,4,4,17,4,6
2017-11-27,3,2,12,3,4
2017-11-28,2,3,22,3,5
2017-11-29,2,3,10,5,3
2017-11-30,4,5,20,4,4
2017-12-01,9,4,16,2,7
2017-12-02,4,6,9,6,3
2017-12-03,2,5,19,4,6
2017-12-04,3,3,9,3,3
2017-12-05,3,2,12,7,3
2017-12-06,3,2,6,6,7
2017-12-07,3,3,11,4,3
2017-12-08,2,3,26,4,2
2017-12-09,3,4,10,4,4
2017-12-10,4,2,18,5,7
2017-12-11,4,2,10,3,4
2017-12-12,3,2,7,3,7
2017-12-13,6,2,16,5,3
2017-12-14,3,3,8,5,4
2017-12-15,4,2,9,3,3
2017-12-16,4,3,27,3,5
2017-12-17,3,3,8,4,5
2017-12-18,3,2,8,3,3
2017-12-19,4,2,15,5,5
2017-12-20,3,2,12,3,3
2017-12-21,3,3,8,5,7
2017-12-22,3,3,13,5,3
