Category: All categories

Day,Atlanta Hawks: (Worldwide),Sacramento Kings: (Worldwide),San Antonio Spurs: (Worldwide),Toronto Raptors: (Worldwide),Utah Jazz: (Worldwide)
2017-10-01,5,3,9,6,2
2017-10-02,4,3,7,11,3
2017-10-03,2,6,13,5,6
2017-10-04,5,3,6,7,3
2017-10-05,8,3,7,6,4
2017-10-06,4,3,8,7,2
2017-10-07,4,5,14,5,5
2017-10-08,3,3,11,5,3
2017-10-09,3,6,9,4,3
2017-10-10,4,5,8,7,5
2017-10-11,3,2,11,8,7
2017-10-12,4,4,7,5,3
2017-10-13,4,5,7,5,2
2017-10-14,4,7,17,8,3
2017-10-15,3,3,9,5,3
2017-10-16,3,4,9,5,3
2017-10-17,3,4,25,6,3
2017-10-18,5,6,22,7,6
2017-10-19,8,13,42,15,9
2017-10-20,5,5,14,20,5
2017-10-21,5,8,16,11,10
2017-10-22,6,5,30,18,13
2017-10-23,5,5,16,11,5
2017-10-24,4,8,27,16,5
2017-10-25,4,4,19,9,8
2017-10-26,5,5,27,20,6
2017-10-27,6,11,16,10,2
2017-10-28,6,3,28,19,4
2017-10-29,7,5,19,8,10
2017-10-30,4,4,17,8,4
2017-10-31,3,4,20,13,6
2017-11-01,4,6,27,8,4
2017-11-02,5,5,23,12,8
2017-11-03,5,4,44,8,4
2017-11-04,5,4,21,13,7
2017-11-05,11,4,18,10,4
2017-11-06,8,3,16,10,6
2017-11-07,9,4,11,8,4
2017-11-08,3,10,19,12,6
2017-11-09,3,4,10,10,3
2017-11-10,4,9,12,13,3
2017-11-11,5,4,23,7,6
2017-11-12,3,5,18,18,6
2017-11-13,3,4,9,9,3
2017-11-14,5,4,11,7,5
2017-11-15,3,4,16,18,4
2017-11-16,6,5,15,13,6
2017-11-17,4,4,11,9,3
2017-11-18,4,6,33,15,5
2017-11-19,9,6,11,14,4
2017-11-20,4,3,11,10,3
2017-11-21,5,5,19,8,4
2017-11-22,3,4,10,8,3
2017-11-23,4,14,13,14,5
2017-11-24,3,4,8,6,2
2017-11-25,7,4,14,13,3
2017-11-26,5,7,14,11,6
2017-11-27,3,4,9,7,2
2017-11-28,3,13,23,6,5
2017-11-29,2,6,11,8,6
2017-11-30,5,3,17,15,4
2017-12-01,11,3,9,9,8
2017-12-02,4,5,18,14,9
2017-12-03,3,4,12,7,4
2017-12-04,3,2,22,7,4
2017-12-05,4,3,17,10,9
2017-12-06,3,4,13,14,10
2017-12-07,3,9,18,6,5
2017-12-08,2,4,11,8,8
2017-12-09,3,6,38,14,4
2017-12-10,5,5,23,12,5
2017-12-11,5,3,12,11,3
