Category: All categories

Day,Atlanta Hawks: (Worldwide),Washington Wizards: (Worldwide)
2017-10-01,11,6
2017-10-02,9,8
2017-10-03,5,7
2017-10-04,12,7
2017-10-05,19,7
2017-10-06,10,8
2017-10-07,9,11
2017-10-08,8,16
2017-10-09,8,9
2017-10-10,9,7
2017-10-11,6,7
2017-10-12,8,9
2017-10-13,10,9
2017-10-14,9,8
2017-10-15,8,6
2017-10-16,7,8
2017-10-17,6,10
2017-10-18,13,23
2017-10-19,19,36
2017-10-20,12,17
2017-10-21,11,20
2017-10-22,15,9
2017-10-23,12,13
2017-10-24,10,23
2017-10-25,9,20
2017-10-26,11,100
2017-10-27,15,19
2017-10-28,14,63
2017-10-29,16,18
2017-10-30,10,14
2017-10-31,6,11
2017-11-01,10,12
2017-11-02,12,17
2017-11-03,11,20
2017-11-04,12,47
2017-11-05,26,14
2017-11-06,20,14
2017-11-07,21,10
2017-11-08,8,17
2017-11-09,7,17
2017-11-10,10,28
2017-11-11,11,13
2017-11-12,8,16
2017-11-13,7,13
2017-11-14,11,17
2017-11-15,8,12
2017-11-16,14,15
2017-11-17,10,13
2017-11-18,10,16
2017-11-19,21,17
2017-11-20,9,12
2017-11-21,11,13
2017-11-22,7,10
2017-11-23,10,10
2017-11-24,8,6
2017-11-25,16,13
2017-11-26,11,17
2017-11-27,7,9
2017-11-28,6,11
2017-11-29,6,15
2017-11-30,11,18
2017-12-01,26,12
2017-12-02,10,15
2017-12-03,6,9
2017-12-04,7,9
2017-12-05,9,19
2017-12-06,7,16
2017-12-07,8,11
2017-12-08,6,14
2017-12-09,8,17
2017-12-10,11,10
2017-12-11,11,8
2017-12-12,10,10
2017-12-13,17,16
2017-12-14,8,14
2017-12-15,12,10
2017-12-16,10,16
2017-12-17,7,22
2017-12-18,9,21
2017-12-19,11,13
2017-12-20,8,16
2017-12-21,8,10
2017-12-22,8,12
2017-12-23,16,18
2017-12-24,11,13
2017-12-25,9,30
2017-12-26,7,29
2017-12-27,9,13
2017-12-28,12,17
2017-12-29,8,15
2017-12-30,14,24
2017-12-31,10,20
2018-01-01,7,11
2018-01-02,7,9
2018-01-03,11,11
2018-01-04,7,15
2018-01-05,6,10
2018-01-06,9,23
2018-01-07,8,19
2018-01-08,14,9
2018-01-09,10,9
2018-01-10,6,10
2018-01-11,8,16
2018-01-12,9,13
2018-01-13,10,16
2018-01-14,9,18
2018-01-15,11,17
2018-01-16,8,11
2018-01-17,8,10
2018-01-18,9,14
2018-01-19,6,9
2018-01-20,12,15
2018-01-21,9,8
2018-01-22,9,8
2018-01-23,11,15
2018-01-24,8,9
2018-01-25,11,12
2018-01-26,8,22
2018-01-27,12,13
2018-01-28,9,13
2018-01-29,8,8
2018-01-30,10,15
2018-01-31,7,23
2018-02-01,9,15
2018-02-02,10,18
2018-02-03,13,12
2018-02-04,10,13
2018-02-05,7,11
2018-02-06,8,20
2018-02-07,10,24
2018-02-08,12,23
2018-02-09,19,29
2018-02-10,29,12
2018-02-11,16,20
2018-02-12,8,11
2018-02-13,8,9
2018-02-14,12,11
2018-02-15,8,15
2018-02-16,6,10
2018-02-17,6,8
2018-02-18,6,8
2018-02-19,6,8
2018-02-20,5,8
2018-02-21,5,9
2018-02-22,5,12
2018-02-23,6,40
2018-02-24,8,19
2018-02-25,5,12
2018-02-26,8,22
2018-02-27,14,11
2018-02-28,8,25
2018-03-01,9,29
2018-03-02,9,11
2018-03-03,19,19
2018-03-04,12,13
2018-03-05,9,12
2018-03-06,8,10
2018-03-07,9,15
2018-03-08,6,9
2018-03-09,7,11
2018-03-10,8,17
2018-03-11,11,14
2018-03-12,7,8
2018-03-13,9,11
2018-03-14,11,15
2018-03-15,7,25
2018-03-16,6,9
2018-03-17,8,11
2018-03-18,7,14
2018-03-19,5,8
2018-03-20,7,9
2018-03-21,11,10
2018-03-22,8,17
2018-03-23,13,10
2018-03-24,17,13
2018-03-25,10,12
2018-03-26,9,13
2018-03-27,6,14
2018-03-28,10,12
2018-03-29,9,12
2018-03-30,10,12
2018-03-31,12,18
2018-04-01,9,17
2018-04-02,9,10
2018-04-03,7,11
2018-04-04,11,13
2018-04-05,9,12
2018-04-06,6,34
2018-04-07,8,16
2018-04-08,12,10
2018-04-09,7,8
2018-04-10,10,13
2018-04-11,10,22
2018-04-12,8,26
2018-04-13,5,13
2018-04-14,5,50
2018-04-15,6,33
2018-04-16,5,13
2018-04-17,4,25
2018-04-18,4,41
2018-04-19,5,13
2018-04-20,4,21
2018-04-21,4,49
2018-04-22,5,44
2018-04-23,4,48
2018-04-24,4,19
2018-04-25,4,30
2018-04-26,7,50
2018-04-27,5,33
2018-04-28,4,58
2018-04-29,5,15
2018-04-30,5,9
2018-05-01,4,8
