Category: All categories

Day,Atlanta Hawks: (Worldwide),Boston Celtics: (Worldwide),Brooklyn Nets: (Worldwide),Charlotte Hornets: (Worldwide),Chicago Bulls: (Worldwide)
2016-10-01,3,7,3,2,11
2016-10-02,3,6,4,2,12
2016-10-03,2,5,3,3,14
2016-10-04,2,8,4,3,23
2016-10-05,3,11,4,2,12
2016-10-06,3,7,5,2,13
2016-10-07,4,7,7,3,13
2016-10-08,3,9,6,3,12
2016-10-09,3,7,6,2,15
2016-10-10,4,7,4,3,11
2016-10-11,5,8,5,3,10
2016-10-12,4,7,6,2,10
2016-10-13,4,7,5,2,10
2016-10-14,4,9,5,2,12
2016-10-15,3,9,4,1,19
2016-10-16,5,10,4,2,18
2016-10-17,3,9,4,3,15
2016-10-18,4,10,4,4,17
2016-10-19,4,9,4,2,12
2016-10-20,3,10,4,3,14
2016-10-21,4,8,6,3,15
2016-10-22,3,9,4,3,12
2016-10-23,3,8,4,2,11
2016-10-24,3,9,4,2,12
2016-10-25,4,10,4,3,13
2016-10-26,5,17,8,4,18
2016-10-27,9,26,11,6,28
2016-10-28,10,27,8,5,55
2016-10-29,9,12,13,8,22
2016-10-30,6,14,10,5,34
2016-10-31,6,10,9,3,23
2016-11-01,8,10,11,4,37
2016-11-02,7,11,6,5,21
2016-11-03,10,24,9,4,37
2016-11-04,7,25,7,4,26
2016-11-05,8,11,8,6,55
2016-11-06,8,11,5,4,21
2016-11-07,5,13,5,4,16
2016-11-08,5,7,6,7,23
2016-11-09,14,7,7,4,13
2016-11-10,11,12,10,7,25
2016-11-11,6,9,4,7,33
2016-11-12,6,16,5,7,18
2016-11-13,7,12,7,8,26
2016-11-14,5,11,5,5,15
2016-11-15,4,14,8,4,15
2016-11-16,10,9,10,5,26
2016-11-17,8,14,5,3,15
2016-11-18,5,12,5,4,27
2016-11-19,7,26,6,8,19
2016-11-20,9,14,7,5,32
2016-11-21,4,8,5,4,26
2016-11-22,6,14,4,4,18
2016-11-23,7,10,5,4,24
2016-11-24,6,12,6,7,12
2016-11-25,4,16,4,4,12
2016-11-26,6,11,4,9,23
2016-11-27,5,9,6,7,15
2016-11-28,9,8,6,3,14
2016-11-29,15,13,5,5,14
2016-11-30,5,9,11,5,17
2016-12-01,7,14,6,5,28
2016-12-02,4,12,8,5,19
2016-12-03,7,15,7,5,53
2016-12-04,7,13,5,6,25
2016-12-05,5,9,5,4,17
2016-12-06,8,14,7,4,24
2016-12-07,4,10,5,4,20
2016-12-08,6,13,6,5,15
2016-12-09,3,10,4,4,28
2016-12-10,6,14,4,6,18
2016-12-11,3,10,6,7,26
2016-12-12,3,15,5,4,14
2016-12-13,4,8,7,4,16
2016-12-14,6,9,5,3,24
2016-12-15,3,15,9,4,15
2016-12-16,4,9,6,3,22
2016-12-17,7,14,6,5,23
2016-12-18,5,10,5,4,14
2016-12-19,5,11,6,3,14
2016-12-20,6,10,5,3,21
2016-12-21,4,15,7,6,14
2016-12-22,5,10,6,3,20
2016-12-23,3,16,14,4,14
2016-12-24,5,18,9,6,21
2016-12-25,4,36,5,3,31
2016-12-26,4,13,5,4,27
2016-12-27,5,10,9,6,21
2016-12-28,5,18,5,5,15
2016-12-29,8,12,7,7,24
2016-12-30,6,27,5,7,20
2016-12-31,7,21,5,6,18
2017-01-01,6,9,4,7,23
2017-01-02,9,9,5,4,15
2017-01-03,5,12,6,6,23
2017-01-04,5,18,4,4,16
2017-01-05,6,11,7,8,41
2017-01-06,12,14,7,5,19
2017-01-07,9,24,9,4,20
2017-01-08,8,18,8,5,30
2017-01-09,5,10,5,3,18
2017-01-10,5,11,5,3,27
2017-01-11,7,19,5,4,20
2017-01-12,5,18,5,3,16
2017-01-13,6,12,7,4,27
2017-01-14,14,21,6,5,19
