Category: All categories

Day,Atlanta Hawks: (Worldwide),Golden State Warriors: (Worldwide),Houston Rockets: (Worldwide),Indiana Pacers: (Worldwide),Los Angeles Clippers: (Worldwide)
2016-10-01,1,11,2,1,1
2016-10-02,1,18,2,1,1
2016-10-03,1,7,3,1,1
2016-10-04,1,7,2,1,2
2016-10-05,1,21,4,1,8
2016-10-06,1,10,2,1,4
2016-10-07,1,13,2,2,2
2016-10-08,1,7,2,1,2
2016-10-09,1,6,2,2,1
2016-10-10,1,6,2,1,1
2016-10-11,2,6,1,1,2
2016-10-12,1,7,2,1,1
2016-10-13,2,7,2,1,1
2016-10-14,1,7,2,1,2
2016-10-15,1,12,2,1,1
2016-10-16,2,11,2,1,1
2016-10-17,1,7,2,1,1
2016-10-18,1,7,2,1,2
2016-10-19,2,7,2,1,2
2016-10-20,1,12,2,1,1
2016-10-21,1,8,2,1,1
2016-10-22,1,13,2,1,1
2016-10-23,1,8,2,1,1
2016-10-24,1,9,2,1,1
2016-10-25,2,17,2,1,1
2016-10-26,2,74,3,3,2
2016-10-27,3,18,10,4,3
2016-10-28,4,16,3,2,6
2016-10-29,4,37,4,3,2
2016-10-30,2,23,3,3,4
2016-10-31,2,24,4,2,3
2016-11-01,3,16,5,2,4
2016-11-02,3,32,6,3,3
2016-11-03,4,22,4,2,7
2016-11-04,3,79,3,2,3
2016-11-05,3,52,3,2,4
2016-11-06,3,17,4,2,5
2016-11-07,2,15,3,1,2
2016-11-08,2,30,3,2,4
2016-11-09,5,12,2,1,2
2016-11-10,4,28,5,2,5
2016-11-11,2,26,2,1,3
2016-11-12,2,14,3,3,6
2016-11-13,3,15,4,2,5
2016-11-14,2,27,2,2,3
2016-11-15,2,13,3,2,6
2016-11-16,4,14,3,2,4
2016-11-17,3,30,5,4,7
2016-11-18,2,15,4,2,3
2016-11-19,3,30,4,2,6
2016-11-20,3,30,3,2,8
2016-11-21,2,14,2,4,3
2016-11-22,2,22,3,4,6
2016-11-23,3,13,2,2,3
2016-11-24,2,35,3,2,4
2016-11-25,1,14,2,1,2
2016-11-26,2,34,4,2,5
2016-11-27,2,30,2,2,3
2016-11-28,3,14,3,2,3
2016-11-29,6,27,3,1,3
2016-11-30,2,15,3,1,6
2016-12-01,3,14,3,2,3
2016-12-02,2,45,16,1,10
2016-12-03,3,17,8,1,4
2016-12-04,3,27,3,1,3
2016-12-05,2,13,3,3,4
2016-12-06,3,36,6,6,3
2016-12-07,2,16,3,2,3
2016-12-08,2,37,5,2,12
2016-12-09,1,27,3,1,3
2016-12-10,2,15,9,2,2
2016-12-11,1,37,5,2,4
2016-12-12,1,25,3,1,2
2016-12-13,2,12,5,2,5
2016-12-14,2,25,3,1,2
2016-12-15,1,13,5,2,3
2016-12-16,2,28,3,2,2
2016-12-17,3,15,7,1,3
2016-12-18,2,28,8,2,3
2016-12-19,2,11,3,1,2
2016-12-20,2,13,4,2,2
2016-12-21,2,26,8,3,3
2016-12-22,2,15,5,1,2
2016-12-23,1,29,3,2,6
2016-12-24,2,32,5,1,4
2016-12-25,2,100,3,1,3
2016-12-26,2,41,4,1,8
2016-12-27,2,17,5,2,4
2016-12-28,2,15,7,2,3
2016-12-29,3,30,4,2,4
2016-12-30,2,14,4,2,3
2016-12-31,3,28,8,2,5
2017-01-01,2,13,8,2,4
2017-01-02,4,12,4,1,2
2017-01-03,2,23,6,1,3
2017-01-04,2,12,3,2,2
2017-01-05,2,27,5,1,3
2017-01-06,5,15,13,2,2
2017-01-07,4,39,7,2,3
2017-01-08,3,16,5,2,3
2017-01-09,2,24,7,1,2
2017-01-10,2,13,4,1,2
2017-01-11,3,25,7,1,2
2017-01-12,2,14,6,3,3
2017-01-13,2,25,4,1,2
2017-01-14,5,15,6,1,4
2017-01-15,3,14,4,1,3
2017-01-16,4,22,4,2,2
2017-01-17,2,84,4,1,6
2017-01-18,2,19,5,1,3
2017-01-19,2,47,7,2,3
2017-01-20,2,17,5,1,4
2017-01-21,3,32,12,3,2
2017-01-22,3,27,5,2,3
2017-01-23,2,14,3,1,2
2017-01-24,2,27,4,3,3
2017-01-25,2,13,3,1,3
2017-01-26,3,25,5,1,3
2017-01-27,2,12,3,2,4
2017-01-28,3,15,6,2,4
