Category: All categories

Day,Atlanta Hawks: (Worldwide),Los Angeles Lakers: (Worldwide),Memphis Grizzlies: (Worldwide),Miami Heat: (Worldwide),Milwaukee Bucks: (Worldwide)
2016-10-01,2,11,1,4,3
2016-10-02,2,13,1,4,3
2016-10-03,2,12,1,4,4
2016-10-04,2,15,3,5,7
2016-10-05,2,26,1,6,3
2016-10-06,2,14,2,5,3
2016-10-07,3,13,2,5,3
2016-10-08,2,21,1,5,3
2016-10-09,3,14,1,8,4
2016-10-10,3,19,1,5,3
2016-10-11,4,14,2,6,4
2016-10-12,3,19,2,7,3
2016-10-13,4,14,1,4,3
2016-10-14,3,17,2,4,3
2016-10-15,3,15,1,7,3
2016-10-16,4,20,2,5,5
2016-10-17,3,13,1,5,4
2016-10-18,3,12,1,6,4
2016-10-19,3,13,2,7,3
2016-10-20,3,21,2,6,4
2016-10-21,3,14,1,6,3
2016-10-22,3,16,2,8,3
2016-10-23,3,14,1,5,3
2016-10-24,3,16,1,5,3
2016-10-25,3,17,2,6,4
2016-10-26,4,22,3,11,6
2016-10-27,7,63,5,14,8
2016-10-28,9,25,2,9,4
2016-10-29,7,37,4,12,4
2016-10-30,5,22,6,10,8
2016-10-31,5,25,4,10,5
2016-11-01,6,19,2,8,4
2016-11-02,6,25,4,10,7
2016-11-03,8,30,4,7,5
2016-11-04,6,21,2,7,7
2016-11-05,7,100,3,10,6
2016-11-06,6,32,3,6,8
2016-11-07,4,54,2,6,7
2016-11-08,5,26,2,9,4
2016-11-09,11,31,3,5,3
2016-11-10,9,19,1,8,5
2016-11-11,4,42,2,20,6
2016-11-12,5,25,2,7,4
2016-11-13,6,46,2,8,6
2016-11-14,4,32,2,6,4
2016-11-15,4,18,3,9,4
2016-11-16,7,40,2,9,5
2016-11-17,7,22,6,6,6
2016-11-18,5,22,2,8,6
2016-11-19,6,40,4,5,6
2016-11-20,7,20,4,8,15
2016-11-21,4,30,2,5,5
2016-11-22,4,17,2,7,6
2016-11-23,6,44,2,5,4
2016-11-24,5,46,3,6,4
2016-11-25,3,17,2,5,4
2016-11-26,5,44,3,8,6
2016-11-27,4,18,3,8,4
2016-11-28,7,30,2,6,5
2016-11-29,12,18,3,7,5
2016-11-30,4,25,3,5,14
2016-12-01,5,30,4,7,6
2016-12-02,4,19,3,7,7
2016-12-03,6,25,2,6,6
2016-12-04,6,24,4,7,6
2016-12-05,4,16,2,5,5
2016-12-06,7,26,4,6,9
2016-12-07,4,15,4,8,5
2016-12-08,5,23,3,6,7
2016-12-09,3,15,4,5,5
2016-12-10,5,28,3,9,9
2016-12-11,3,16,14,9,8
2016-12-12,3,25,4,5,5
2016-12-13,3,23,4,7,6
2016-12-14,5,14,6,6,4
2016-12-15,3,23,6,9,5
2016-12-16,3,15,2,6,11
2016-12-17,6,25,4,7,8
2016-12-18,4,27,3,6,4
2016-12-19,4,14,3,6,4
2016-12-20,5,15,2,5,5
2016-12-21,3,21,4,9,15
2016-12-22,5,15,3,7,10
2016-12-23,3,25,2,14,5
2016-12-24,5,19,4,7,8
2016-12-25,4,19,2,6,6
2016-12-26,3,39,2,5,6
2016-12-27,5,15,4,6,7
