Category: All categories

Day,Atlanta Hawks: (Worldwide),Sacramento Kings: (Worldwide),San Antonio Spurs: (Worldwide),Toronto Raptors: (Worldwide),Utah Jazz: (Worldwide)
2016-10-01,2,2,5,12,2
2016-10-02,3,3,10,20,1
2016-10-03,2,2,5,8,2
2016-10-04,2,3,9,8,3
2016-10-05,2,7,5,6,2
2016-10-06,3,3,5,6,2
2016-10-07,3,9,5,5,2
2016-10-08,3,3,7,4,1
2016-10-09,3,3,9,4,1
2016-10-10,3,3,5,4,2
2016-10-11,5,4,6,4,3
2016-10-12,3,4,7,4,2
2016-10-13,4,3,6,6,3
2016-10-14,3,4,6,9,1
2016-10-15,3,4,8,8,1
2016-10-16,4,2,5,4,1
2016-10-17,3,3,5,4,2
2016-10-18,3,3,8,5,3
2016-10-19,4,5,8,5,2
2016-10-20,3,3,6,5,2
2016-10-21,3,3,6,5,1
2016-10-22,3,2,11,5,2
2016-10-23,3,3,7,5,2
2016-10-24,3,3,8,6,2
2016-10-25,4,3,18,6,4
2016-10-26,4,5,100,12,8
2016-10-27,8,10,23,18,3
2016-10-28,9,15,37,14,4
2016-10-29,8,4,19,21,9
2016-10-30,5,9,35,8,5
2016-10-31,6,5,21,9,3
2016-11-01,7,5,16,14,3
2016-11-02,6,5,28,9,8
2016-11-03,9,5,13,11,6
2016-11-04,6,4,14,10,4
2016-11-05,7,4,27,15,6
2016-11-06,7,5,24,11,6
2016-11-07,4,5,9,13,4
2016-11-08,5,3,8,7,5
2016-11-09,12,4,7,7,3
2016-11-10,10,4,20,16,4
2016-11-11,5,11,10,9,3
2016-11-12,5,7,18,17,4
2016-11-13,6,3,16,23,4
2016-11-14,4,2,9,9,3
2016-11-15,4,2,14,11,4
2016-11-16,8,3,9,22,2
2016-11-17,7,6,17,30,4
2016-11-18,4,3,9,9,7
2016-11-19,7,7,24,16,4
2016-11-20,8,4,10,9,4
2016-11-21,4,6,9,19,3
2016-11-22,5,3,18,15,2
2016-11-23,6,4,10,7,2
2016-11-24,5,6,15,12,4
2016-11-25,3,4,17,7,3
2016-11-26,5,5,16,12,4
2016-11-27,5,3,14,7,2
2016-11-28,8,4,9,7,3
