Category: All categories

Day,Atlanta Hawks: (Worldwide),Washington Wizards: (Worldwide)
2016-10-01,6,5
2016-10-02,7,5
2016-10-03,6,4
2016-10-04,6,8
2016-10-05,7,9
2016-10-06,7,6
2016-10-07,8,8
2016-10-08,8,5
2016-10-09,7,6
2016-10-10,9,6
2016-10-11,13,10
2016-10-12,9,5
2016-10-13,10,7
2016-10-14,8,7
2016-10-15,8,7
2016-10-16,11,7
2016-10-17,8,5
2016-10-18,9,8
2016-10-19,10,8
2016-10-20,8,6
2016-10-21,8,8
2016-10-22,7,7
2016-10-23,8,6
2016-10-24,8,7
2016-10-25,10,7
2016-10-26,12,9
2016-10-27,21,15
2016-10-28,25,16
2016-10-29,22,8
2016-10-30,14,7
2016-10-31,15,12
2016-11-01,19,7
2016-11-02,16,13
2016-11-03,24,14
2016-11-04,17,12
2016-11-05,19,14
2016-11-06,18,11
2016-11-07,11,11
2016-11-08,13,13
2016-11-09,33,8
2016-11-10,27,15
2016-11-11,13,12
2016-11-12,14,21
2016-11-13,16,14
2016-11-14,11,7
2016-11-15,10,8
2016-11-16,23,9
2016-11-17,20,16
2016-11-18,12,16
2016-11-19,18,9
2016-11-20,21,12
2016-11-21,11,8
2016-11-22,14,10
2016-11-23,17,6
2016-11-24,15,6
2016-11-25,9,8
2016-11-26,14,14
2016-11-27,12,12
2016-11-28,21,10
2016-11-29,36,11
2016-11-30,12,8
2016-12-01,16,13
2016-12-02,11,7
2016-12-03,18,13
2016-12-04,17,7
2016-12-05,13,6
2016-12-06,20,14
2016-12-07,10,13
2016-12-08,14,10
2016-12-09,8,11
2016-12-10,14,11
2016-12-11,8,13
2016-12-12,8,9
2016-12-13,10,11
2016-12-14,14,8
2016-12-15,8,12
2016-12-16,10,8
2016-12-17,17,13
2016-12-18,13,16
2016-12-19,11,12
2016-12-20,15,11
2016-12-21,9,9
2016-12-22,13,14
2016-12-23,8,8
2016-12-24,13,10
2016-12-25,9,9
2016-12-26,10,9
2016-12-27,13,14
2016-12-28,12,12
2016-12-29,20,17
2016-12-30,15,12
2016-12-31,16,15
2017-01-01,15,9
2017-01-02,22,9
2017-01-03,11,15
2017-01-04,12,12
2017-01-05,15,8
2017-01-06,29,11
2017-01-07,23,16
2017-01-08,20,15
2017-01-09,11,11
2017-01-10,11,11
2017-01-11,16,19
2017-01-12,11,14
2017-01-13,14,9
2017-01-14,33,12
2017-01-15,20,14
2017-01-16,23,16
2017-01-17,14,10
2017-01-18,10,9
2017-01-19,13,16
2017-01-20,10,20
2017-01-21,18,10
2017-01-22,20,14
2017-01-23,13,10
2017-01-24,14,21
2017-01-25,10,30
2017-01-26,16,13
2017-01-27,13,9
2017-01-28,16,17
2017-01-29,29,15
2017-01-30,22,16
2017-01-31,9,15
2017-02-01,12,19
2017-02-02,14,16
2017-02-03,21,21
2017-02-04,15,15
2017-02-05,16,22
2017-02-06,19,18
2017-02-07,13,82
2017-02-08,9,19
2017-02-09,12,21
2017-02-10,7,16
2017-02-11,13,25
2017-02-12,10,17
2017-02-13,8,16
2017-02-14,16,33
2017-02-15,9,13
2017-02-16,12,17
2017-02-17,9,23
2017-02-18,8,10
2017-02-19,7,10
2017-02-20,7,12
2017-02-21,8,12
2017-02-22,11,20
2017-02-23,16,21
2017-02-24,15,16
2017-02-25,17,24
2017-02-26,12,18
2017-02-27,11,15
2017-02-28,14,18
2017-03-01,12,53
2017-03-02,14,30
2017-03-03,16,17
2017-03-04,32,24
2017-03-05,19,16
2017-03-06,16,17
2017-03-07,27,14
2017-03-08,10,21
2017-03-09,13,17
2017-03-10,10,11
2017-03-11,17,29
2017-03-12,13,31
2017-03-13,10,19
2017-03-14,16,19
2017-03-15,8,15
2017-03-16,9,15
2017-03-17,10,13
2017-03-18,12,20
2017-03-19,10,15
2017-03-20,10,15
2017-03-21,9,17
2017-03-22,11,12
2017-03-23,13,21
2017-03-24,8,12
2017-03-25,13,22
2017-03-26,14,32
2017-03-27,10,12
2017-03-28,11,14
2017-03-29,13,30
2017-03-30,10,21
2017-03-31,8,13
2017-04-01,16,19
2017-04-02,13,16
2017-04-03,10,28
2017-04-04,7,14
2017-04-05,8,16
2017-04-06,13,15
2017-04-07,25,14
2017-04-08,25,15
2017-04-09,42,17
2017-04-10,25,14
2017-04-11,16,18
2017-04-12,19,15
2017-04-13,21,26
2017-04-14,13,15
2017-04-15,13,15
2017-04-16,59,75
2017-04-17,18,26
2017-04-18,19,16
2017-04-19,24,31
2017-04-20,30,51
2017-04-21,17,18
2017-04-22,36,47
2017-04-23,30,33
2017-04-24,21,22
2017-04-25,51,50
2017-04-26,31,37
2017-04-27,38,49
2017-04-28,24,29
2017-04-29,50,84
2017-04-30,12,100
2017-05-01,8,33
