Category: All categories

Day,Atlanta Hawks: (Worldwide),Minnesota Timberwolves: (Worldwide),New Orleans Pelicans: (Worldwide),New York Knicks: (Worldwide),Oklahoma City Thunder: (Worldwide)
2016-10-01,2,1,1,7,3
2016-10-02,2,1,2,7,4
2016-10-03,2,1,1,7,7
2016-10-04,2,2,1,9,6
2016-10-05,2,2,2,14,6
2016-10-06,2,2,1,7,5
2016-10-07,3,2,1,7,3
2016-10-08,2,2,1,9,3
2016-10-09,2,3,2,11,3
2016-10-10,3,2,1,8,3
2016-10-11,4,2,1,11,3
2016-10-12,2,2,2,7,4
2016-10-13,3,2,1,8,4
2016-10-14,2,1,1,7,4
2016-10-15,2,2,1,9,3
2016-10-16,3,2,1,11,4
2016-10-17,2,2,1,7,4
2016-10-18,2,2,1,7,4
2016-10-19,3,2,1,8,4
2016-10-20,3,2,1,11,3
2016-10-21,3,2,1,10,3
2016-10-22,2,3,1,9,3
2016-10-23,2,2,1,8,3
2016-10-24,2,2,1,10,4
2016-10-25,3,3,2,25,5
2016-10-26,3,4,3,42,10
2016-10-27,6,6,8,11,23
2016-10-28,7,2,4,10,8
2016-10-29,6,3,16,14,19
2016-10-30,4,6,6,23,10
2016-10-31,4,2,3,12,16
2016-11-01,5,3,2,13,10
2016-11-02,5,5,3,18,11
2016-11-03,7,3,3,16,35
2016-11-04,5,5,2,12,100
2016-11-05,5,4,4,28,19
2016-11-06,5,3,2,19,12
2016-11-07,3,2,3,9,8
2016-11-08,4,2,11,8,13
2016-11-09,10,4,4,8,6
2016-11-10,7,4,3,17,12
2016-11-11,4,2,4,10,6
2016-11-12,4,3,3,15,13
2016-11-13,5,6,7,14,7
2016-11-14,3,7,3,9,11
2016-11-15,3,3,4,14,9
2016-11-16,6,4,3,10,6
2016-11-17,6,3,3,18,13
2016-11-18,4,6,3,13,6
2016-11-19,5,3,4,8,10
2016-11-20,6,4,3,15,6
2016-11-21,3,2,2,9,11
2016-11-22,4,4,2,10,6
2016-11-23,5,2,4,19,13
2016-11-24,4,4,5,10,9
2016-11-25,3,2,2,10,5
2016-11-26,4,5,3,24,11
2016-11-27,3,8,2,16,10
2016-11-28,6,3,3,10,6
2016-11-29,10,4,3,16,12
2016-11-30,3,2,4,9,6
2016-12-01,4,5,2,16,13
2016-12-02,3,3,2,10,6
2016-12-03,5,5,3,19,5
2016-12-04,5,4,2,11,5
2016-12-05,4,2,3,17,11
2016-12-06,6,3,3,12,13
2016-12-07,3,4,1,21,5
2016-12-08,4,3,2,25,6
2016-12-09,2,5,3,9,6
2016-12-10,4,3,2,18,17
2016-12-11,3,4,4,10,7
2016-12-12,2,6,3,20,13
2016-12-13,3,2,3,12,6
2016-12-14,4,6,7,18,12
2016-12-15,2,2,3,10,8
2016-12-16,3,2,3,22,5
2016-12-17,5,3,3,11,7
2016-12-18,4,5,2,15,9
2016-12-19,3,2,2,8,6
2016-12-20,5,4,2,9,10
2016-12-21,3,2,3,16,5
2016-12-22,4,4,2,11,9
2016-12-23,2,3,2,17,5
2016-12-24,4,4,3,11,11
2016-12-25,3,4,2,31,9
2016-12-26,3,8,2,10,19
2016-12-27,4,4,3,9,7
2016-12-28,4,3,2,9,11
2016-12-29,6,3,3,16,6
