Category: All categories

Day,Atlanta Hawks: (Worldwide),Cleveland Cavaliers: (Worldwide),Dallas Mavericks: (Worldwide),Denver Nuggets: (Worldwide),Detroit Pistons: (Worldwide)
2016-10-01,1,5,2,1,1
2016-10-02,1,7,2,1,1
2016-10-03,1,6,1,1,1
2016-10-04,1,6,2,1,1
2016-10-05,1,8,1,1,2
2016-10-06,1,9,1,1,2
2016-10-07,1,9,1,1,2
2016-10-08,1,7,1,2,1
2016-10-09,1,9,2,1,1
2016-10-10,2,7,1,2,1
2016-10-11,2,9,2,1,2
2016-10-12,1,5,2,1,1
2016-10-13,2,6,1,1,1
2016-10-14,1,8,2,1,1
2016-10-15,1,12,2,3,1
2016-10-16,2,6,1,1,1
2016-10-17,1,5,1,1,1
2016-10-18,1,10,1,1,2
2016-10-19,2,9,2,1,1
2016-10-20,1,7,2,1,1
2016-10-21,1,6,2,1,1
2016-10-22,1,6,2,1,1
2016-10-23,1,7,2,1,2
2016-10-24,1,9,2,1,2
2016-10-25,2,24,2,1,2
2016-10-26,2,51,3,1,3
2016-10-27,3,15,4,2,4
2016-10-28,4,13,3,1,2
2016-10-29,3,28,4,1,3
2016-10-30,2,23,2,3,3
2016-10-31,2,14,3,2,2
2016-11-01,3,17,2,2,2
2016-11-02,3,25,2,1,4
2016-11-03,4,25,3,1,3
2016-11-04,3,24,2,2,2
2016-11-05,3,15,4,1,2
2016-11-06,3,22,3,1,3
2016-11-07,2,10,4,2,2
2016-11-08,2,11,2,1,3
2016-11-09,5,19,4,1,1
2016-11-10,4,11,6,2,2
2016-11-11,2,13,2,4,2
2016-11-12,2,18,2,2,2
2016-11-13,3,16,2,2,2
2016-11-14,2,12,2,2,2
2016-11-15,2,10,3,1,3
2016-11-16,4,20,2,1,2
2016-11-17,3,17,3,2,3
2016-11-18,2,9,2,1,2
2016-11-19,3,15,3,2,4
2016-11-20,3,9,2,1,3
2016-11-21,2,7,2,1,2
2016-11-22,2,8,3,1,3
2016-11-23,3,8,2,2,2
2016-11-24,2,23,3,1,3
2016-11-25,2,9,2,1,2
2016-11-26,2,18,4,2,3
2016-11-27,2,18,2,1,2
2016-11-28,4,10,2,1,2
2016-11-29,6,10,2,1,2
2016-11-30,2,19,2,1,2
2016-12-01,3,10,3,1,3
2016-12-02,2,23,3,1,2
2016-12-03,3,24,2,2,3
2016-12-04,3,9,3,1,3
2016-12-05,2,9,2,1,2
2016-12-06,3,19,3,1,2
2016-12-07,2,9,2,1,3
2016-12-08,2,20,3,2,2
2016-12-09,1,10,2,1,2
2016-12-10,2,18,3,1,3
2016-12-11,1,16,2,1,2
2016-12-12,1,9,2,1,2
2016-12-13,2,9,2,1,1
2016-12-14,2,16,2,1,2
2016-12-15,1,15,2,1,2
2016-12-16,2,8,2,2,2
2016-12-17,3,10,3,1,2
2016-12-18,2,16,2,2,2
2016-12-19,2,8,2,1,2
2016-12-20,3,8,2,2,3
2016-12-21,2,20,2,1,2
2016-12-22,2,16,3,1,3
2016-12-23,1,11,2,1,2
2016-12-24,2,20,3,2,5
2016-12-25,2,100,2,1,3
2016-12-26,2,48,2,1,3
2016-12-27,2,24,3,2,5
2016-12-28,2,11,4,1,2
2016-12-29,3,12,2,2,2
2016-12-30,2,21,4,1,2
2016-12-31,3,12,5,2,2
2017-01-01,2,17,2,1,2
2017-01-02,4,10,1,1,2
2017-01-03,2,16,2,3,2
2017-01-04,2,10,3,2,2
2017-01-05,2,23,2,1,2
2017-01-06,5,25,3,2,3
2017-01-07,4,25,2,1,2
2017-01-08,3,16,2,2,3
2017-01-09,2,19,2,1,2
2017-01-10,2,13,2,1,2
2017-01-11,3,24,1,1,2
2017-01-12,2,21,2,3,2
2017-01-13,2,12,3,2,5
2017-01-14,6,20,2,1,3
2017-01-15,3,13,3,1,2
2017-01-16,4,23,2,2,2
2017-01-17,2,75,2,2,2
2017-01-18,2,14,3,2,1
2017-01-19,2,13,2,1,2
2017-01-20,2,15,3,2,1
2017-01-21,3,12,3,1,3
2017-01-22,3,34,3,2,3
2017-01-23,2,10,3,2,2
2017-01-24,2,19,2,1,2
2017-01-25,2,12,2,2,1
2017-01-26,3,26,3,2,2
2017-01-27,2,12,4,2,1
2017-01-28,3,18,2,1,2
2017-01-29,5,25,2,2,2
2017-01-30,4,15,4,1,2
2017-01-31,2,20,6,1,3
2017-02-01,2,13,3,2,2
2017-02-02,2,20,4,2,2
2017-02-03,4,12,2,1,2
2017-02-04,2,13,6,2,3
2017-02-05,3,22,3,2,2
2017-02-06,3,11,2,1,2
2017-02-07,2,35,4,2,2
2017-02-08,2,13,4,1,2
2017-02-09,2,23,2,2,3
2017-02-10,1,28,4,1,2
2017-02-11,2,14,3,3,3
2017-02-12,2,20,4,4,3
2017-02-13,1,10,3,3,3
2017-02-14,3,13,3,9,2
2017-02-15,1,22,2,3,2
2017-02-16,2,19,2,3,3
2017-02-17,1,10,1,1,2
2017-02-18,1,9,2,2,2
2017-02-19,1,8,2,1,2
2017-02-20,1,11,2,2,2
2017-02-21,1,11,2,1,3
2017-02-22,2,12,2,2,3
2017-02-23,2,18,5,3,4
2017-02-24,3,25,4,3,3
2017-02-25,3,18,4,2,2
2017-02-26,2,26,5,2,3
2017-02-27,2,18,3,1,3
2017-02-28,2,25,4,1,2
2017-03-01,2,19,3,2,3
2017-03-02,2,27,3,2,2
2017-03-03,3,14,2,1,2
2017-03-04,5,23,4,1,2
2017-03-05,3,20,3,2,2
2017-03-06,2,12,6,1,2
2017-03-07,4,23,3,2,3
2017-03-08,2,11,6,1,2
2017-03-09,2,12,3,2,3
2017-03-10,2,19,3,2,4
2017-03-11,3,12,4,3,3
2017-03-12,2,19,4,2,3
2017-03-13,2,22,2,1,2
2017-03-14,3,13,3,3,2
2017-03-15,1,15,2,1,3
2017-03-16,2,12,3,2,2
2017-03-17,2,15,2,2,2
2017-03-18,2,12,3,2,2
2017-03-19,2,20,2,2,2
2017-03-20,2,19,2,2,2
2017-03-21,1,9,3,2,2
2017-03-22,2,9,4,2,2
2017-03-23,2,16,2,4,2
2017-03-24,2,10,3,2,2
2017-03-25,2,18,2,2,2
2017-03-26,2,19,3,2,2
