Category: All categories

Day,Atlanta Hawks: (Worldwide),Orlando Magic: (Worldwide),Philadelphia 76ers: (Worldwide),Phoenix Suns: (Worldwide),Portland Trail Blazers: (Worldwide)
2016-10-01,6,4,16,6,4
2016-10-02,8,3,9,7,7
2016-10-03,6,7,9,7,7
2016-10-04,6,8,15,13,12
2016-10-05,7,9,21,7,6
2016-10-06,7,7,12,9,7
2016-10-07,9,4,15,6,8
2016-10-08,8,5,12,9,11
2016-10-09,8,4,18,7,6
2016-10-10,10,4,10,5,6
2016-10-11,14,6,12,5,7
2016-10-12,10,7,14,6,14
2016-10-13,11,6,11,11,8
2016-10-14,9,6,11,8,10
2016-10-15,8,6,11,10,6
2016-10-16,12,7,12,7,8
2016-10-17,8,6,11,6,9
2016-10-18,9,6,11,6,6
2016-10-19,11,7,10,8,7
2016-10-20,9,6,11,7,8
2016-10-21,9,6,11,8,7
2016-10-22,8,4,15,11,19
2016-10-23,8,4,12,6,9
2016-10-24,9,5,15,8,11
2016-10-25,11,7,13,11,14
2016-10-26,13,13,26,13,39
2016-10-27,22,13,97,24,17
2016-10-28,26,11,30,11,41
2016-10-29,23,12,35,29,12
2016-10-30,15,15,17,31,26
2016-10-31,17,7,14,33,11
2016-11-01,20,9,21,21,13
2016-11-02,17,11,26,11,40
2016-11-03,26,11,19,20,22
2016-11-04,18,10,16,11,11
2016-11-05,21,8,24,20,20
2016-11-06,20,11,43,13,17
2016-11-07,12,8,23,31,13
2016-11-08,14,11,19,13,11
2016-11-09,35,8,11,14,16
2016-11-10,29,10,21,15,20
2016-11-11,14,8,17,9,11
2016-11-12,15,8,32,9,25
2016-11-13,17,7,22,17,12
2016-11-14,12,14,15,31,19
2016-11-15,11,10,20,9,12
2016-11-16,25,9,16,9,23
2016-11-17,21,8,26,11,12
2016-11-18,13,4,25,9,15
2016-11-19,19,9,16,16,14
2016-11-20,23,8,29,13,14
2016-11-21,11,7,17,9,8
2016-11-22,15,8,27,9,11
2016-11-23,18,7,18,9,20
2016-11-24,16,8,26,10,26
2016-11-25,9,7,18,7,11
2016-11-26,15,9,25,15,19
2016-11-27,13,8,32,12,11
2016-11-28,23,7,21,7,15
2016-11-29,38,7,19,6,8
2016-11-30,13,11,19,9,10
2016-12-01,17,6,55,13,17
2016-12-02,12,10,19,9,8
2016-12-03,19,10,21,9,8
2016-12-04,18,9,24,26,17
2016-12-05,14,9,15,9,10
2016-12-06,22,7,21,8,16
2016-12-07,11,13,16,12,10
2016-12-08,15,9,16,11,13
2016-12-09,8,7,18,8,13
2016-12-10,15,10,14,20,11
2016-12-11,9,9,16,9,15
2016-12-12,8,5,22,12,9
